# Timestep	Num_Clusters	Max_Cluster_Size
0	11	3422
1	5	3428
2	10	3423
3	11	3422
4	9	3424
5	8	3425
6	10	3423
7	6	3427
8	9	3424
9	7	3425
10	12	3421
11	7	3426
12	13	3420
13	10	3423
14	8	3425
15	12	3421
16	12	3421
17	14	3419
18	18	3414
19	13	3415
20	6	3427
21	12	3421
22	10	3422
23	14	3414
24	10	3423
25	10	3423
26	7	3426
27	7	3426
28	11	3422
29	11	3422
30	10	3423
31	10	3422
32	9	3424
33	10	3423
34	13	3420
35	9	3423
36	9	3424
37	9	3424
38	10	3422
39	8	3425
40	12	3421
41	12	3420
42	10	3417
43	11	3422
44	4	3429
45	10	3423
46	14	3419
47	7	3426
48	10	3423
49	9	3424
50	12	3419
51	10	3423
52	14	3419
53	9	3423
54	13	3420
55	10	3422
56	11	3422
57	13	3419
58	19	3414
59	12	3420
60	4	3429
61	9	3424
62	8	3425
63	16	3417
64	17	3411
65	14	3419
66	15	3418
67	12	3420
68	15	3412
69	10	3418
70	15	3418
71	8	3425
72	10	3423
73	14	3419
74	11	3421
75	11	3422
76	15	3418
77	12	3421
78	8	3425
79	14	3419
80	15	3418
81	12	3421
82	15	3417
83	14	3419
84	11	3422
85	14	3418
86	15	3418
87	12	3421
88	14	3417
89	11	3420
90	12	3421
91	6	3427
92	10	3423
93	7	3425
94	10	3423
95	13	3420
96	14	3419
97	12	3421
98	14	3419
99	15	3418
100	11	3422
101	11	3422
102	5	3428
103	14	3419
104	11	3420
105	7	3420
106	12	3421
107	10	3423
108	12	3421
109	8	3425
110	9	3419
111	7	3426
112	6	3427
113	7	3426
114	14	3419
115	7	3426
116	6	3427
117	5	3426
118	9	3424
119	6	3427
120	8	3425
121	9	3424
122	8	3425
123	12	3418
124	12	3420
125	10	3421
126	13	3415
127	7	3420
128	13	3420
129	13	3420
130	10	3423
131	10	3423
132	14	3419
133	12	3420
134	14	3419
135	13	3418
136	16	3417
137	13	3419
138	15	3416
139	8	3425
140	13	3420
141	13	3419
142	8	3425
143	7	3426
144	9	3424
145	12	3421
146	8	3425
147	7	3426
148	6	3426
149	7	3426
150	6	3427
151	9	3423
152	12	3416
153	8	3425
154	8	3425
155	9	3424
156	11	3422
157	10	3423
158	10	3423
159	15	3416
160	15	3418
161	9	3421
162	9	3424
163	10	3423
164	7	3426
165	14	3419
166	11	3415
167	18	3415
168	13	3420
169	14	3418
170	13	3415
171	15	3418
172	11	3421
173	11	3422
174	12	3421
175	16	3412
176	7	3426
177	9	3424
178	10	3422
179	12	3421
180	7	3426
181	6	3427
182	7	3425
183	6	3427
184	8	3424
185	10	3423
186	6	3427
187	13	3420
188	7	3420
189	9	3423
190	14	3417
191	16	3412
192	17	3416
193	7	3426
194	10	3423
195	13	3420
196	11	3422
197	13	3419
198	6	3427
199	18	3414
200	10	3423
201	6	3427
202	9	3424
203	16	3416
204	10	3423
205	7	3426
206	13	3419
207	23	3407
208	9	3424
209	13	3420
210	11	3422
211	12	3416
212	11	3421
213	10	3423
214	8	3425
215	11	3422
216	13	3420
217	7	3426
218	11	3422
219	9	3424
220	6	3427
221	12	3421
222	11	3422
223	10	3422
224	11	3422
225	8	3425
226	10	3423
227	13	3420
228	15	3418
229	13	3420
230	8	3425
231	13	3420
232	8	3425
233	11	3422
234	14	3419
235	15	3418
236	10	3423
237	9	3423
238	6	3427
239	12	3421
240	8	3425
241	6	3427
242	6	3427
243	8	3423
244	8	3421
245	10	3423
246	7	3426
247	8	3419
248	11	3420
249	9	3423
250	12	3420
251	10	3422
252	10	3422
253	9	3424
254	7	3426
255	7	3426
256	12	3421
257	10	3423
258	9	3424
259	19	3414
260	8	3425
261	15	3411
262	10	3423
263	8	3424
264	13	3420
265	12	3421
266	12	3421
267	6	3427
268	15	3418
269	11	3420
270	8	3425
271	10	3423
272	11	3422
273	8	3424
274	4	3429
275	11	3422
276	10	3423
277	7	3426
278	11	3422
279	11	3422
280	11	3422
281	9	3424
282	12	3421
283	14	3418
284	12	3420
285	16	3416
286	11	3422
287	14	3419
288	8	3425
289	5	3428
290	10	3422
291	13	3420
292	15	3418
293	11	3422
294	14	3418
295	13	3420
296	9	3424
297	4	3429
298	11	3422
299	10	3423
300	8	3419
301	17	3416
302	11	3422
303	10	3423
304	9	3424
305	8	3425
306	10	3423
307	15	3418
308	18	3415
309	8	3425
310	5	3428
311	11	3421
312	7	3426
313	13	3419
314	14	3419
315	11	3422
316	9	3423
317	6	3427
318	8	3425
319	10	3423
320	11	3422
321	14	3418
