       # Time (ps)   MSD_mean (Angstrom^2)    MSD_std (Angstrom^2)
          2.000000              0.87527659              0.01508095
          4.000000              1.01725271              0.01871260
          6.000000              1.13875850              0.02332657
          8.000000              1.26331327              0.02578842
         10.000000              1.37560932              0.02811847
         12.000000              1.47165239              0.03162171
         14.000000              1.56569641              0.03560222
         16.000000              1.65748884              0.03733099
         18.000000              1.74031452              0.03901134
         20.000000              1.81986190              0.04288029
         22.000000              1.89693311              0.04507146
         24.000000              1.97038582              0.04921319
         26.000000              2.04121554              0.05081211
         28.000000              2.10874788              0.05153484
         30.000000              2.17518766              0.05468103
         32.000000              2.23979129              0.05688737
         34.000000              2.30144901              0.05904662
         36.000000              2.36132331              0.06005111
         38.000000              2.41886598              0.06139318
         40.000000              2.47599622              0.06485215
         42.000000              2.53038726              0.06466373
         44.000000              2.58164773              0.06483458
         46.000000              2.63300813              0.06639717
         48.000000              2.68393449              0.06721954
         50.000000              2.73248633              0.06829570
         52.000000              2.77970755              0.06857459
         54.000000              2.82566901              0.07038364
         56.000000              2.86957715              0.07111617
         58.000000              2.91375222              0.07120135
         60.000000              2.95653744              0.07295528
         62.000000              2.99824964              0.07430829
         64.000000              3.03976000              0.07506868
         66.000000              3.07958223              0.07605662
         68.000000              3.11870798              0.07604530
         70.000000              3.15683860              0.07737532
         72.000000              3.19440176              0.07686075
         74.000000              3.23082342              0.07838883
         76.000000              3.26565205              0.07864406
         78.000000              3.30191294              0.08223596
         80.000000              3.33602987              0.08275702
         82.000000              3.36950787              0.08244784
         84.000000              3.40267001              0.08299961
         86.000000              3.43502111              0.08671887
         88.000000              3.46798588              0.08659215
         90.000000              3.50067968              0.08700023
         92.000000              3.53271042              0.08704351
         94.000000              3.56348856              0.08786736
         96.000000              3.59390175              0.08711388
         98.000000              3.62306378              0.08866556
        100.000000              3.65193086              0.08990526
        102.000000              3.67967280              0.09038649
        104.000000              3.70862757              0.09013708
        106.000000              3.73722954              0.09061780
        108.000000              3.76312510              0.09180265
        110.000000              3.79138759              0.09278944
        112.000000              3.81823669              0.09381053
        114.000000              3.84391412              0.09385441
        116.000000              3.86933605              0.09470907
        118.000000              3.89451909              0.09490864
        120.000000              3.91869562              0.09577214
        122.000000              3.94375861              0.09744200
        124.000000              3.96731873              0.09832804
        126.000000              3.99094876              0.09883427
        128.000000              4.01537430              0.10027745
        130.000000              4.03755431              0.09948799
        132.000000              4.06017163              0.10019821
        134.000000              4.08227134              0.10073422
        136.000000              4.10515141              0.10002546
        138.000000              4.12709186              0.10076829
        140.000000              4.14997794              0.10121328
        142.000000              4.17115289              0.10091904
        144.000000              4.19297970              0.10093616
        146.000000              4.21563510              0.10173493
        148.000000              4.23649263              0.10141368
        150.000000              4.25749019              0.10251082
