       # Time (ps)   MSD_mean (Angstrom^2)    MSD_std (Angstrom^2)
          2.000000              1.20696806              0.03488915
          4.000000              1.46125619              0.05478272
          6.000000              1.65166262              0.07270126
          8.000000              1.82969047              0.09081189
         10.000000              1.98405651              0.10511513
         12.000000              2.11819173              0.12213576
         14.000000              2.24516646              0.14018546
         16.000000              2.36879694              0.15456126
         18.000000              2.48488669              0.16759108
         20.000000              2.59699954              0.18055056
         22.000000              2.70496565              0.19471630
         24.000000              2.81090714              0.20945977
         26.000000              2.91348141              0.22266259
         28.000000              3.01209400              0.23296144
         30.000000              3.11026303              0.24453037
         32.000000              3.20676175              0.25611637
         34.000000              3.30196774              0.26642229
         36.000000              3.39360241              0.27509666
         38.000000              3.48461298              0.28461587
         40.000000              3.57603472              0.29761001
         42.000000              3.66646340              0.30410424
         44.000000              3.75420294              0.31299072
         46.000000              3.83990777              0.32134638
         48.000000              3.92744385              0.33006139
         50.000000              4.01024057              0.34027993
         52.000000              4.09346587              0.34790321
         54.000000              4.17731152              0.35787290
         56.000000              4.25905066              0.36799459
         58.000000              4.34087745              0.37635758
         60.000000              4.42234907              0.38646238
         62.000000              4.50471289              0.39778253
         64.000000              4.58403025              0.40504262
         66.000000              4.66207043              0.41480738
         68.000000              4.73898896              0.42477848
         70.000000              4.81719202              0.43531602
         72.000000              4.89291992              0.44430290
         74.000000              4.96947663              0.45421736
         76.000000              5.04519742              0.46422392
         78.000000              5.12173946              0.47424981
         80.000000              5.19728051              0.48339459
         82.000000              5.27146093              0.48898425
         84.000000              5.34593724              0.49740673
         86.000000              5.42008878              0.50825724
         88.000000              5.49467856              0.51580276
         90.000000              5.56794293              0.52471081
         92.000000              5.64212907              0.53439749
         94.000000              5.71274791              0.54131779
         96.000000              5.78547863              0.54973863
         98.000000              5.85784649              0.56196153
        100.000000              5.92934210              0.57150624
        102.000000              5.99963026              0.58227299
        104.000000              6.07148860              0.59042437
        106.000000              6.14170462              0.60032117
        108.000000              6.21114717              0.61128368
        110.000000              6.28349797              0.61906514
        112.000000              6.35548959              0.63234959
        114.000000              6.42472095              0.64256118
        116.000000              6.49796908              0.65202972
        118.000000              6.56947914              0.66077094
        120.000000              6.64062679              0.66956939
        122.000000              6.70817021              0.68212084
        124.000000              6.77635291              0.69104113
        126.000000              6.84498160              0.70322390
        128.000000              6.91400461              0.71420213
        130.000000              6.98091677              0.72247901
        132.000000              7.05220636              0.73393373
        134.000000              7.12085847              0.74428612
        136.000000              7.19022450              0.75391886
        138.000000              7.25992280              0.76383957
        140.000000              7.32866639              0.77397145
        142.000000              7.39553439              0.78289308
        144.000000              7.46371582              0.79133841
        146.000000              7.53286248              0.80298582
        148.000000              7.59970627              0.81220811
        150.000000              7.66866955              0.82109343
        152.000000              7.73449920              0.83063618
        154.000000              7.80253736              0.84178478
        156.000000              7.86773082              0.84997825
        158.000000              7.93576081              0.86018886
        160.000000              8.00325388              0.87168749
        162.000000              8.06906516              0.88047743
        164.000000              8.13554677              0.89176669
        166.000000              8.19914052              0.90400116
        168.000000              8.26535077              0.91364176
        170.000000              8.33206262              0.92554111
        172.000000              8.39637731              0.93570581
        174.000000              8.45992504              0.94409563
        176.000000              8.52647683              0.95781084
        178.000000              8.59370326              0.96886287
        180.000000              8.66044298              0.98011520
        182.000000              8.72814523              0.99028806
        184.000000              8.79407520              1.00484077
        186.000000              8.86031396              1.01539507
        188.000000              8.92502210              1.02502486
        190.000000              8.99061058              1.03838271
        192.000000              9.05578717              1.04758056
        194.000000              9.11982883              1.05706419
        196.000000              9.18530701              1.06692074
        198.000000              9.24887013              1.07634305
        200.000000              9.31518348              1.08510370
        202.000000              9.37997529              1.09659774
        204.000000              9.44278710              1.10608540
        206.000000              9.50920062              1.11833996
        208.000000              9.57211031              1.12840361
        210.000000              9.63901251              1.14015065
        212.000000              9.70114771              1.15255923
        214.000000              9.76634787              1.16130772
        216.000000              9.82880908              1.17468407
        218.000000              9.89326754              1.18700247
        220.000000              9.95888131              1.19951794
        222.000000             10.02178839              1.21028374
        224.000000             10.08426863              1.22590424
        226.000000             10.14800263              1.23803342
        228.000000             10.21170860              1.24820184
        230.000000             10.27547566              1.26122877
        232.000000             10.34053194              1.27244387
        234.000000             10.40473441              1.28814349
        236.000000             10.46744749              1.29970062
        238.000000             10.53052478              1.31003154
        240.000000             10.59427436              1.32270717
        242.000000             10.65395627              1.33509778
        244.000000             10.71952042              1.34572958
        246.000000             10.78193199              1.35855481
        248.000000             10.84376610              1.37042008
        250.000000             10.90871871              1.38371346
        252.000000             10.97189888              1.39966052
        254.000000             11.03448832              1.41039903
        256.000000             11.09879697              1.42320294
        258.000000             11.16375276              1.43666478
        260.000000             11.22570250              1.45127237
        262.000000             11.28534251              1.46381363
        264.000000             11.34975865              1.47731186
        266.000000             11.41507249              1.48929536
        268.000000             11.47759045              1.49975405
        270.000000             11.53993330              1.51391866
        272.000000             11.60493625              1.52696613
        274.000000             11.66903651              1.54018069
        276.000000             11.73276056              1.55263445
        278.000000             11.79536050              1.56606443
        280.000000             11.85841229              1.58039634
        282.000000             11.92244435              1.59262729
        284.000000             11.98702931              1.60471274
        286.000000             12.04776932              1.61798601
        288.000000             12.11146589              1.63183374
        290.000000             12.17606095              1.64454129
        292.000000             12.23682906              1.65717884
        294.000000             12.29775592              1.66924778
        296.000000             12.36182786              1.68217890
        298.000000             12.42213204              1.69467766
        300.000000             12.48640887              1.70796010
        302.000000             12.54527335              1.72191824
        304.000000             12.60607282              1.73491653
        306.000000             12.66577766              1.74606321
        308.000000             12.72619079              1.75627951
        310.000000             12.78925726              1.76638906
        312.000000             12.84821098              1.78014559
        314.000000             12.91040059              1.78911519
        316.000000             12.97176301              1.79976599
        318.000000             13.03417615              1.81080062
        320.000000             13.09806898              1.82533061
        322.000000             13.15967597              1.83774717
        324.000000             13.22171668              1.85068298
        326.000000             13.28250726              1.86259713
        328.000000             13.34283459              1.87414742
        330.000000             13.40521925              1.88651567
        332.000000             13.46666027              1.89907911
        334.000000             13.52864350              1.91035213
        336.000000             13.59081154              1.92098523
        338.000000             13.65069461              1.93223589
        340.000000             13.71221544              1.94113639
        342.000000             13.77313297              1.95491786
