       # Time (ps)   MSD_mean (Angstrom^2)    MSD_std (Angstrom^2)
          2.000000              1.20680673              0.03492705
          4.000000              1.46110503              0.05485578
          6.000000              1.65139811              0.07287640
          8.000000              1.82931474              0.09106073
         10.000000              1.98366713              0.10542694
         12.000000              2.11780333              0.12229360
         14.000000              2.24495784              0.14036001
         16.000000              2.36863006              0.15470755
         18.000000              2.48461522              0.16763929
         20.000000              2.59654205              0.18060029
         22.000000              2.70461860              0.19477417
         24.000000              2.81049937              0.20953096
         26.000000              2.91320388              0.22294405
         28.000000              3.01184344              0.23301281
         30.000000              3.11010389              0.24441477
         32.000000              3.20638737              0.25604672
         34.000000              3.30156372              0.26658770
         36.000000              3.39321264              0.27501170
         38.000000              3.48429390              0.28470723
         40.000000              3.57550202              0.29744550
         42.000000              3.66600102              0.30393895
         44.000000              3.75380170              0.31297978
         46.000000              3.83930939              0.32117419
         48.000000              3.92696523              0.33012239
         50.000000              4.00983148              0.34046637
         52.000000              4.09296640              0.34817752
         54.000000              4.17671372              0.35827873
         56.000000              4.25856132              0.36828371
         58.000000              4.34037368              0.37680186
         60.000000              4.42154664              0.38705151
         62.000000              4.50394869              0.39796193
         64.000000              4.58335953              0.40516208
         66.000000              4.66140836              0.41478850
         68.000000              4.73835423              0.42484913
         70.000000              4.81624020              0.43521843
         72.000000              4.89249440              0.44437575
         74.000000              4.96888385              0.45437809
         76.000000              5.04448069              0.46453952
         78.000000              5.12115102              0.47447144
         80.000000              5.19663886              0.48360296
         82.000000              5.27067143              0.48941558
         84.000000              5.34515340              0.49788664
         86.000000              5.41951244              0.50866940
         88.000000              5.49403342              0.51598599
         90.000000              5.56742714              0.52502806
         92.000000              5.64150702              0.53452004
         94.000000              5.71216849              0.54141578
         96.000000              5.78504476              0.55010766
         98.000000              5.85752515              0.56241616
        100.000000              5.92876200              0.57180416
        102.000000              5.99894327              0.58261521
        104.000000              6.07088567              0.59062104
        106.000000              6.14126553              0.60074958
        108.000000              6.21056529              0.61147137
        110.000000              6.28328608              0.61927612
        112.000000              6.35513954              0.63237848
        114.000000              6.42402501              0.64268198
        116.000000              6.49757842              0.65193082
        118.000000              6.56909423              0.66069992
        120.000000              6.64048658              0.66974150
        122.000000              6.70774322              0.68220157
        124.000000              6.77589006              0.69107518
        126.000000              6.84450983              0.70329800
        128.000000              6.91366258              0.71447882
        130.000000              6.98046544              0.72255190
        132.000000              7.05158621              0.73396765
        134.000000              7.12028791              0.74436286
        136.000000              7.18992073              0.75346993
        138.000000              7.25942897              0.76372187
        140.000000              7.32835289              0.77399571
        142.000000              7.39522617              0.78286185
        144.000000              7.46329925              0.79119447
        146.000000              7.53256019              0.80292315
        148.000000              7.59950424              0.81260303
        150.000000              7.66821934              0.82120763
        152.000000              7.73444921              0.83070221
        154.000000              7.80245543              0.84246805
        156.000000              7.86760505              0.85058334
        158.000000              7.93574133              0.86032210
        160.000000              8.00295395              0.87199702
        162.000000              8.06867132              0.88088707
        164.000000              8.13551439              0.89210642
        166.000000              8.19899906              0.90435519
        168.000000              8.26527832              0.91402914
        170.000000              8.33218682              0.92582885
        172.000000              8.39636260              0.93571433
        174.000000              8.46006950              0.94421522
        176.000000              8.52666410              0.95786314
        178.000000              8.59357624              0.96931977
        180.000000              8.66021361              0.98030047
        182.000000              8.72815697              0.99084850
        184.000000              8.79370186              1.00496960
        186.000000              8.86010153              1.01584011
        188.000000              8.92442078              1.02548310
        190.000000              8.99006280              1.03854793
        192.000000              9.05526113              1.04799981
        194.000000              9.11919302              1.05756536
        196.000000              9.18483563              1.06677122
        198.000000              9.24860137              1.07648231
        200.000000              9.31466817              1.08551235
        202.000000              9.37988998              1.09702537
        204.000000              9.44277036              1.10624875
        206.000000              9.50892163              1.11865124
        208.000000              9.57196906              1.12902311
        210.000000              9.63911450              1.14096524
        212.000000              9.70081618              1.15308460
        214.000000              9.76617831              1.16231307
        216.000000              9.82830151              1.17554509
        218.000000              9.89303594              1.18783981
        220.000000              9.95891185              1.20047399
        222.000000             10.02167594              1.21116345
        224.000000             10.08408968              1.22736775
        226.000000             10.14774895              1.23900083
        228.000000             10.21118443              1.24921686
        230.000000             10.27502744              1.26245199
        232.000000             10.34064857              1.27324157
        234.000000             10.40466710              1.28924915
        236.000000             10.46735781              1.30086634
        238.000000             10.53035807              1.31154515
        240.000000             10.59385814              1.32389562
        242.000000             10.65371296              1.33651918
        244.000000             10.71980094              1.34695060
        246.000000             10.78168752              1.35955830
        248.000000             10.84380920              1.37188417
        250.000000             10.90860287              1.38515876
        252.000000             10.97164465              1.40099720
        254.000000             11.03435458              1.41245694
        256.000000             11.09865656              1.42474204
        258.000000             11.16362044              1.43863082
        260.000000             11.22557709              1.45288748
        262.000000             11.28530297              1.46557958
        264.000000             11.34970086              1.47892587
        266.000000             11.41505029              1.49056463
        268.000000             11.47802229              1.50162114
        270.000000             11.54000086              1.51537693
        272.000000             11.60499471              1.52853758
        274.000000             11.66889036              1.54176244
        276.000000             11.73321966              1.55458864
        278.000000             11.79613325              1.56753714
        280.000000             11.85896876              1.58193132
        282.000000             11.92293674              1.59393059
        284.000000             11.98758945              1.60615952
        286.000000             12.04834259              1.61999222
        288.000000             12.11199472              1.63307522
        290.000000             12.17656784              1.64600035
        292.000000             12.23760711              1.65876013
        294.000000             12.29823663              1.67110557
        296.000000             12.36268655              1.68429279
        298.000000             12.42237032              1.69635744
        300.000000             12.48726074              1.70935319
        302.000000             12.54595198              1.72317172
        304.000000             12.60593952              1.73660085
        306.000000             12.66614389              1.74769478
        308.000000             12.72642039              1.75801693
        310.000000             12.78998063              1.76766519
        312.000000             12.84877118              1.78131875
        314.000000             12.91050713              1.79018756
        316.000000             12.97162757              1.80091102
        318.000000             13.03474811              1.81225755
        320.000000             13.09828846              1.82710262
        322.000000             13.16002856              1.83971408
        324.000000             13.22240677              1.85254563
        326.000000             13.28323130              1.86379139
        328.000000             13.34416909              1.87556580
        330.000000             13.40628049              1.88815697
        332.000000             13.46761944              1.90044383
        334.000000             13.52942623              1.91168761
        336.000000             13.59121916              1.92196337
        338.000000             13.65125250              1.93369537
        340.000000             13.71260815              1.94257359
        342.000000             13.77424063              1.95654245
        344.000000             13.83676210              1.96766101
        346.000000             13.89708807              1.98135853
        348.000000             13.95893071              1.99320727
        350.000000             14.02071276              2.00483817
        352.000000             14.08392397              2.01359316
        354.000000             14.14497471              2.02683045
        356.000000             14.20586658              2.03847696
        358.000000             14.26724988              2.05079070
        360.000000             14.32811870              2.06086364
        362.000000             14.38971420              2.07194562
        364.000000             14.44961691              2.08394177
        366.000000             14.51304236              2.09475774
        368.000000             14.57170634              2.10488149
        370.000000             14.63350127              2.11598992
        372.000000             14.69215664              2.12762489
        374.000000             14.74995736              2.13969888
        376.000000             14.80783270              2.14866902
        378.000000             14.86734444              2.15943286
        380.000000             14.92662140              2.17290982
        382.000000             14.98548501              2.18455638
        384.000000             15.04352308              2.19352194
        386.000000             15.10262020              2.20339002
