       # Time (ps)   MSD_mean (Angstrom^2)    MSD_std (Angstrom^2)
          2.000000              1.17904262              0.03200178
          4.000000              1.43256684              0.05368829
          6.000000              1.61442377              0.07268046
          8.000000              1.78549157              0.09183796
         10.000000              1.93536054              0.10910187
         12.000000              2.06348063              0.12203077
         14.000000              2.18770919              0.13723973
         16.000000              2.30884393              0.15146617
         18.000000              2.42078588              0.16511828
         20.000000              2.52778120              0.18133684
         22.000000              2.63231618              0.19698768
         24.000000              2.73255879              0.21222820
         26.000000              2.83179252              0.22760277
         28.000000              2.92828374              0.24197771
         30.000000              3.01999740              0.25575675
         32.000000              3.11140004              0.26943179
         34.000000              3.20100995              0.28203647
         36.000000              3.29166910              0.29472833
         38.000000              3.37757081              0.30406222
         40.000000              3.46282870              0.31435507
         42.000000              3.54778400              0.32630237
         44.000000              3.63261577              0.33390736
         46.000000              3.71475080              0.34370424
         48.000000              3.79698512              0.35345126
         50.000000              3.87628656              0.36303926
         52.000000              3.95457520              0.37290145
         54.000000              4.03213820              0.38171283
         56.000000              4.11148920              0.38937861
         58.000000              4.18994332              0.39742262
         60.000000              4.26633522              0.40817322
         62.000000              4.34472993              0.41455447
         64.000000              4.41935421              0.42399545
         66.000000              4.49678335              0.43322314
         68.000000              4.56932596              0.44357188
         70.000000              4.64190209              0.45346762
         72.000000              4.71536577              0.46201517
         74.000000              4.78618166              0.47232166
         76.000000              4.85829537              0.48205642
         78.000000              4.93062195              0.48975527
         80.000000              5.00043887              0.49939722
         82.000000              5.07063463              0.50765607
         84.000000              5.13938543              0.51437238
         86.000000              5.20996477              0.52215530
         88.000000              5.27643403              0.53175084
         90.000000              5.34735824              0.54101819
         92.000000              5.41692335              0.55052801
         94.000000              5.48228668              0.55829001
         96.000000              5.54971148              0.56825235
         98.000000              5.61657976              0.57815933
        100.000000              5.68121626              0.58434296
        102.000000              5.74899865              0.59572535
        104.000000              5.81338812              0.60390954
        106.000000              5.88007008              0.61112256
        108.000000              5.94469593              0.62278640
        110.000000              6.00847461              0.63058355
        112.000000              6.07231148              0.64308274
        114.000000              6.13875685              0.65079552
        116.000000              6.20522090              0.66299128
        118.000000              6.27173323              0.66987029
        120.000000              6.33508155              0.67889279
        122.000000              6.39950371              0.68638009
        124.000000              6.45993813              0.69369739
        126.000000              6.52316201              0.70332219
        128.000000              6.58904148              0.71378692
        130.000000              6.65233952              0.72472069
        132.000000              6.71480176              0.73388928
        134.000000              6.77827978              0.74389518
        136.000000              6.84045413              0.75142577
