       # Time (ps)   MSD_mean (Angstrom^2)    MSD_std (Angstrom^2)
          2.000000              5.02705594              0.07697893
          4.000000              8.81546886              0.13217339
          6.000000             12.12435753              0.16508027
          8.000000             15.31180399              0.17849895
         10.000000             18.41935721              0.19043280
         12.000000             21.46999378              0.23277229
         14.000000             24.53952110              0.31552617
         16.000000             27.56093226              0.40942054
         18.000000             30.56148824              0.51570226
         20.000000             33.53482886              0.58974213
         22.000000             36.45281961              0.63237281
         24.000000             39.33396290              0.66467929
         26.000000             42.26148883              0.74011933
         28.000000             45.16921577              0.80117950
         30.000000             48.03685733              0.84791405
         32.000000             50.86798828              0.90130423
         34.000000             53.65142731              0.95433624
         36.000000             56.42138969              1.00198329
         38.000000             59.25597035              1.06145677
         40.000000             62.01910683              1.11947426
         42.000000             64.76026269              1.17594016
         44.000000             67.45071405              1.22545801
         46.000000             70.12497164              1.25530539
         48.000000             72.80144496              1.27279461
         50.000000             75.54175874              1.28330611
         52.000000             78.26193286              1.30596659
         54.000000             80.94056855              1.32706123
         56.000000             83.60876893              1.32162226
         58.000000             86.26609271              1.30020971
         60.000000             88.92291314              1.29380766
         62.000000             91.64587268              1.28802336
         64.000000             94.32161811              1.26819722
         66.000000             96.96977848              1.26581673
         68.000000             99.59177132              1.27179329
         70.000000            102.19593843              1.26694424
         72.000000            104.81073708              1.30993309
         74.000000            107.49607717              1.37660995
         76.000000            110.18478483              1.43878566
         78.000000            112.84693821              1.48985178
         80.000000            115.50483041              1.53323469
         82.000000            118.13685733              1.57733294
         84.000000            120.74051006              1.67655335
         86.000000            123.40595469              1.75949213
         88.000000            126.07147786              1.85518386
         90.000000            128.72972710              1.94560942
         92.000000            131.40970581              2.03063603
         94.000000            134.07342024              2.14268023
         96.000000            136.73337095              2.23487428
         98.000000            139.47400368              2.33727866
        100.000000            142.21398500              2.40630674
        102.000000            144.94448823              2.52705823
        104.000000            147.60924294              2.60144732
        106.000000            150.31163685              2.71183922
        108.000000            153.00509758              2.83991528
        110.000000            155.78876555              2.96404094
        112.000000            158.52812667              3.09485682
        114.000000            161.26171459              3.20920838
        116.000000            163.97721178              3.28709608
        118.000000            166.70634953              3.40506595
        120.000000            169.44193932              3.52527906
        122.000000            172.30442447              3.65591544
        124.000000            175.15011006              3.80917498
        126.000000            177.98768160              3.90263729
        128.000000            180.77127732              4.02555346
        130.000000            183.54822036              4.10981838
        132.000000            186.35122771              4.15126314
        134.000000            189.27177621              4.21265187
        136.000000            192.20079186              4.30736176
        138.000000            195.11461400              4.46367442
        140.000000            198.02837163              4.60760079
        142.000000            200.90826037              4.74620167
        144.000000            203.78778795              4.88359811
        146.000000            206.83609101              5.03371727
        148.000000            209.85811519              5.17901792
        150.000000            212.89452219              5.32215372
        152.000000            215.93391162              5.48228532
        154.000000            218.93742452              5.70990180
        156.000000            221.88637716              5.89578354
        158.000000            225.00475422              6.06487963
        160.000000            228.16598551              6.17686045
        162.000000            231.30476074              6.32432547
        164.000000            234.43868146              6.49661109
        166.000000            237.59073725              6.64081453
        168.000000            240.67371290              6.74983122
        170.000000            244.02842074              6.86625542
        172.000000            247.37339046              7.05035180
        174.000000            250.75012790              7.18936005
        176.000000            254.12492794              7.32540233
        178.000000            257.51704097              7.50333130
        180.000000            260.80062856              7.81525483
        182.000000            264.44643828              8.16975598
        184.000000            268.06841418              8.62514270
        186.000000            271.61257508              8.89255769
        188.000000            275.10301970              9.12774361
        190.000000            278.36798181              9.38758496
        192.000000            281.66193822              9.56278598
        194.000000            285.53532128              9.79055104
        196.000000            289.37881929              9.91184976
        198.000000            293.02024594              9.89238055
        200.000000            296.73922342              9.97813492
        202.000000            300.42365090             10.31420615
        204.000000            303.56502455             10.41260813
        206.000000            307.94920597             10.53713313
        208.000000            312.38593868             11.01404575
        210.000000            316.92569270             12.30716562
        212.000000            321.07736455             12.74587154
        214.000000            325.02378871             13.53392472 
