       # Time (ps)   MSD_mean (Angstrom^2)    MSD_std (Angstrom^2)
          2.000000              0.36989603              0.00466741
          4.000000              0.37552050              0.00370130
          6.000000              0.38061571              0.00422721
          8.000000              0.39952567              0.00533203
         10.000000              0.41526280              0.00601617
         12.000000              0.42090557              0.00603221
         14.000000              0.42949095              0.00774709
         16.000000              0.43993590              0.00648978
         18.000000              0.44622643              0.00735773
         20.000000              0.45246151              0.00934235
         22.000000              0.45941605              0.00928778
         24.000000              0.46603765              0.01075305
         26.000000              0.47215936              0.01144305
         28.000000              0.47797686              0.01318187
         30.000000              0.48311141              0.01302784
         32.000000              0.48981746              0.01358407
         34.000000              0.49397278              0.01462704
         36.000000              0.49845938              0.01458621
         38.000000              0.50250822              0.01528170
         40.000000              0.50795071              0.01570691
         42.000000              0.51313861              0.01611016
         44.000000              0.51733007              0.01699700
         46.000000              0.52187516              0.01767562
         48.000000              0.52601545              0.01865098
         50.000000              0.53048554              0.01956808
         52.000000              0.53413819              0.01987416
         54.000000              0.53857604              0.02069677
         56.000000              0.54169001              0.02115463
         58.000000              0.54641805              0.02275484
         60.000000              0.54982713              0.02211923
         62.000000              0.55433452              0.02277063
         64.000000              0.55815002              0.02377867
         66.000000              0.56170742              0.02475723
         68.000000              0.56497430              0.02475456
         70.000000              0.56815456              0.02473890
         72.000000              0.57194325              0.02518325
         74.000000              0.57518345              0.02756412
         76.000000              0.57877356              0.02770101
         78.000000              0.58185435              0.02742022
         80.000000              0.58570882              0.02840173
         82.000000              0.58841939              0.02892201
         84.000000              0.59195288              0.02965009
         86.000000              0.59474759              0.03022109
         88.000000              0.59855076              0.03000471
         90.000000              0.60127540              0.03043162
         92.000000              0.60501002              0.03027522
         94.000000              0.60808480              0.03114462
         96.000000              0.61127692              0.03170498
         98.000000              0.61414525              0.03239910
        100.000000              0.61684998              0.03288734
        102.000000              0.61941398              0.03363539
        104.000000              0.62338540              0.03522115
        106.000000              0.62698988              0.03493829
        108.000000              0.62839409              0.03641686
        110.000000              0.63142017              0.03612925
        112.000000              0.63472828              0.03742285
        114.000000              0.63689922              0.03721489
        116.000000              0.63925691              0.03871202
        118.000000              0.64308523              0.03857340
        120.000000              0.64550311              0.03993320
        122.000000              0.64801968              0.04080189
        124.000000              0.65015144              0.04046809
        126.000000              0.65191619              0.04111381
        128.000000              0.65493368              0.04217250
        130.000000              0.65719205              0.04244843
        132.000000              0.66042153              0.04307024
        134.000000              0.66274528              0.04372179
        136.000000              0.66539134              0.04460179
        138.000000              0.66826635              0.04463911
        140.000000              0.67081844              0.04494007
        142.000000              0.67296252              0.04550765
        144.000000              0.67590520              0.04587236
        146.000000              0.67874022              0.04643724
        148.000000              0.68137390              0.04740022
        150.000000              0.68487104              0.04743806
        152.000000              0.68701434              0.04801844
        154.000000              0.69007354              0.04872548
        156.000000              0.69211896              0.04939135
        158.000000              0.69526593              0.04964535
        160.000000              0.69759775              0.05028558
        162.000000              0.70033106              0.05121661
        164.000000              0.70266982              0.05089318
        166.000000              0.70544215              0.05222756
        168.000000              0.70732232              0.05276938
        170.000000              0.71023303              0.05190116
        172.000000              0.71218331              0.05410419
        174.000000              0.71343348              0.05463823
        176.000000              0.71695014              0.05421900
        178.000000              0.71999747              0.05520067
        180.000000              0.72143120              0.05562818
        182.000000              0.72389766              0.05617222
        184.000000              0.72631191              0.05510597
        186.000000              0.72887687              0.05696919
        188.000000              0.73099391              0.05758787
        190.000000              0.73281195              0.05701952
        192.000000              0.73634137              0.05698123
        194.000000              0.73860218              0.05807974
        196.000000              0.74105584              0.05971222
        198.000000              0.74329504              0.05912116
        200.000000              0.74633255              0.05943493
        202.000000              0.74838139              0.06118013
        204.000000              0.75133680              0.06011998
        206.000000              0.75421452              0.06002572
        208.000000              0.75629962              0.06238448
