       # Time (ps)   MSD_mean (Angstrom^2)    MSD_std (Angstrom^2)
          2.000000              0.37717742              0.00489273
          4.000000              0.38263495              0.00418841
          6.000000              0.38811089              0.00443804
          8.000000              0.40827587              0.00481907
         10.000000              0.42442643              0.00422565
         12.000000              0.43056158              0.00512538
         14.000000              0.43962027              0.00597360
         16.000000              0.45017819              0.00515524
         18.000000              0.45656121              0.00488894
         20.000000              0.46300780              0.00652187
         22.000000              0.46977952              0.00633251
         24.000000              0.47648368              0.00754053
         26.000000              0.48257634              0.00792121
         28.000000              0.48770568              0.00751321
         30.000000              0.49302274              0.00769696
         32.000000              0.49953252              0.00807808
         34.000000              0.50401210              0.00909328
         36.000000              0.50850600              0.00851024
         38.000000              0.51274311              0.00870024
         40.000000              0.51813824              0.00996508
         42.000000              0.52273902              0.00979902
         44.000000              0.52627599              0.01021487
         46.000000              0.53084725              0.01075287
         48.000000              0.53534514              0.01120415
         50.000000              0.53936129              0.01222969
         52.000000              0.54331434              0.01219980
         54.000000              0.54767903              0.01351949
         56.000000              0.55054091              0.01340610
         58.000000              0.55487319              0.01439511
         60.000000              0.55827608              0.01440663
         62.000000              0.56227275              0.01559747
         64.000000              0.56608497              0.01642127
         66.000000              0.56933399              0.01643467
         68.000000              0.57250018              0.01666780
         70.000000              0.57558371              0.01733009
         72.000000              0.57905154              0.01729340
         74.000000              0.58221581              0.01898419
         76.000000              0.58521050              0.01945862
         78.000000              0.58892996              0.01911457
         80.000000              0.59218523              0.01965030
         82.000000              0.59530593              0.02081877
         84.000000              0.59866361              0.02108037
         86.000000              0.60147427              0.02265533
         88.000000              0.60477119              0.02179068
         90.000000              0.60766330              0.02247761
         92.000000              0.61132447              0.02238378
         94.000000              0.61424556              0.02322517
         96.000000              0.61738809              0.02283326
         98.000000              0.62007932              0.02385821
        100.000000              0.62269478              0.02506750
        102.000000              0.62495317              0.02534804
        104.000000              0.62847606              0.02642368
        106.000000              0.63214616              0.02629631
        108.000000              0.63326560              0.02789503
        110.000000              0.63672848              0.02798133
        112.000000              0.63964784              0.02886961
        114.000000              0.64197574              0.02824566
        116.000000              0.64458124              0.02943991
        118.000000              0.64778004              0.02910107
        120.000000              0.65029224              0.02962218
        122.000000              0.65298810              0.03095234
        124.000000              0.65507714              0.03041255
        126.000000              0.65703766              0.03090966
        128.000000              0.66047658              0.03129695
        130.000000              0.66262033              0.03112972
        132.000000              0.66551717              0.03185722
        134.000000              0.66832952              0.03233442
        136.000000              0.67128454              0.03266557
        138.000000              0.67362200              0.03365845
        140.000000              0.67689704              0.03360874
        142.000000              0.67879303              0.03401503
        144.000000              0.68222304              0.03490797
        146.000000              0.68553588              0.03540142
        148.000000              0.68751795              0.03584661
        150.000000              0.69072635              0.03647670
        152.000000              0.69269693              0.03685721
        154.000000              0.69553335              0.03758664
        156.000000              0.69823177              0.03832307
        158.000000              0.70093217              0.03771594
        160.000000              0.70341278              0.04004821
        162.000000              0.70558619              0.03981079
        164.000000              0.70832017              0.03968952
        166.000000              0.71083028              0.04090628
        168.000000              0.71316959              0.04096122
        170.000000              0.71545033              0.04189785
        172.000000              0.71823909              0.04330226
        174.000000              0.71906862              0.04338360
        176.000000              0.72270180              0.04367877
        178.000000              0.72544167              0.04509866
        180.000000              0.72699979              0.04540088
        182.000000              0.72982682              0.04608356
        184.000000              0.73217430              0.04556133
        186.000000              0.73517310              0.04759268
        188.000000              0.73657205              0.04800081
        190.000000              0.73889319              0.04784629
        192.000000              0.74219174              0.04811577
        194.000000              0.74431402              0.04925380
        196.000000              0.74690666              0.05111471
        198.000000              0.74909158              0.05060431
        200.000000              0.75214394              0.05001580
        202.000000              0.75418081              0.05217226
        204.000000              0.75710318              0.05081616
        206.000000              0.75976840              0.05077355
        208.000000              0.76148419              0.05280151
        210.000000              0.76396844              0.05183476
        212.000000              0.76625017              0.05177353
        214.000000              0.76909568              0.05236555
        216.000000              0.77134271              0.05184807
        218.000000              0.77329123              0.05405206
        220.000000              0.77593408              0.05259548
        222.000000              0.77836063              0.05426930
        224.000000              0.77898153              0.05519632
        226.000000              0.78208004              0.05410918
        228.000000              0.78428163              0.05489432
        230.000000              0.78598514              0.05618587
        232.000000              0.78856185              0.05599987
        234.000000              0.79089270              0.05660931
        236.000000              0.79268757              0.05842597
        238.000000              0.79552545              0.05818519
        240.000000              0.79860536              0.05786177
        242.000000              0.79981340              0.05965150
        244.000000              0.80262814              0.05841525
        246.000000              0.80552444              0.06013482
        248.000000              0.80728784              0.05999347
        250.000000              0.81024989              0.06128387
        252.000000              0.81194507              0.06111340
        254.000000              0.81425780              0.06132431
        256.000000              0.81610920              0.06284240
        258.000000              0.81877645              0.06168279
        260.000000              0.82135741              0.06290092
        262.000000              0.82307149              0.06340025
        264.000000              0.82655689              0.06404728
        266.000000              0.82890649              0.06397654
        268.000000              0.83058734              0.06460520
        270.000000              0.83346208              0.06546429
        272.000000              0.83516435              0.06464995
        274.000000              0.83819549              0.06483173
        276.000000              0.84131317              0.06636875
        278.000000              0.84283413              0.06616482
        280.000000              0.84435607              0.06538632
        282.000000              0.84789742              0.06628824
        284.000000              0.85088107              0.06682039
        286.000000              0.85172574              0.06748044
        288.000000              0.85548121              0.06799443
        290.000000              0.85809949              0.06774614
        292.000000              0.86005450              0.06867440
        294.000000              0.86274901              0.06906647
        296.000000              0.86576041              0.06784732
        298.000000              0.86570883              0.06932389
        300.000000              0.86973488              0.06989580
        302.000000              0.87088179              0.07026879
        304.000000              0.87235881              0.06952943
        306.000000              0.87492708              0.07049160
        308.000000              0.87753478              0.07075152
        310.000000              0.88139191              0.07053654
        312.000000              0.88197746              0.07155883
        314.000000              0.88439865              0.07196896
        316.000000              0.88705411              0.07298927
        318.000000              0.88855779              0.07251608
        320.000000              0.89096745              0.07322040
        322.000000              0.89345602              0.07433145
        324.000000              0.89668300              0.07396086
        326.000000              0.89858387              0.07548518
        328.000000              0.90036098              0.07538296
        330.000000              0.90289570              0.07624252
        332.000000              0.90578147              0.07723762
        334.000000              0.90704132              0.07688051
        336.000000              0.91031416              0.07765908
        338.000000              0.91203447              0.07767122
        340.000000              0.91392616              0.07877862
        342.000000              0.91684435              0.07947631
        344.000000              0.91980894              0.07946916
        346.000000              0.92058893              0.08020487
        348.000000              0.92288997              0.08084708
        350.000000              0.92505704              0.08107727
        352.000000              0.92799359              0.08244812
        354.000000              0.92975403              0.08167664
        356.000000              0.93235191              0.08334828
        358.000000              0.93464293              0.08280405
        360.000000              0.93632926              0.08354508
        362.000000              0.93888480              0.08483774
        364.000000              0.94095310              0.08525468
        366.000000              0.94368905              0.08555919
        368.000000              0.94438649              0.08627483
        370.000000              0.94842551              0.08654278
        372.000000              0.95017663              0.08788878
        374.000000              0.95174106              0.08775536
        376.000000              0.95339735              0.08907055
        378.000000              0.95612755              0.08861792
        380.000000              0.95796512              0.08804522
        382.000000              0.96013106              0.08888114
        384.000000              0.96252070              0.08928855
        386.000000              0.96510781              0.08861422
        388.000000              0.96707354              0.08964710
        390.000000              0.96898640              0.08986358
        392.000000              0.97286587              0.08852506
        394.000000              0.97361262              0.08966678
        396.000000              0.97596256              0.09085643
        398.000000              0.97924920              0.09038979
        400.000000              0.98019232              0.08996882
        402.000000              0.98265589              0.09131523
        404.000000              0.98521662              0.09170740
        406.000000              0.98578211              0.09062700
        408.000000              0.98867783              0.09265327
        410.000000              0.99127346              0.09145965
        412.000000              0.99230494              0.09222729
        414.000000              0.99423011              0.09199061
        416.000000              0.99782909              0.09277608
        418.000000              0.99896154              0.09257595
        420.000000              1.00099800              0.09343083
        422.000000              1.00349861              0.09399393
        424.000000              1.00504904              0.09417931
        426.000000              1.00789395              0.09460771
        428.000000              1.00926114              0.09560060
        430.000000              1.01192907              0.09580202
        432.000000              1.01403691              0.09539362
        434.000000              1.01542175              0.09590212
        436.000000              1.01811832              0.09712985
        438.000000              1.02037323              0.09644677
        440.000000              1.02256807              0.09817701
        442.000000              1.02318568              0.09776562
        444.000000              1.02682550              0.09819448
        446.000000              1.02979593              0.09724428
        448.000000              1.03029145              0.09726796
        450.000000              1.03275856              0.09833996
        452.000000              1.03506959              0.09817346
        454.000000              1.03673455              0.09734345
        456.000000              1.03908356              0.09798835
        458.000000              1.04039478              0.09757283
        460.000000              1.04330612              0.09795092
        462.000000              1.04530573              0.09769823
        464.000000              1.04626961              0.09722989
        466.000000              1.04800301              0.09811830
        468.000000              1.05010436              0.09802639
        470.000000              1.05196602              0.09818123
        472.000000              1.05450192              0.09733763
        474.000000              1.05582223              0.09869840
        476.000000              1.05794910              0.09817954
        478.000000              1.05976413              0.09859445
        480.000000              1.06164780              0.09767793
        482.000000              1.06351247              0.09861805
        484.000000              1.06571449              0.09844654
        486.000000              1.06785665              0.09963979
        488.000000              1.06911636              0.09795621
        490.000000              1.07140775              0.09883433
        492.000000              1.07224509              0.09972684
        494.000000              1.07474773              0.09919211
        496.000000              1.07623005              0.09904066
        498.000000              1.07777245              0.10023989
        500.000000              1.07880414              0.09890023
        502.000000              1.08141449              0.10025582
        504.000000              1.08425195              0.09999830
        506.000000              1.08495779              0.10103112
        508.000000              1.08544412              0.09911634
        510.000000              1.08882875              0.10057079
        512.000000              1.09002685              0.10151201
        514.000000              1.09096149              0.09997944
        516.000000              1.09288253              0.10076759
        518.000000              1.09540313              0.10207816
        520.000000              1.09678250              0.10073390
        522.000000              1.09752721              0.10045068
        524.000000              1.10065236              0.10216492
        526.000000              1.10252096              0.09950684
        528.000000              1.10331290              0.10034686
        530.000000              1.10607555              0.10100505
        532.000000              1.10913942              0.09993838
        534.000000              1.10890651              0.09872588
        536.000000              1.11170623              0.10144014
        538.000000              1.11361033              0.10043756
        540.000000              1.11452175              0.10034627
        542.000000              1.11688515              0.10038495
        544.000000              1.11941885              0.10076003
        546.000000              1.12047966              0.09915612
        548.000000              1.12290485              0.10056708
        550.000000              1.12388870              0.10226251
        552.000000              1.12684232              0.10277373
        554.000000              1.12904079              0.10302457
        556.000000              1.12995457              0.10442786
        558.000000              1.13211773              0.10444562
        560.000000              1.13481303              0.10436345
        562.000000              1.13566861              0.10626659
        564.000000              1.13717028              0.10596654
        566.000000              1.14016925              0.10536859
        568.000000              1.14216878              0.10705337
        570.000000              1.14262986              0.10743092
        572.000000              1.14445702              0.10610558
        574.000000              1.14771246              0.10814522
        576.000000              1.14847496              0.10762457
        578.000000              1.15026943              0.10753431
        580.000000              1.15352913              0.10727114
        582.000000              1.15450914              0.10877032
        584.000000              1.15557120              0.10772231
        586.000000              1.15876279              0.10781387
        588.000000              1.15913358              0.10797060
        590.000000              1.16072255              0.10766402
        592.000000              1.16341637              0.10803910
        594.000000              1.16371426              0.10786596
        596.000000              1.16567682              0.10812169
        598.000000              1.16849499              0.10857862
        600.000000              1.16972206              0.10834455
