       # Time (ps)   MSD_mean (Angstrom^2)    MSD_std (Angstrom^2)
          2.000000              1.20055435              0.03588671
          4.000000              1.44712656              0.07221200
          6.000000              1.63441633              0.10079190
          8.000000              1.81131950              0.12865907
         10.000000              1.96170028              0.15608765
         12.000000              2.09367000              0.18236440
         14.000000              2.21815579              0.20778051
         16.000000              2.33917626              0.23559318
         18.000000              2.44895857              0.25977522
         20.000000              2.55514842              0.28398512
         22.000000              2.65636741              0.30498590
         24.000000              2.75559913              0.32719262
         26.000000              2.84930015              0.35200533
         28.000000              2.94506085              0.37433857
         30.000000              3.04146428              0.40080011
         32.000000              3.12897695              0.42520672
         34.000000              3.21869420              0.44223646
         36.000000              3.30419138              0.46433123
         38.000000              3.38947934              0.48665063
         40.000000              3.47871257              0.50830964
         42.000000              3.56322581              0.52845464
         44.000000              3.64670270              0.55756397
         46.000000              3.72845348              0.58131761
         48.000000              3.80771133              0.60005946
         50.000000              3.89095940              0.62273586
         52.000000              3.97245763              0.64495242
         54.000000              4.04434933              0.67663441
         56.000000              4.12180713              0.69955817
         58.000000              4.19526675              0.72179057
         60.000000              4.26624983              0.75029688
         62.000000              4.33930629              0.77454648
         64.000000              4.40818114              0.79833806
         66.000000              4.47885586              0.81749261
         68.000000              4.54727216              0.84009544
         70.000000              4.61347204              0.86048535
         72.000000              4.68271984              0.87526802
         74.000000              4.74729328              0.89695814
         76.000000              4.82069054              0.92155541
         78.000000              4.88563634              0.94196310
         80.000000              4.96059970              0.96091699
         82.000000              5.03272968              0.98421842
         84.000000              5.10028059              1.00658282
         86.000000              5.16762796              1.02809641
         88.000000              5.24365751              1.04778165
         90.000000              5.31328317              1.06722772
         92.000000              5.38254709              1.08921782
         94.000000              5.45096728              1.10994283
         96.000000              5.51942406              1.13279742
         98.000000              5.58893241              1.15869258
        100.000000              5.66018794              1.17347432
        102.000000              5.73137156              1.20154075
        104.000000              5.80819663              1.22433040
        106.000000              5.88225361              1.25288063
        108.000000              5.96279527              1.28136120
        110.000000              6.02974181              1.30665781
        112.000000              6.09585204              1.33042229
        114.000000              6.16828569              1.35690565
        116.000000              6.23688757              1.38464296
        118.000000              6.30450417              1.41893508
        120.000000              6.36730995              1.43763713
        122.000000              6.42900550              1.47609536
        124.000000              6.49356001              1.50289093
        126.000000              6.55162692              1.52184440
        128.000000              6.60921509              1.55269422
        130.000000              6.67760676              1.56965074
        132.000000              6.72780430              1.59329161
        134.000000              6.78566740              1.61163636
        136.000000              6.84392442              1.62481674
        138.000000              6.90698946              1.64304480
        140.000000              6.96298038              1.65996591
        142.000000              7.02701631              1.66734481
        144.000000              7.09407146              1.69381504
        146.000000              7.16471355              1.69681145
        148.000000              7.22930015              1.71520772
        150.000000              7.29865277              1.72714155
        152.000000              7.36045522              1.73011661
        154.000000              7.42259487              1.72853945
        156.000000              7.47773390              1.73307452
        158.000000              7.54405468              1.73174171
        160.000000              7.60535588              1.72389371
        162.000000              7.66125555              1.72283900
        164.000000              7.70906628              1.72237636
        166.000000              7.77103224              1.72517871
        168.000000              7.82086113              1.71838851
        170.000000              7.88486197              1.72613188
        172.000000              7.94621932              1.73494048
        174.000000              8.00790459              1.73986987
        176.000000              8.07495823              1.75436296
        178.000000              8.11941607              1.75997019
        180.000000              8.16203375              1.80170765
        182.000000              8.22097430              1.84071694
        184.000000              8.29229715              1.88414172
        186.000000              8.32160984              1.92176788
        188.000000              8.40562171              1.95639268
        190.000000              8.46974069              1.98837387
        192.000000              8.52638312              2.03768582
        194.000000              8.59679017              2.03370333
        196.000000              8.68962886              2.05469544
        198.000000              8.67032848              2.13478204
