       # Time (ps)   MSD_mean (Angstrom^2)    MSD_std (Angstrom^2)
          2.000000              1.19750166              0.02748249
          4.000000              1.44472654              0.04731115
          6.000000              1.63145881              0.06425024
          8.000000              1.80618119              0.07906395
         10.000000              1.96002777              0.09199943
         12.000000              2.09030515              0.10628877
         14.000000              2.21738046              0.11799502
         16.000000              2.33891949              0.13040031
         18.000000              2.45074638              0.14213853
         20.000000              2.56066023              0.15265632
         22.000000              2.66701190              0.16352690
         24.000000              2.76922264              0.17385686
         26.000000              2.86795755              0.18292274
         28.000000              2.96385778              0.19325017
         30.000000              3.05976646              0.20452975
         32.000000              3.15138366              0.21478415
         34.000000              3.24247597              0.22237102
         36.000000              3.32972875              0.23087385
         38.000000              3.41616168              0.24015822
         40.000000              3.50296424              0.24894279
         42.000000              3.58608809              0.25735932
         44.000000              3.66996381              0.26581797
         46.000000              3.75296357              0.27532879
         48.000000              3.83549184              0.28423467
         50.000000              3.91523761              0.29195532
         52.000000              3.99677959              0.30110857
         54.000000              4.07571970              0.31190330
         56.000000              4.15474274              0.32006239
         58.000000              4.23431917              0.32903410
         60.000000              4.31236764              0.33633198
         62.000000              4.38989913              0.34493775
         64.000000              4.46631010              0.35360065
         66.000000              4.54376756              0.36100465
         68.000000              4.61970491              0.37027818
         70.000000              4.69329431              0.37800482
         72.000000              4.76911455              0.38485677
         74.000000              4.84392233              0.39306284
         76.000000              4.91814713              0.40191136
         78.000000              4.99270538              0.40920123
         80.000000              5.06507304              0.41666760
         82.000000              5.13924181              0.42511798
         84.000000              5.20997713              0.43307920
         86.000000              5.28332214              0.44260064
         88.000000              5.35546369              0.45028648
         90.000000              5.42683677              0.45896055
         92.000000              5.49787513              0.46832140
         94.000000              5.56834732              0.47575040
         96.000000              5.63840080              0.48426778
         98.000000              5.70851663              0.49356056
        100.000000              5.77829928              0.50186503
        102.000000              5.84966087              0.50956027
        104.000000              5.91886832              0.51718339
        106.000000              5.98896747              0.52703665
        108.000000              6.05926140              0.53636851
        110.000000              6.12925957              0.54561523
        112.000000              6.19958921              0.55285381
        114.000000              6.26796394              0.56236542
        116.000000              6.33590380              0.56714326
        118.000000              6.40503944              0.57627014
        120.000000              6.47324601              0.58312131
        122.000000              6.54049260              0.59238597
        124.000000              6.61039586              0.60122190
        126.000000              6.67776556              0.61080341
        128.000000              6.74383058              0.61799523
        130.000000              6.81022879              0.62736531
        132.000000              6.87568332              0.63632433
        134.000000              6.94265289              0.64235699
        136.000000              7.00876742              0.65073731
        138.000000              7.07448305              0.65833213
        140.000000              7.14320058              0.66594802
        142.000000              7.20910382              0.67341387
        144.000000              7.27636469              0.68178928
        146.000000              7.34264674              0.68877027
        148.000000              7.41051561              0.69933302
        150.000000              7.47647410              0.70819100
        152.000000              7.54014917              0.71577532
        154.000000              7.60515941              0.72447192
        156.000000              7.66936873              0.73370962
        158.000000              7.73528988              0.74274851
        160.000000              7.79877814              0.74974675
        162.000000              7.86404731              0.75989517
        164.000000              7.92980432              0.76631051
        166.000000              7.99285033              0.77523052
        168.000000              8.05662082              0.78246833
        170.000000              8.11951201              0.79003822
        172.000000              8.18274509              0.79845865
        174.000000              8.24668687              0.80662931
        176.000000              8.31064612              0.81590593
        178.000000              8.37354938              0.82394595
        180.000000              8.43759768              0.83395699
        182.000000              8.50063949              0.84230766
        184.000000              8.56351025              0.84986611
        186.000000              8.62738105              0.85801194
        188.000000              8.68935914              0.86683054
        190.000000              8.75058334              0.87600247
        192.000000              8.81139637              0.88433885
        194.000000              8.87287930              0.89106051
        196.000000              8.93438446              0.90094104
        198.000000              8.99640476              0.90890285
        200.000000              9.05716879              0.91715157
        202.000000              9.11770333              0.92487119
