Distance_A	g(r)_avg	g(r)_std
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.000000	0.000000
0.225000	0.000000	0.000000
0.275000	0.000000	0.000000
0.325000	0.000000	0.000000
0.375000	0.000000	0.000000
0.425000	0.000000	0.000000
0.475000	0.000000	0.000000
0.525000	0.000000	0.000000
0.575000	0.000000	0.000000
0.625000	0.000000	0.000000
0.675000	0.000000	0.000000
0.725000	0.000000	0.000000
0.775000	0.000000	0.000000
0.825000	0.000000	0.000000
0.875000	0.000000	0.000000
0.925000	0.000000	0.000000
0.975000	0.000000	0.000000
1.025000	0.000000	0.000000
1.075000	0.000000	0.000000
1.125000	0.000000	0.000000
1.175000	0.000000	0.000000
1.225000	0.000000	0.000000
1.275000	0.000000	0.000000
1.325000	0.000000	0.000000
1.375000	0.000000	0.000000
1.425000	0.000000	0.000000
1.475000	0.000000	0.000000
1.525000	0.000000	0.000000
1.575000	0.000000	0.000000
1.625000	0.000000	0.000000
1.675000	0.000000	0.000000
1.725000	0.000000	0.000000
1.775000	0.000000	0.000000
1.825000	0.000000	0.000000
1.875000	0.000000	0.000000
1.925000	0.000000	0.000000
1.975000	0.000000	0.000000
2.025000	0.000000	0.000000
2.075000	0.000000	0.000000
2.125000	0.000000	0.000000
2.175000	0.000000	0.000000
2.225000	0.000000	0.000000
2.275000	0.000000	0.000000
2.325000	0.000000	0.000000
2.375000	0.000000	0.000000
2.425000	0.000000	0.000000
2.475000	0.000000	0.000000
2.525000	0.000000	0.000000
2.575000	0.000000	0.000000
2.625000	0.000000	0.000000
2.675000	0.000000	0.000000
2.725000	0.000000	0.000000
2.775000	0.000059	0.000117
2.825000	0.000057	0.000113
2.875000	0.000328	0.000319
2.925000	0.000844	0.000106
2.975000	0.001684	0.001090
3.025000	0.003356	0.000742
3.075000	0.007164	0.001641
3.125000	0.013919	0.002973
3.175000	0.026833	0.005439
3.225000	0.045111	0.007393
3.275000	0.071616	0.011139
3.325000	0.110201	0.011005
3.375000	0.158458	0.023017
3.425000	0.227353	0.027181
3.475000	0.318946	0.033513
3.525000	0.407795	0.038915
3.575000	0.524125	0.056337
3.625000	0.657637	0.059783
3.675000	0.798217	0.075291
3.725000	0.930705	0.078423
3.775000	1.073210	0.084637
3.825000	1.203427	0.083290
3.875000	1.323752	0.089546
3.925000	1.451459	0.100311
3.975000	1.561902	0.078325
4.025000	1.645928	0.090456
4.075000	1.722475	0.082425
4.125000	1.804457	0.067594
4.175000	1.851057	0.073589
4.225000	1.906392	0.061032
4.275000	1.937077	0.055751
4.325000	1.954012	0.043549
4.375000	1.960069	0.044746
4.425000	1.963602	0.044941
4.475000	1.954063	0.052327
4.525000	1.949471	0.039824
4.575000	1.922390	0.036198
4.625000	1.878664	0.030407
4.675000	1.834520	0.030202
4.725000	1.784593	0.020581
4.775000	1.750902	0.014326
4.825000	1.713017	0.032884
4.875000	1.679218	0.014692
4.925000	1.620944	0.023124
4.975000	1.543479	0.022893
5.025000	1.471533	0.016447
5.075000	1.399987	0.022410
5.125000	1.334911	0.025070
5.175000	1.270137	0.022745
5.225000	1.225269	0.026471
5.275000	1.177970	0.022431
5.325000	1.134039	0.032028
5.375000	1.090906	0.026728
5.425000	1.045174	0.024160
5.475000	0.999024	0.025230
5.525000	0.958775	0.021871
5.575000	0.926297	0.025390
5.625000	0.894703	0.019658
5.675000	0.857091	0.020223
5.725000	0.828945	0.017085
5.775000	0.808493	0.015392
5.825000	0.774430	0.004764
5.875000	0.748940	0.011389
5.925000	0.731028	0.011196
5.975000	0.713013	0.009945
6.025000	0.696153	0.009275
6.075000	0.683994	0.013276
6.125000	0.674257	0.008722
6.175000	0.668794	0.007621
6.225000	0.669013	0.009314
6.275000	0.660126	0.006165
6.325000	0.662587	0.009578
6.375000	0.669168	0.007826
6.425000	0.668978	0.011397
6.475000	0.678656	0.009177
6.525000	0.683993	0.011177
6.575000	0.699253	0.006608
6.625000	0.715262	0.010626
6.675000	0.725871	0.013223
6.725000	0.743005	0.012410
6.775000	0.770389	0.015354
6.825000	0.783932	0.020617
6.875000	0.805341	0.013109
6.925000	0.828990	0.019196
6.975000	0.850610	0.022063
7.025000	0.874927	0.019542
7.075000	0.892303	0.017312
7.125000	0.923179	0.031695
7.175000	0.942682	0.024433
7.225000	0.967847	0.024799
7.275000	0.987447	0.026464
7.325000	1.008023	0.028652
7.375000	1.026997	0.027097
7.425000	1.043773	0.026819
7.475000	1.054328	0.023304
7.525000	1.074472	0.024677
7.575000	1.088760	0.025853
7.625000	1.100136	0.029879
7.675000	1.112067	0.031536
7.725000	1.118324	0.029208
7.775000	1.125239	0.027098
7.825000	1.131747	0.029574
7.875000	1.128191	0.020640
7.925000	1.130321	0.019021
7.975000	1.125402	0.022646
8.025000	1.126287	0.022411
8.075000	1.122425	0.020166
8.125000	1.116971	0.016288
8.175000	1.113032	0.012320
8.225000	1.108332	0.012668
8.275000	1.099259	0.013036
8.325000	1.086844	0.016233
8.375000	1.081322	0.010636
8.425000	1.071070	0.010532
8.475000	1.067913	0.010265
8.525000	1.051092	0.013098
8.575000	1.042825	0.008621
8.625000	1.032900	0.009982
8.675000	1.018742	0.010164
8.725000	1.004109	0.010628
8.775000	0.990130	0.010001
8.825000	0.984921	0.011334
8.875000	0.975844	0.004173
8.925000	0.962066	0.008995
8.975000	0.948321	0.010234
9.025000	0.945078	0.009416
9.075000	0.937034	0.007523
9.125000	0.932591	0.011825
9.175000	0.924144	0.009029
9.225000	0.916897	0.010893
9.275000	0.914140	0.010782
9.325000	0.909442	0.008100
9.375000	0.907598	0.007408
9.425000	0.905812	0.009963
9.475000	0.907620	0.007133
9.525000	0.908649	0.012085
9.575000	0.909734	0.009228
9.625000	0.905781	0.013595
9.675000	0.909956	0.014721
9.725000	0.911734	0.010449
9.775000	0.915002	0.013744
9.825000	0.913352	0.016495
9.875000	0.924257	0.010628
9.925000	0.930903	0.010617
9.975000	0.935060	0.010663
10.025000	0.937681	0.014884
10.075000	0.940876	0.013200
10.125000	0.946733	0.011894
10.175000	0.954323	0.013442
10.225000	0.959992	0.018386
10.275000	0.965681	0.013066
10.325000	0.974565	0.011178
10.375000	0.983414	0.010819
10.425000	0.985405	0.011853
10.475000	0.992701	0.011085
10.525000	0.996190	0.011476
10.575000	1.003223	0.016228
10.625000	1.012255	0.010220
10.675000	1.016768	0.013249
10.725000	1.021235	0.014459
10.775000	1.021857	0.016576
10.825000	1.028721	0.019106
10.875000	1.035454	0.015797
10.925000	1.037549	0.011442
10.975000	1.041415	0.011178
11.025000	1.040658	0.015855
11.075000	1.039426	0.012788
11.125000	1.044764	0.012464
11.175000	1.041707	0.013917
11.225000	1.045640	0.010650
11.275000	1.045320	0.012467
11.325000	1.047789	0.010552
11.375000	1.046911	0.011944
11.425000	1.040819	0.010618
11.475000	1.038659	0.005852
11.525000	1.038611	0.010893
11.575000	1.037760	0.008569
11.625000	1.034055	0.006379
11.675000	1.031644	0.010170
11.725000	1.029010	0.008978
11.775000	1.027670	0.006594
11.825000	1.025948	0.008325
11.875000	1.022790	0.008619
11.925000	1.019134	0.011448
11.975000	1.015346	0.006283
12.025000	1.012753	0.004754
12.075000	1.008292	0.007767
12.125000	1.007805	0.004390
12.175000	1.002012	0.006709
12.225000	0.999310	0.005284
12.275000	0.996344	0.004631
12.325000	0.996145	0.006243
12.375000	0.991291	0.007735
12.425000	0.988459	0.003765
12.475000	0.988641	0.006076
12.525000	0.983021	0.000728
12.575000	0.982875	0.005171
12.625000	0.983647	0.006577
12.675000	0.978589	0.005707
12.725000	0.979805	0.006621
12.775000	0.976752	0.005790
12.825000	0.974065	0.005268
12.875000	0.978939	0.006912
12.925000	0.980101	0.007369
12.975000	0.979042	0.007092
13.025000	0.981963	0.007139
13.075000	0.981077	0.007852
13.125000	0.980948	0.007934
13.175000	0.980944	0.006997
13.225000	0.982988	0.007803
13.275000	0.984248	0.007161
13.325000	0.984895	0.007171
13.375000	0.986733	0.006989
13.425000	0.990622	0.007537
13.475000	0.991611	0.006927
13.525000	0.993545	0.008088
13.575000	0.994277	0.003171
13.625000	0.997115	0.008487
13.675000	0.997417	0.007254
13.725000	1.002526	0.005576
13.775000	1.004871	0.006067
13.825000	1.006320	0.006871
13.875000	1.005146	0.004381
13.925000	1.008297	0.005134
13.975000	1.011886	0.004468
14.025000	1.011732	0.006429
14.075000	1.012973	0.007159
14.125000	1.013498	0.004670
14.175000	1.015407	0.006003
14.225000	1.018420	0.005907
14.275000	1.020018	0.006664
14.325000	1.019628	0.006447
14.375000	1.019375	0.010477
14.425000	1.017375	0.005614
14.475000	1.022094	0.008682
14.525000	1.017698	0.006032
14.575000	1.018065	0.010181
14.625000	1.022380	0.004675
14.675000	1.018882	0.006964
14.725000	1.016128	0.004803
14.775000	1.017356	0.006072
14.825000	1.017475	0.004881
14.875000	1.015696	0.006330
14.925000	1.015470	0.005272
14.975000	1.014170	0.006208
15.025000	1.013934	0.006439
15.075000	1.013208	0.008413
15.125000	1.010427	0.005177
15.175000	1.008437	0.007781
15.225000	1.007811	0.007715
15.275000	1.008689	0.004268
15.325000	1.003229	0.006679
15.375000	1.006679	0.006629
15.425000	1.004285	0.007927
15.475000	1.001679	0.005517
15.525000	1.000261	0.004778
15.575000	0.997987	0.005222
15.625000	1.000280	0.006767
15.675000	0.998661	0.004754
15.725000	0.997792	0.006092
15.775000	0.997612	0.008734
15.825000	0.997500	0.006071
15.875000	0.997229	0.006652
15.925000	0.994148	0.005579
15.975000	0.992721	0.006485
16.025000	0.995188	0.006363
16.075000	0.998241	0.007964
16.125000	0.994178	0.007066
16.175000	0.990359	0.004353
16.225000	0.992308	0.005442
16.275000	0.995047	0.006322
16.325000	0.994502	0.005689
16.375000	0.997503	0.006440
16.425000	0.994273	0.006704
16.475000	0.994804	0.008035
16.525000	0.992939	0.004942
16.575000	0.995295	0.005203
16.625000	0.994754	0.004560
16.675000	0.996230	0.006871
16.725000	0.997934	0.006587
16.775000	0.996545	0.008483
16.825000	0.998360	0.008008
16.875000	1.000841	0.006295
16.925000	0.999729	0.006227
16.975000	1.001270	0.007431
17.025000	0.999171	0.005921
17.075000	0.998432	0.004394
17.125000	1.000522	0.003156
17.175000	1.001286	0.008786
17.225000	1.001868	0.005437
17.275000	1.005122	0.004043
17.325000	1.003471	0.005690
17.375000	1.002971	0.003239
17.425000	1.002433	0.005380
17.475000	1.004000	0.005292
17.525000	1.003231	0.004193
17.575000	1.004075	0.006409
17.625000	1.004637	0.005441
17.675000	1.004210	0.005443
17.725000	1.006880	0.006214
17.775000	1.005094	0.003992
17.825000	1.006833	0.006608
17.875000	1.004203	0.004449
17.925000	1.005547	0.005278
17.975000	1.003478	0.004252
18.025000	1.004738	0.004314
18.075000	1.003032	0.004286
18.125000	1.003381	0.005007
18.175000	1.002305	0.004896
18.225000	1.002827	0.006350
18.275000	1.005189	0.005949
18.325000	1.003235	0.004304
18.375000	1.002859	0.004760
18.425000	1.002412	0.002924
18.475000	1.001450	0.004966
18.525000	1.001784	0.004133
18.575000	1.001373	0.005188
18.625000	0.999804	0.006117
18.675000	1.000591	0.004745
18.725000	1.000774	0.005802
18.775000	1.001495	0.002979
18.825000	1.002848	0.005650
18.875000	1.002184	0.006846
18.925000	1.001328	0.004793
18.975000	1.001217	0.004906
19.025000	1.001296	0.005538
19.075000	1.000407	0.005760
19.125000	1.001513	0.005076
19.175000	1.000324	0.006078
19.225000	1.002795	0.006793
19.275000	0.999699	0.003478
19.325000	1.001481	0.004010
19.375000	1.000520	0.005435
19.425000	1.000195	0.004551
19.475000	1.001566	0.003118
19.525000	1.001784	0.006413
19.575000	1.002429	0.004444
19.625000	0.999567	0.005991
19.675000	1.000174	0.003509
19.725000	0.998892	0.005739
19.775000	1.000272	0.007121
19.825000	0.998065	0.005639
19.875000	0.998250	0.003376
19.925000	1.000744	0.005012
19.975000	0.999102	0.007185
