Distance_A	g(r)_avg	g(r)_std
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.000000	0.000000
0.225000	0.000000	0.000000
0.275000	0.000000	0.000000
0.325000	0.000000	0.000000
0.375000	0.000000	0.000000
0.425000	0.000000	0.000000
0.475000	0.000000	0.000000
0.525000	0.000000	0.000000
0.575000	0.000000	0.000000
0.625000	0.000000	0.000000
0.675000	0.000000	0.000000
0.725000	0.000000	0.000000
0.775000	0.000000	0.000000
0.825000	0.000000	0.000000
0.875000	0.000000	0.000000
0.925000	0.000000	0.000000
0.975000	0.000000	0.000000
1.025000	0.000000	0.000000
1.075000	0.000000	0.000000
1.125000	0.000000	0.000000
1.175000	0.000000	0.000000
1.225000	0.000000	0.000000
1.275000	0.000000	0.000000
1.325000	0.000000	0.000000
1.375000	0.000000	0.000000
1.425000	0.000000	0.000000
1.475000	0.000000	0.000000
1.525000	0.000000	0.000000
1.575000	0.000000	0.000000
1.625000	0.000000	0.000000
1.675000	0.000000	0.000000
1.725000	0.000000	0.000000
1.775000	0.000000	0.000000
1.825000	0.000000	0.000000
1.875000	0.000000	0.000000
1.925000	0.000000	0.000000
1.975000	0.000000	0.000000
2.025000	0.000000	0.000000
2.075000	0.000000	0.000000
2.125000	0.000000	0.000000
2.175000	0.000000	0.000000
2.225000	0.000000	0.000000
2.275000	0.000000	0.000000
2.325000	0.000000	0.000000
2.375000	0.000000	0.000000
2.425000	0.000000	0.000000
2.475000	0.000000	0.000000
2.525000	0.000000	0.000000
2.575000	0.000000	0.000000
2.625000	0.000000	0.000000
2.675000	0.000000	0.000000
2.725000	0.000182	0.000365
2.775000	0.002873	0.004022
2.825000	0.014768	0.018564
2.875000	0.045399	0.053549
2.925000	0.132690	0.130876
2.975000	0.376945	0.229061
3.025000	0.737268	0.237603
3.075000	0.772372	0.197614
3.125000	0.467542	0.156174
3.175000	0.229176	0.105767
3.225000	0.152006	0.064209
3.275000	0.134601	0.019327
3.325000	0.150230	0.022537
3.375000	0.246072	0.057822
3.425000	0.411629	0.094168
3.475000	0.570318	0.118280
3.525000	0.711978	0.089769
3.575000	1.067859	0.060774
3.625000	1.834560	0.178756
3.675000	3.049898	0.322812
3.725000	4.667033	0.331766
3.775000	6.947856	0.330324
3.825000	7.704464	0.292181
3.875000	4.847993	0.242930
3.925000	1.806578	0.162723
3.975000	0.512003	0.065563
4.025000	0.187842	0.029858
4.075000	0.102576	0.021898
4.125000	0.068895	0.020497
4.175000	0.056115	0.024221
4.225000	0.052644	0.027310
4.275000	0.051099	0.031190
4.325000	0.053135	0.028817
4.375000	0.052163	0.020880
4.425000	0.052790	0.010615
4.475000	0.059442	0.004094
4.525000	0.068060	0.009846
4.575000	0.082653	0.007375
4.625000	0.100826	0.012693
4.675000	0.120562	0.013589
4.725000	0.134367	0.016150
4.775000	0.155889	0.017724
4.825000	0.170462	0.014905
4.875000	0.190735	0.014123
4.925000	0.209055	0.013652
4.975000	0.231786	0.009897
5.025000	0.254987	0.015687
5.075000	0.292874	0.016766
5.125000	0.328432	0.021953
5.175000	0.359230	0.025718
5.225000	0.397065	0.030484
5.275000	0.431103	0.040262
5.325000	0.454801	0.047343
5.375000	0.479406	0.050895
5.425000	0.495221	0.043188
5.475000	0.509432	0.030695
5.525000	0.533273	0.027871
5.575000	0.556543	0.026722
5.625000	0.587568	0.025342
5.675000	0.613997	0.023927
5.725000	0.645686	0.024586
5.775000	0.669217	0.038033
5.825000	0.684808	0.026772
5.875000	0.710122	0.031753
5.925000	0.736019	0.030850
5.975000	0.758132	0.027907
6.025000	0.785273	0.019807
6.075000	0.810784	0.022226
6.125000	0.845436	0.026288
6.175000	0.882121	0.022591
6.225000	0.925785	0.022449
6.275000	0.956116	0.029592
6.325000	1.000682	0.036103
6.375000	1.045637	0.033215
6.425000	1.079473	0.027305
6.475000	1.120060	0.033958
6.525000	1.165507	0.030325
6.575000	1.189349	0.027115
6.625000	1.225892	0.034918
6.675000	1.248592	0.025029
6.725000	1.285422	0.035920
6.775000	1.311794	0.025353
6.825000	1.342891	0.019055
6.875000	1.376684	0.018001
6.925000	1.401171	0.014761
6.975000	1.422470	0.020817
7.025000	1.440853	0.020194
7.075000	1.453993	0.021159
7.125000	1.463048	0.022685
7.175000	1.471825	0.027544
7.225000	1.482633	0.025632
7.275000	1.500206	0.022492
7.325000	1.516011	0.019306
7.375000	1.529623	0.014673
7.425000	1.555543	0.013376
7.475000	1.568957	0.015381
7.525000	1.571096	0.022070
7.575000	1.557971	0.032601
7.625000	1.530654	0.044329
7.675000	1.462034	0.033015
7.725000	1.366166	0.029504
7.775000	1.284280	0.023979
7.825000	1.217681	0.012481
7.875000	1.178813	0.020935
7.925000	1.150030	0.016710
7.975000	1.123336	0.018348
8.025000	1.107621	0.016011
8.075000	1.092908	0.021790
8.125000	1.069744	0.015476
8.175000	1.054158	0.021273
8.225000	1.038850	0.017589
8.275000	1.021546	0.022466
8.325000	1.010752	0.023528
8.375000	0.995005	0.027623
8.425000	0.985616	0.024946
8.475000	0.973624	0.023701
8.525000	0.962486	0.022847
8.575000	0.958535	0.023018
8.625000	0.950792	0.018957
8.675000	0.946374	0.015570
8.725000	0.941639	0.010524
8.775000	0.941202	0.009019
8.825000	0.939682	0.005153
8.875000	0.937540	0.006590
8.925000	0.942292	0.007857
8.975000	0.944761	0.013992
9.025000	0.944657	0.013316
9.075000	0.945138	0.015375
9.125000	0.946556	0.018148
9.175000	0.949582	0.013122
9.225000	0.955703	0.017710
9.275000	0.954607	0.012604
9.325000	0.957360	0.011349
9.375000	0.959265	0.012041
9.425000	0.960532	0.010583
9.475000	0.961070	0.009171
9.525000	0.964097	0.009410
9.575000	0.964576	0.012232
9.625000	0.964066	0.010789
9.675000	0.968615	0.011277
9.725000	0.970598	0.016063
9.775000	0.967249	0.014607
9.825000	0.977035	0.020105
9.875000	0.970038	0.022787
9.925000	0.973037	0.021345
9.975000	0.971476	0.019022
10.025000	0.974041	0.022110
10.075000	0.974420	0.020204
10.125000	0.968873	0.020155
10.175000	0.967530	0.024819
10.225000	0.964721	0.021040
10.275000	0.961502	0.021899
10.325000	0.958028	0.021034
10.375000	0.954228	0.016937
10.425000	0.950760	0.018059
10.475000	0.952377	0.015125
10.525000	0.949921	0.018021
10.575000	0.950970	0.017580
10.625000	0.946333	0.015103
10.675000	0.950189	0.016113
10.725000	0.943058	0.012600
10.775000	0.944389	0.012778
10.825000	0.941423	0.013192
10.875000	0.938250	0.011811
10.925000	0.934729	0.011795
10.975000	0.933838	0.012018
11.025000	0.929411	0.014746
11.075000	0.930032	0.013527
11.125000	0.930357	0.014925
11.175000	0.929998	0.011550
11.225000	0.932956	0.013151
11.275000	0.934856	0.012635
11.325000	0.939450	0.011251
11.375000	0.939086	0.012064
11.425000	0.940132	0.010501
11.475000	0.936669	0.010682
11.525000	0.941645	0.012101
11.575000	0.935526	0.014481
11.625000	0.935817	0.010345
11.675000	0.938224	0.016849
11.725000	0.939358	0.016559
11.775000	0.941266	0.014047
11.825000	0.942789	0.016838
11.875000	0.944412	0.014085
11.925000	0.951507	0.013247
11.975000	0.956638	0.013293
12.025000	0.958464	0.013734
12.075000	0.959983	0.012600
12.125000	0.964003	0.012700
12.175000	0.969804	0.011232
12.225000	0.969977	0.011167
12.275000	0.973042	0.010083
12.325000	0.975975	0.012417
12.375000	0.980079	0.009418
12.425000	0.985771	0.009139
12.475000	0.988569	0.010842
12.525000	0.994264	0.009795
12.575000	0.996854	0.012700
12.625000	1.004534	0.011143
12.675000	1.006718	0.009089
12.725000	1.010560	0.009709
12.775000	1.013836	0.013419
12.825000	1.019701	0.012742
12.875000	1.021614	0.010777
12.925000	1.025400	0.011828
12.975000	1.029846	0.013183
13.025000	1.033134	0.010618
13.075000	1.032066	0.010156
13.125000	1.040061	0.010536
13.175000	1.043709	0.012553
13.225000	1.046955	0.011289
13.275000	1.046025	0.011186
13.325000	1.045411	0.010936
13.375000	1.046737	0.010162
13.425000	1.048716	0.010339
13.475000	1.048098	0.008672
13.525000	1.047253	0.006356
13.575000	1.049431	0.007946
13.625000	1.049668	0.008708
13.675000	1.047601	0.007837
13.725000	1.045774	0.007873
13.775000	1.048510	0.009300
13.825000	1.046781	0.007099
13.875000	1.046915	0.007219
13.925000	1.046353	0.006642
13.975000	1.045044	0.008137
14.025000	1.045480	0.007738
14.075000	1.042574	0.005577
14.125000	1.043730	0.006765
14.175000	1.037445	0.004370
14.225000	1.036532	0.006625
14.275000	1.035856	0.007188
14.325000	1.036461	0.006954
14.375000	1.033999	0.006470
14.425000	1.031483	0.008666
14.475000	1.029885	0.008174
14.525000	1.026084	0.011086
14.575000	1.026167	0.011238
14.625000	1.020872	0.013798
14.675000	1.020598	0.013588
14.725000	1.018244	0.010591
14.775000	1.016380	0.012434
14.825000	1.013916	0.013941
14.875000	1.009281	0.011387
14.925000	1.011101	0.011489
14.975000	1.008527	0.008316
15.025000	1.005216	0.008819
15.075000	1.004256	0.009939
15.125000	1.007010	0.009339
15.175000	1.004721	0.013993
15.225000	1.003317	0.016001
15.275000	0.998147	0.014237
15.325000	0.999703	0.012080
15.375000	1.000266	0.012415
15.425000	0.996014	0.013664
15.475000	0.994774	0.013950
15.525000	0.991710	0.012512
15.575000	0.990478	0.012204
15.625000	0.988279	0.013804
15.675000	0.985925	0.015611
15.725000	0.986860	0.013333
15.775000	0.985329	0.012486
15.825000	0.983207	0.011840
15.875000	0.980486	0.011956
15.925000	0.980088	0.011967
15.975000	0.981623	0.010063
16.025000	0.979038	0.010633
16.075000	0.980172	0.010175
16.125000	0.980475	0.009466
16.175000	0.977846	0.008899
16.225000	0.981628	0.008319
16.275000	0.977447	0.008257
16.325000	0.978955	0.009116
16.375000	0.978230	0.010648
16.425000	0.979461	0.007930
16.475000	0.981200	0.009856
16.525000	0.981130	0.008587
16.575000	0.980909	0.007523
16.625000	0.981283	0.009508
16.675000	0.979570	0.008508
16.725000	0.979075	0.007704
16.775000	0.981407	0.006446
16.825000	0.981369	0.008546
16.875000	0.983326	0.008418
16.925000	0.981179	0.008059
16.975000	0.982927	0.007154
17.025000	0.984593	0.008941
17.075000	0.983322	0.006153
17.125000	0.985952	0.005770
17.175000	0.985314	0.006818
17.225000	0.987521	0.005982
17.275000	0.987710	0.004721
17.325000	0.989151	0.006748
17.375000	0.988629	0.008265
17.425000	0.991529	0.008209
17.475000	0.991748	0.007800
17.525000	0.992815	0.006947
17.575000	0.992668	0.006849
17.625000	0.993073	0.009704
17.675000	0.994416	0.008600
17.725000	0.994043	0.010390
17.775000	0.994137	0.011245
17.825000	0.994608	0.010942
17.875000	0.993273	0.010444
17.925000	0.994264	0.011272
17.975000	0.992949	0.010366
18.025000	0.993712	0.011531
18.075000	0.995331	0.009427
18.125000	0.996964	0.010381
18.175000	0.994319	0.008584
18.225000	0.995987	0.007763
18.275000	0.996602	0.008900
18.325000	0.995767	0.007606
18.375000	0.998059	0.007310
18.425000	0.996240	0.006705
18.475000	0.996565	0.004877
18.525000	0.996842	0.003513
18.575000	0.997868	0.004203
18.625000	0.999123	0.002648
18.675000	1.000327	0.004506
18.725000	1.000540	0.004331
18.775000	0.998615	0.004492
18.825000	0.999721	0.005499
18.875000	1.002260	0.004384
18.925000	0.999330	0.005533
18.975000	1.002066	0.004893
19.025000	0.999954	0.005490
19.075000	1.001888	0.005115
19.125000	1.003649	0.006267
19.175000	1.001638	0.006109
19.225000	1.005070	0.006537
19.275000	1.003658	0.006678
19.325000	1.004408	0.007372
19.375000	1.006280	0.007471
19.425000	1.005623	0.007739
19.475000	1.003868	0.008982
19.525000	1.005363	0.007304
19.575000	1.004468	0.008330
19.625000	1.004872	0.008302
19.675000	1.006324	0.007608
19.725000	1.004892	0.008385
19.775000	1.002784	0.007492
19.825000	1.005724	0.008701
19.875000	1.002518	0.007547
19.925000	1.004656	0.008903
19.975000	1.003711	0.008037
