Distance_A	g(r)_avg	g(r)_std
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.000000	0.000000
0.225000	0.000000	0.000000
0.275000	0.000000	0.000000
0.325000	0.000000	0.000000
0.375000	0.000000	0.000000
0.425000	0.000000	0.000000
0.475000	0.000000	0.000000
0.525000	0.000000	0.000000
0.575000	0.000000	0.000000
0.625000	0.000000	0.000000
0.675000	0.000000	0.000000
0.725000	0.000000	0.000000
0.775000	0.000000	0.000000
0.825000	0.000000	0.000000
0.875000	0.000000	0.000000
0.925000	0.000000	0.000000
0.975000	0.000000	0.000000
1.025000	0.000000	0.000000
1.075000	0.000000	0.000000
1.125000	0.000000	0.000000
1.175000	0.000000	0.000000
1.225000	0.000000	0.000000
1.275000	0.000000	0.000000
1.325000	0.000000	0.000000
1.375000	0.000000	0.000000
1.425000	0.000000	0.000000
1.475000	0.000000	0.000000
1.525000	0.000000	0.000000
1.575000	0.000000	0.000000
1.625000	0.000000	0.000000
1.675000	0.000000	0.000000
1.725000	0.000000	0.000000
1.775000	0.000000	0.000000
1.825000	0.000000	0.000000
1.875000	0.000000	0.000000
1.925000	0.000000	0.000000
1.975000	0.000000	0.000000
2.025000	0.000000	0.000000
2.075000	0.000000	0.000000
2.125000	0.000000	0.000000
2.175000	0.000000	0.000000
2.225000	0.000000	0.000000
2.275000	0.000000	0.000000
2.325000	0.000000	0.000000
2.375000	0.000000	0.000000
2.425000	0.000000	0.000000
2.475000	0.000000	0.000000
2.525000	0.000000	0.000000
2.575000	0.000000	0.000000
2.625000	0.000000	0.000000
2.675000	0.000000	0.000000
2.725000	0.000004	0.000008
2.775000	0.000029	0.000019
2.825000	0.000184	0.000031
2.875000	0.001470	0.000146
2.925000	0.008388	0.000637
2.975000	0.036171	0.001364
3.025000	0.124007	0.004694
3.075000	0.337881	0.007194
3.125000	0.744148	0.011565
3.175000	1.354641	0.018692
3.225000	2.079354	0.023070
3.275000	2.734789	0.027503
3.325000	3.125127	0.028236
3.375000	3.167592	0.027452
3.425000	2.920321	0.022560
3.475000	2.505062	0.014189
3.525000	2.073580	0.007380
3.575000	1.716249	0.003885
3.625000	1.474820	0.011594
3.675000	1.336501	0.010912
3.725000	1.267348	0.009598
3.775000	1.240666	0.011005
3.825000	1.233677	0.007497
3.875000	1.234530	0.007792
3.925000	1.231327	0.007730
3.975000	1.219346	0.003280
4.025000	1.195290	0.004329
4.075000	1.173374	0.002220
4.125000	1.137277	0.002915
4.175000	1.104945	0.004494
4.225000	1.069404	0.003628
4.275000	1.032405	0.002508
4.325000	0.994362	0.003638
4.375000	0.959826	0.003658
4.425000	0.925465	0.004753
4.475000	0.896628	0.006598
4.525000	0.880013	0.005184
4.575000	0.897825	0.006174
4.625000	0.987176	0.003977
4.675000	1.150045	0.004244
4.725000	1.280132	0.006953
4.775000	1.251521	0.005518
4.825000	1.091136	0.003097
4.875000	0.910906	0.002491
4.925000	0.788631	0.003183
4.975000	0.728553	0.001936
5.025000	0.705359	0.001460
5.075000	0.696221	0.001520
5.125000	0.697476	0.001414
5.175000	0.700404	0.001358
5.225000	0.710745	0.001239
5.275000	0.718521	0.001442
5.325000	0.729168	0.003210
5.375000	0.742639	0.001625
5.425000	0.756456	0.002459
5.475000	0.773114	0.003086
5.525000	0.787476	0.004031
5.575000	0.802187	0.003185
5.625000	0.819407	0.002782
5.675000	0.833689	0.003525
5.725000	0.851524	0.003997
5.775000	0.868719	0.004540
5.825000	0.885077	0.002902
5.875000	0.902705	0.004554
5.925000	0.919703	0.003323
5.975000	0.933156	0.004823
6.025000	0.948245	0.004982
6.075000	0.959455	0.002090
6.125000	0.969657	0.002850
6.175000	0.981046	0.001091
6.225000	0.994190	0.003253
6.275000	1.006849	0.003042
6.325000	1.023509	0.004173
6.375000	1.045287	0.004989
6.425000	1.067440	0.004011
6.475000	1.093561	0.004963
6.525000	1.120153	0.005672
6.575000	1.144443	0.005105
6.625000	1.167099	0.006144
6.675000	1.186675	0.004681
6.725000	1.198392	0.005691
6.775000	1.206010	0.005559
6.825000	1.208473	0.004458
6.875000	1.207738	0.004718
6.925000	1.199991	0.004223
6.975000	1.189944	0.003761
7.025000	1.176806	0.004092
7.075000	1.161382	0.003066
7.125000	1.143675	0.003427
7.175000	1.125240	0.002892
7.225000	1.107710	0.003028
7.275000	1.088263	0.003544
7.325000	1.070238	0.002058
7.375000	1.052112	0.002799
7.425000	1.034434	0.003458
7.475000	1.019948	0.002272
7.525000	1.003902	0.003557
7.575000	0.992036	0.002371
7.625000	0.979108	0.001808
7.675000	0.970693	0.001689
7.725000	0.961813	0.003276
7.775000	0.956167	0.003272
7.825000	0.951648	0.004140
7.875000	0.949253	0.003902
7.925000	0.947414	0.005103
7.975000	0.945601	0.004310
8.025000	0.947001	0.004515
8.075000	0.947164	0.003858
8.125000	0.945240	0.005232
8.175000	0.946454	0.004458
8.225000	0.947120	0.003612
8.275000	0.946669	0.004868
8.325000	0.948028	0.002896
8.375000	0.950311	0.004239
8.425000	0.950640	0.003008
8.475000	0.951826	0.003689
8.525000	0.953491	0.002893
8.575000	0.956196	0.003015
8.625000	0.959863	0.002324
8.675000	0.961988	0.002408
8.725000	0.963614	0.002015
8.775000	0.963634	0.001203
8.825000	0.965373	0.002483
8.875000	0.964558	0.002912
8.925000	0.967643	0.002282
8.975000	0.969313	0.002235
9.025000	0.973420	0.001780
9.075000	0.976432	0.002392
9.125000	0.980131	0.001541
9.175000	0.985403	0.003083
9.225000	0.989479	0.003823
9.275000	0.996595	0.003635
9.325000	1.000379	0.002953
9.375000	1.004659	0.003384
9.425000	1.009075	0.003236
9.475000	1.013043	0.002848
9.525000	1.017026	0.004064
9.575000	1.021029	0.005144
9.625000	1.024262	0.004284
9.675000	1.026374	0.004000
9.725000	1.030324	0.004534
9.775000	1.030866	0.004014
9.825000	1.031987	0.003431
9.875000	1.033250	0.003985
9.925000	1.034081	0.003885
9.975000	1.033839	0.003507
10.025000	1.033875	0.003156
10.075000	1.031939	0.002630
10.125000	1.030970	0.002299
10.175000	1.029599	0.002690
10.225000	1.027663	0.002313
10.275000	1.025006	0.001384
10.325000	1.022955	0.001930
10.375000	1.020920	0.001693
10.425000	1.017989	0.002310
10.475000	1.015214	0.001050
10.525000	1.013020	0.001400
10.575000	1.010304	0.002174
10.625000	1.006987	0.002105
10.675000	1.005518	0.001516
10.725000	1.002226	0.002088
10.775000	1.000184	0.002466
10.825000	0.997706	0.002669
10.875000	0.996204	0.003266
10.925000	0.993463	0.002618
10.975000	0.991339	0.003020
11.025000	0.989397	0.002630
11.075000	0.988635	0.002019
11.125000	0.986878	0.002590
11.175000	0.984609	0.002603
11.225000	0.983789	0.002886
11.275000	0.983111	0.003585
11.325000	0.982130	0.002912
11.375000	0.981862	0.002302
11.425000	0.981444	0.002050
11.475000	0.981583	0.002454
11.525000	0.981039	0.002720
11.575000	0.980535	0.002389
11.625000	0.981371	0.001790
11.675000	0.982578	0.002078
11.725000	0.983582	0.001457
11.775000	0.984191	0.002215
11.825000	0.985737	0.001725
11.875000	0.987525	0.001343
11.925000	0.988504	0.001090
11.975000	0.989465	0.001380
12.025000	0.990836	0.002056
12.075000	0.993201	0.002135
12.125000	0.994336	0.001493
12.175000	0.996098	0.002377
12.225000	0.997337	0.002087
12.275000	0.998716	0.001409
12.325000	0.999868	0.002615
12.375000	1.001407	0.002200
12.425000	1.002699	0.002114
12.475000	1.003965	0.001905
12.525000	1.004513	0.001954
12.575000	1.006340	0.001991
12.625000	1.006583	0.002162
12.675000	1.007899	0.001941
12.725000	1.008706	0.002151
12.775000	1.008868	0.001651
12.825000	1.009184	0.001647
12.875000	1.009402	0.001890
12.925000	1.009729	0.002057
12.975000	1.010037	0.001942
13.025000	1.010756	0.001385
13.075000	1.010407	0.001434
13.125000	1.009927	0.001654
13.175000	1.010125	0.001540
13.225000	1.010199	0.002142
13.275000	1.010220	0.002468
13.325000	1.008996	0.002268
13.375000	1.008281	0.002043
13.425000	1.008470	0.002169
13.475000	1.008354	0.001762
13.525000	1.006380	0.002821
13.575000	1.005986	0.001322
13.625000	1.006335	0.001456
13.675000	1.004853	0.001737
13.725000	1.003447	0.001514
13.775000	1.003856	0.002178
13.825000	1.002173	0.002000
13.875000	1.002047	0.001412
13.925000	1.000924	0.001555
13.975000	1.000827	0.000847
14.025000	0.999462	0.001584
14.075000	0.998841	0.001118
14.125000	0.998019	0.001810
14.175000	0.998076	0.000649
14.225000	0.997739	0.001676
14.275000	0.997911	0.001678
14.325000	0.996538	0.002256
14.375000	0.996512	0.002400
14.425000	0.996255	0.002408
14.475000	0.996530	0.002004
14.525000	0.996504	0.001973
14.575000	0.995694	0.001957
14.625000	0.996062	0.002765
14.675000	0.996512	0.002446
14.725000	0.996407	0.001983
14.775000	0.995727	0.001916
14.825000	0.996880	0.001890
14.875000	0.996688	0.002069
14.925000	0.997024	0.001803
14.975000	0.996644	0.001737
15.025000	0.996970	0.002042
15.075000	0.997736	0.001694
15.125000	0.997603	0.001795
15.175000	0.998279	0.001422
15.225000	0.998486	0.002008
15.275000	0.999070	0.000995
15.325000	0.998967	0.000936
15.375000	0.998607	0.000581
15.425000	1.000150	0.000710
15.475000	0.999390	0.000746
15.525000	0.999671	0.001182
15.575000	0.999763	0.001499
15.625000	1.000050	0.000603
15.675000	1.000089	0.000910
15.725000	1.001133	0.001081
15.775000	1.000703	0.001217
15.825000	1.000945	0.001412
15.875000	1.001006	0.001317
15.925000	1.001185	0.001710
15.975000	1.001274	0.001602
16.025000	1.001548	0.001550
16.075000	1.000695	0.001739
16.125000	1.001751	0.002117
16.175000	1.001679	0.001809
16.225000	1.001450	0.002137
16.275000	1.001917	0.002029
16.325000	1.001603	0.002586
16.375000	1.001920	0.001783
16.425000	1.001750	0.002201
16.475000	1.001754	0.001234
16.525000	1.001953	0.001710
16.575000	1.001549	0.001633
16.625000	1.001983	0.001165
16.675000	1.001340	0.000957
16.725000	1.000773	0.001241
16.775000	1.001141	0.001198
16.825000	1.000320	0.001330
16.875000	1.000483	0.001471
16.925000	1.000613	0.001144
16.975000	1.000298	0.001729
17.025000	1.000569	0.001204
17.075000	1.001001	0.001519
17.125000	0.999956	0.001673
17.175000	0.999820	0.002140
17.225000	0.999703	0.001388
17.275000	1.000001	0.001954
17.325000	0.999428	0.002378
17.375000	0.999719	0.002053
17.425000	0.999478	0.001909
17.475000	0.999705	0.002450
17.525000	0.999584	0.001871
17.575000	0.999288	0.001942
17.625000	0.999247	0.001979
17.675000	0.999157	0.001527
17.725000	0.999407	0.001653
17.775000	0.998962	0.002179
17.825000	1.000133	0.001538
17.875000	0.999694	0.001149
17.925000	0.999274	0.001042
17.975000	0.999145	0.001527
18.025000	0.999281	0.001114
18.075000	0.999156	0.001270
18.125000	0.999545	0.000614
18.175000	0.999922	0.001186
18.225000	0.999143	0.000312
18.275000	0.999913	0.000678
18.325000	1.000014	0.001082
18.375000	0.999695	0.001008
18.425000	1.000314	0.000503
18.475000	0.999765	0.000572
18.525000	0.999898	0.000488
18.575000	1.000281	0.001041
18.625000	0.999823	0.000794
18.675000	1.000592	0.001225
18.725000	1.000083	0.001322
18.775000	1.000113	0.000626
18.825000	0.999954	0.001322
18.875000	0.999943	0.001806
18.925000	1.000117	0.001269
18.975000	1.000116	0.001482
19.025000	1.000290	0.001504
19.075000	1.000447	0.001184
19.125000	1.000310	0.001312
19.175000	1.000119	0.001353
19.225000	1.000700	0.001254
19.275000	1.000484	0.001608
19.325000	1.000819	0.001671
19.375000	1.000492	0.001447
19.425000	1.000395	0.001453
19.475000	1.000388	0.001897
19.525000	1.000642	0.001356
19.575000	1.000877	0.001062
19.625000	1.000509	0.001057
19.675000	1.001219	0.000958
19.725000	1.000796	0.000897
19.775000	1.000496	0.000708
19.825000	1.000686	0.000695
19.875000	1.000757	0.000858
19.925000	1.001165	0.000430
19.975000	1.000859	0.000553
