Distance_A	g(r)_avg	g(r)_std
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.000000	0.000000
0.225000	0.000000	0.000000
0.275000	0.000000	0.000000
0.325000	0.000000	0.000000
0.375000	0.000000	0.000000
0.425000	0.000000	0.000000
0.475000	0.000000	0.000000
0.525000	0.000000	0.000000
0.575000	0.000000	0.000000
0.625000	0.000000	0.000000
0.675000	0.000000	0.000000
0.725000	0.000000	0.000000
0.775000	0.000000	0.000000
0.825000	0.000000	0.000000
0.875000	0.000000	0.000000
0.925000	0.000000	0.000000
0.975000	0.000000	0.000000
1.025000	0.000000	0.000000
1.075000	0.000000	0.000000
1.125000	0.000000	0.000000
1.175000	0.000000	0.000000
1.225000	0.000000	0.000000
1.275000	0.000000	0.000000
1.325000	0.000000	0.000000
1.375000	0.000000	0.000000
1.425000	0.000000	0.000000
1.475000	0.000000	0.000000
1.525000	0.000000	0.000000
1.575000	0.000000	0.000000
1.625000	0.000000	0.000000
1.675000	0.000000	0.000000
1.725000	0.000000	0.000000
1.775000	0.000000	0.000000
1.825000	0.000000	0.000000
1.875000	0.000000	0.000000
1.925000	0.000000	0.000000
1.975000	0.000000	0.000000
2.025000	0.000000	0.000000
2.075000	0.000000	0.000000
2.125000	0.000000	0.000000
2.175000	0.000000	0.000000
2.225000	0.000000	0.000000
2.275000	0.000087	0.000065
2.325000	0.001470	0.000447
2.375000	0.015271	0.001510
2.425000	0.083446	0.002489
2.475000	0.308618	0.004375
2.525000	0.804556	0.005247
2.575000	1.596770	0.012921
2.625000	2.550739	0.016203
2.675000	3.445092	0.032333
2.725000	4.063946	0.050947
2.775000	4.338363	0.056133
2.825000	4.289383	0.045690
2.875000	4.014083	0.050452
2.925000	3.623450	0.034331
2.975000	3.189043	0.034136
3.025000	2.760988	0.021334
3.075000	2.382410	0.022375
3.125000	2.051292	0.011264
3.175000	1.769956	0.010667
3.225000	1.535759	0.011094
3.275000	1.338076	0.010889
3.325000	1.180819	0.017715
3.375000	1.032966	0.014575
3.425000	0.920616	0.012565
3.475000	0.825742	0.013411
3.525000	0.743129	0.011411
3.575000	0.675984	0.010276
3.625000	0.626462	0.006828
3.675000	0.580785	0.011108
3.725000	0.551542	0.008628
3.775000	0.537678	0.009941
3.825000	0.529558	0.009133
3.875000	0.522216	0.008102
3.925000	0.523541	0.007993
3.975000	0.530472	0.006012
4.025000	0.535734	0.005421
4.075000	0.544632	0.006746
4.125000	0.555055	0.006590
4.175000	0.564960	0.003305
4.225000	0.579241	0.003026
4.275000	0.592292	0.006171
4.325000	0.604465	0.003022
4.375000	0.619529	0.002456
4.425000	0.637014	0.004838
4.475000	0.657293	0.004820
4.525000	0.677568	0.003300
4.575000	0.696554	0.006694
4.625000	0.721240	0.008957
4.675000	0.746429	0.006926
4.725000	0.770394	0.006439
4.775000	0.793874	0.008032
4.825000	0.805605	0.008496
4.875000	0.818141	0.007633
4.925000	0.830475	0.006035
4.975000	0.854219	0.006653
5.025000	0.878628	0.005708
5.075000	0.905141	0.004553
5.125000	0.929161	0.006298
5.175000	0.955690	0.004658
5.225000	0.977025	0.006620
5.275000	1.003409	0.003358
5.325000	1.025971	0.006984
5.375000	1.045556	0.006833
5.425000	1.068413	0.009477
5.475000	1.087885	0.007048
5.525000	1.109882	0.006443
5.575000	1.139120	0.006797
5.625000	1.171426	0.006868
5.675000	1.203002	0.005800
5.725000	1.238335	0.003471
5.775000	1.269395	0.001681
5.825000	1.293442	0.006932
5.875000	1.314556	0.005416
5.925000	1.319605	0.008060
5.975000	1.309695	0.004804
6.025000	1.294011	0.003131
6.075000	1.272286	0.003318
6.125000	1.241519	0.000573
6.175000	1.210014	0.004243
6.225000	1.176332	0.003774
6.275000	1.145282	0.006457
6.325000	1.116169	0.006575
6.375000	1.091877	0.004508
6.425000	1.067061	0.004011
6.475000	1.050367	0.004639
6.525000	1.029039	0.005673
6.575000	1.012955	0.008018
6.625000	0.997990	0.005270
6.675000	0.985818	0.006776
6.725000	0.973699	0.006074
6.775000	0.962432	0.005160
6.825000	0.954715	0.003609
6.875000	0.941577	0.003905
6.925000	0.934173	0.005217
6.975000	0.922430	0.002973
7.025000	0.916016	0.004356
7.075000	0.907044	0.003612
7.125000	0.899981	0.003511
7.175000	0.894589	0.005433
7.225000	0.891126	0.003231
7.275000	0.884823	0.005694
7.325000	0.883142	0.004152
7.375000	0.879446	0.004217
7.425000	0.877817	0.002415
7.475000	0.878556	0.003600
7.525000	0.878318	0.004739
7.575000	0.879778	0.002740
7.625000	0.883591	0.002776
7.675000	0.887057	0.002427
7.725000	0.890337	0.001219
7.775000	0.897491	0.003702
7.825000	0.903626	0.002741
7.875000	0.911333	0.004190
7.925000	0.921578	0.002754
7.975000	0.929037	0.003499
8.025000	0.937720	0.001900
8.075000	0.947667	0.003176
8.125000	0.955684	0.001755
8.175000	0.965299	0.004039
8.225000	0.973569	0.002326
8.275000	0.982516	0.002441
8.325000	0.991525	0.004336
8.375000	0.999255	0.002945
8.425000	1.006828	0.001748
8.475000	1.013937	0.002906
8.525000	1.020426	0.003698
8.575000	1.024321	0.003070
8.625000	1.029803	0.001804
8.675000	1.034143	0.003245
8.725000	1.039307	0.002446
8.775000	1.043718	0.003545
8.825000	1.047295	0.002709
8.875000	1.052280	0.003089
8.925000	1.054952	0.002570
8.975000	1.057356	0.003282
9.025000	1.059272	0.002646
9.075000	1.061233	0.003495
9.125000	1.062473	0.003672
9.175000	1.063058	0.004261
9.225000	1.063456	0.003025
9.275000	1.064028	0.002685
9.325000	1.062171	0.003215
9.375000	1.058897	0.003984
9.425000	1.056257	0.002854
9.475000	1.052553	0.002093
9.525000	1.048882	0.003269
9.575000	1.043297	0.002580
9.625000	1.038138	0.001904
9.675000	1.032203	0.002577
9.725000	1.026619	0.004255
9.775000	1.021320	0.003202
9.825000	1.015203	0.002164
9.875000	1.008740	0.002699
9.925000	1.002640	0.004461
9.975000	0.997012	0.004245
10.025000	0.992917	0.003925
10.075000	0.987489	0.003496
10.125000	0.982454	0.002248
10.175000	0.977687	0.003379
10.225000	0.975406	0.003709
10.275000	0.972543	0.003983
10.325000	0.969984	0.004217
10.375000	0.966763	0.003280
10.425000	0.965500	0.004904
10.475000	0.963475	0.004327
10.525000	0.964290	0.003236
10.575000	0.963727	0.003753
10.625000	0.963823	0.003724
10.675000	0.965348	0.002890
10.725000	0.965864	0.002555
10.775000	0.966436	0.002456
10.825000	0.967713	0.004236
10.875000	0.970418	0.003085
10.925000	0.970759	0.003428
10.975000	0.971928	0.003831
11.025000	0.975096	0.001783
11.075000	0.977587	0.003386
11.125000	0.980290	0.002489
11.175000	0.982353	0.002517
11.225000	0.985344	0.002146
11.275000	0.986589	0.001636
11.325000	0.989242	0.001341
11.375000	0.992264	0.001414
11.425000	0.994609	0.003138
11.475000	0.995955	0.000806
11.525000	0.999338	0.002044
11.575000	1.002029	0.002474
11.625000	1.004863	0.002321
11.675000	1.005762	0.002194
11.725000	1.008548	0.002874
11.775000	1.011128	0.002771
11.825000	1.012417	0.002564
11.875000	1.014260	0.002338
11.925000	1.014972	0.002603
11.975000	1.018037	0.003417
12.025000	1.018747	0.002755
12.075000	1.018467	0.002698
12.125000	1.018860	0.003347
12.175000	1.020362	0.002699
12.225000	1.019155	0.003232
12.275000	1.020936	0.001502
12.325000	1.019951	0.002783
12.375000	1.019940	0.002686
12.425000	1.018514	0.002601
12.475000	1.017931	0.002692
12.525000	1.016017	0.002658
12.575000	1.015664	0.002247
12.625000	1.013807	0.001617
12.675000	1.013327	0.002134
12.725000	1.013074	0.002069
12.775000	1.009616	0.002811
12.825000	1.007639	0.001703
12.875000	1.006169	0.002069
12.925000	1.005595	0.001615
12.975000	1.003324	0.002644
13.025000	1.001764	0.002144
13.075000	1.000035	0.002282
13.125000	0.998844	0.002217
13.175000	0.998440	0.003273
13.225000	0.996395	0.002852
13.275000	0.996022	0.003086
13.325000	0.993966	0.002663
13.375000	0.992841	0.002415
13.425000	0.992053	0.002237
13.475000	0.990799	0.003093
13.525000	0.990617	0.003241
13.575000	0.990057	0.001228
13.625000	0.989873	0.002405
13.675000	0.989579	0.001292
13.725000	0.989314	0.001442
13.775000	0.988446	0.001417
13.825000	0.988633	0.002297
13.875000	0.988662	0.001985
13.925000	0.989424	0.001761
13.975000	0.988959	0.001461
14.025000	0.990136	0.002878
14.075000	0.990400	0.002069
14.125000	0.990717	0.001568
14.175000	0.990488	0.002433
14.225000	0.992052	0.002045
14.275000	0.992697	0.002248
14.325000	0.993037	0.001798
14.375000	0.993921	0.002674
14.425000	0.995151	0.001908
14.475000	0.996153	0.002222
14.525000	0.996099	0.003148
14.575000	0.998193	0.002408
14.625000	0.997906	0.002926
14.675000	0.999440	0.003579
14.725000	0.999944	0.002856
14.775000	1.000398	0.003842
14.825000	1.001072	0.003975
14.875000	1.001405	0.003551
14.925000	1.001796	0.002999
14.975000	1.002861	0.002648
15.025000	1.003035	0.003350
15.075000	1.003176	0.002829
15.125000	1.002763	0.003141
15.175000	1.004965	0.003140
15.225000	1.004144	0.001690
15.275000	1.004075	0.001708
15.325000	1.004290	0.002753
15.375000	1.005266	0.001452
15.425000	1.005414	0.001052
15.475000	1.005147	0.001461
15.525000	1.005176	0.001636
15.575000	1.005056	0.001820
15.625000	1.005192	0.001091
15.675000	1.005548	0.001820
15.725000	1.003251	0.001861
15.775000	1.003475	0.001326
15.825000	1.003434	0.000457
15.875000	1.003140	0.000657
15.925000	1.002891	0.000646
15.975000	1.002454	0.000919
16.025000	1.001826	0.000691
16.075000	1.001794	0.000508
16.125000	1.001193	0.001007
16.175000	1.000430	0.000959
16.225000	1.000403	0.001114
16.275000	0.999988	0.001831
16.325000	0.999062	0.001024
16.375000	0.998888	0.001239
16.425000	0.998650	0.001149
16.475000	0.997463	0.000944
16.525000	0.997808	0.000698
16.575000	0.996792	0.001072
16.625000	0.997224	0.000994
16.675000	0.996912	0.000964
16.725000	0.996370	0.001058
16.775000	0.996417	0.001097
16.825000	0.996851	0.000845
16.875000	0.995921	0.001201
16.925000	0.996064	0.001657
16.975000	0.996263	0.000930
17.025000	0.995652	0.001299
17.075000	0.996009	0.001293
17.125000	0.996070	0.001454
17.175000	0.996181	0.001741
17.225000	0.996701	0.001342
17.275000	0.996926	0.002011
17.325000	0.996308	0.002024
17.375000	0.996098	0.001103
17.425000	0.997283	0.001280
17.475000	0.997068	0.001366
17.525000	0.996160	0.001552
17.575000	0.997166	0.001701
17.625000	0.997999	0.001727
17.675000	0.998147	0.002166
17.725000	0.998096	0.001464
17.775000	0.998587	0.002244
17.825000	0.998334	0.001955
17.875000	0.998063	0.001181
17.925000	0.998165	0.001556
17.975000	0.999002	0.000983
18.025000	0.999425	0.001513
18.075000	0.998992	0.001440
18.125000	0.999537	0.001093
18.175000	1.000091	0.001157
18.225000	1.000115	0.001431
18.275000	1.000129	0.001356
18.325000	1.000869	0.000801
18.375000	1.000728	0.001259
18.425000	1.000768	0.001523
18.475000	1.000911	0.001730
18.525000	1.000973	0.000835
18.575000	1.001750	0.001801
18.625000	1.001209	0.001136
18.675000	1.000874	0.001830
18.725000	1.001421	0.001376
18.775000	1.001301	0.001594
18.825000	1.002570	0.001792
18.875000	1.001057	0.001781
18.925000	1.001629	0.001133
18.975000	1.000571	0.001475
19.025000	1.001203	0.002362
19.075000	1.001314	0.001744
19.125000	1.001431	0.001701
19.175000	1.001354	0.001416
19.225000	1.000273	0.002263
19.275000	1.000454	0.001832
19.325000	1.000492	0.002405
19.375000	1.000780	0.002044
19.425000	1.000222	0.002005
19.475000	1.000713	0.002376
19.525000	1.000237	0.001906
19.575000	0.999650	0.002692
19.625000	1.000024	0.001484
19.675000	0.999590	0.001604
19.725000	1.000380	0.002216
19.775000	0.999669	0.002086
19.825000	1.000353	0.002326
19.875000	0.998727	0.002217
19.925000	0.999943	0.001516
19.975000	0.998937	0.001808
