Distance_A	g(r)_avg	g(r)_std
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.000000	0.000000
0.225000	0.000000	0.000000
0.275000	0.000000	0.000000
0.325000	0.000000	0.000000
0.375000	0.000000	0.000000
0.425000	0.000000	0.000000
0.475000	0.000000	0.000000
0.525000	0.000000	0.000000
0.575000	0.000000	0.000000
0.625000	0.000000	0.000000
0.675000	0.000000	0.000000
0.725000	0.000000	0.000000
0.775000	0.000000	0.000000
0.825000	0.000000	0.000000
0.875000	0.000000	0.000000
0.925000	0.000000	0.000000
0.975000	0.000000	0.000000
1.025000	0.000000	0.000000
1.075000	0.000000	0.000000
1.125000	0.000000	0.000000
1.175000	0.000000	0.000000
1.225000	0.000000	0.000000
1.275000	0.000000	0.000000
1.325000	0.000000	0.000000
1.375000	0.000000	0.000000
1.425000	0.000000	0.000000
1.475000	0.000000	0.000000
1.525000	0.000000	0.000000
1.575000	0.000000	0.000000
1.625000	0.000000	0.000000
1.675000	0.000000	0.000000
1.725000	0.000000	0.000000
1.775000	0.000000	0.000000
1.825000	0.000000	0.000000
1.875000	0.000000	0.000000
1.925000	0.000000	0.000000
1.975000	0.000000	0.000000
2.025000	0.000000	0.000000
2.075000	0.000000	0.000000
2.125000	0.000574	0.000183
2.175000	0.060725	0.005868
2.225000	1.071179	0.052307
2.275000	5.262342	0.121977
2.325000	10.639427	0.085166
2.375000	12.357590	0.067605
2.425000	10.130966	0.100693
2.475000	6.597710	0.102438
2.525000	3.734918	0.057010
2.575000	2.003969	0.026469
2.625000	1.070870	0.027436
2.675000	0.617603	0.028017
2.725000	0.393493	0.032380
2.775000	0.269817	0.026931
2.825000	0.195104	0.024844
2.875000	0.145684	0.019204
2.925000	0.109613	0.013620
2.975000	0.081820	0.009797
3.025000	0.062246	0.007956
3.075000	0.048821	0.005893
3.125000	0.039086	0.005917
3.175000	0.031070	0.004140
3.225000	0.027171	0.003492
3.275000	0.022648	0.002923
3.325000	0.020763	0.002235
3.375000	0.018885	0.001810
3.425000	0.018280	0.001664
3.475000	0.018468	0.001113
3.525000	0.018723	0.001722
3.575000	0.021617	0.000850
3.625000	0.024530	0.001474
3.675000	0.029727	0.001335
3.725000	0.039124	0.001286
3.775000	0.053712	0.002066
3.825000	0.075239	0.002639
3.875000	0.107016	0.007640
3.925000	0.151558	0.012402
3.975000	0.202042	0.018028
4.025000	0.265182	0.021301
4.075000	0.339555	0.023542
4.125000	0.424502	0.020275
4.175000	0.523641	0.022008
4.225000	0.631626	0.023412
4.275000	0.751506	0.025155
4.325000	0.871559	0.024304
4.375000	0.988120	0.018075
4.425000	1.087656	0.016892
4.475000	1.170447	0.014312
4.525000	1.230177	0.015170
4.575000	1.268581	0.012472
4.625000	1.277965	0.010322
4.675000	1.269790	0.011402
4.725000	1.252361	0.011467
4.775000	1.221907	0.011809
4.825000	1.188060	0.016448
4.875000	1.147274	0.012785
4.925000	1.117232	0.010325
4.975000	1.091023	0.008814
5.025000	1.075548	0.017019
5.075000	1.070404	0.023474
5.125000	1.063408	0.026855
5.175000	1.064173	0.029828
5.225000	1.061352	0.025832
5.275000	1.066544	0.021490
5.325000	1.074424	0.012138
5.375000	1.081446	0.008353
5.425000	1.098784	0.009231
5.475000	1.112026	0.009123
5.525000	1.125112	0.011609
5.575000	1.137422	0.009338
5.625000	1.150197	0.008290
5.675000	1.159076	0.008132
5.725000	1.164572	0.005997
5.775000	1.167896	0.006264
5.825000	1.168554	0.006655
5.875000	1.168498	0.003772
5.925000	1.171158	0.006285
5.975000	1.173964	0.006753
6.025000	1.177993	0.010155
6.075000	1.185514	0.012587
6.125000	1.197337	0.017774
6.175000	1.205830	0.010884
6.225000	1.189762	0.012784
6.275000	1.146221	0.009512
6.325000	1.088202	0.007310
6.375000	1.024677	0.008602
6.425000	0.974940	0.010074
6.475000	0.934599	0.012225
6.525000	0.902064	0.013042
6.575000	0.879432	0.010082
6.625000	0.862800	0.013245
6.675000	0.847626	0.013949
6.725000	0.839346	0.011531
6.775000	0.835504	0.010507
6.825000	0.831353	0.010242
6.875000	0.831306	0.008748
6.925000	0.832378	0.009063
6.975000	0.836354	0.009203
7.025000	0.843958	0.006741
7.075000	0.851814	0.008568
7.125000	0.859627	0.006213
7.175000	0.870636	0.005150
7.225000	0.884294	0.007347
7.275000	0.895924	0.005474
7.325000	0.907281	0.005559
7.375000	0.919215	0.005388
7.425000	0.933868	0.005416
7.475000	0.945454	0.005595
7.525000	0.957599	0.004753
7.575000	0.972379	0.005797
7.625000	0.984547	0.006073
7.675000	0.998520	0.006716
7.725000	1.011184	0.004811
7.775000	1.027061	0.006553
7.825000	1.040557	0.006475
7.875000	1.054430	0.006206
7.925000	1.068842	0.007351
7.975000	1.080962	0.005851
8.025000	1.093063	0.006332
8.075000	1.099915	0.005952
8.125000	1.109454	0.005954
8.175000	1.116503	0.004849
8.225000	1.120130	0.006248
8.275000	1.123569	0.004508
8.325000	1.122654	0.005810
8.375000	1.124421	0.004560
8.425000	1.119716	0.004319
8.475000	1.115199	0.004905
8.525000	1.111952	0.001395
8.575000	1.105225	0.002730
8.625000	1.099073	0.002712
8.675000	1.094247	0.005197
8.725000	1.085015	0.004234
8.775000	1.074705	0.005107
8.825000	1.064862	0.005381
8.875000	1.055596	0.005859
8.925000	1.046519	0.006070
8.975000	1.036155	0.004246
9.025000	1.026953	0.003360
9.075000	1.019650	0.005492
9.125000	1.010843	0.005151
9.175000	1.001889	0.003681
9.225000	0.993767	0.002645
9.275000	0.987545	0.003876
9.325000	0.981907	0.003141
9.375000	0.977575	0.003418
9.425000	0.972004	0.003883
9.475000	0.967490	0.002643
9.525000	0.964013	0.001955
9.575000	0.960923	0.002395
9.625000	0.958463	0.001884
9.675000	0.957078	0.003413
9.725000	0.954744	0.003370
9.775000	0.953036	0.003804
9.825000	0.950765	0.005007
9.875000	0.950316	0.005429
9.925000	0.950472	0.005938
9.975000	0.948092	0.006018
10.025000	0.949494	0.004220
10.075000	0.947389	0.005905
10.125000	0.946783	0.003801
10.175000	0.946112	0.004015
10.225000	0.944394	0.003539
10.275000	0.945475	0.003346
10.325000	0.944396	0.002169
10.375000	0.945989	0.002039
10.425000	0.949299	0.002456
10.475000	0.950411	0.001679
10.525000	0.954775	0.002358
10.575000	0.957377	0.002479
10.625000	0.960292	0.001035
10.675000	0.965209	0.001930
10.725000	0.968801	0.002122
10.775000	0.973654	0.002410
10.825000	0.976580	0.001896
10.875000	0.981001	0.001889
10.925000	0.985836	0.001864
10.975000	0.988846	0.002133
11.025000	0.993139	0.002300
11.075000	0.996554	0.003465
11.125000	0.998842	0.002646
11.175000	1.001714	0.001787
11.225000	1.004160	0.002360
11.275000	1.006451	0.003043
11.325000	1.008902	0.003736
11.375000	1.010087	0.002581
11.425000	1.012707	0.002333
11.475000	1.014363	0.003585
11.525000	1.014964	0.002363
11.575000	1.016075	0.002880
11.625000	1.016600	0.002216
11.675000	1.017243	0.002596
11.725000	1.018129	0.002217
11.775000	1.016719	0.001881
11.825000	1.018317	0.001160
11.875000	1.018343	0.003299
11.925000	1.018170	0.002644
11.975000	1.017662	0.001910
12.025000	1.017014	0.002441
12.075000	1.017128	0.001572
12.125000	1.015584	0.002292
12.175000	1.014186	0.003681
12.225000	1.014107	0.002892
12.275000	1.013230	0.003491
12.325000	1.012538	0.003321
12.375000	1.010738	0.004375
12.425000	1.010339	0.003459
12.475000	1.009062	0.003805
12.525000	1.008159	0.002831
12.575000	1.006094	0.003956
12.625000	1.004396	0.003211
12.675000	1.002970	0.002663
12.725000	1.001295	0.001850
12.775000	1.002088	0.003145
12.825000	0.999788	0.004112
12.875000	0.999036	0.003186
12.925000	0.998678	0.003288
12.975000	0.997678	0.002399
13.025000	0.996740	0.003946
13.075000	0.996209	0.003665
13.125000	0.996327	0.002080
13.175000	0.994962	0.003888
13.225000	0.995233	0.004019
13.275000	0.993901	0.002915
13.325000	0.993684	0.003249
13.375000	0.994700	0.003267
13.425000	0.994372	0.003585
13.475000	0.995270	0.003500
13.525000	0.995270	0.002956
13.575000	0.995367	0.003798
13.625000	0.996241	0.004723
13.675000	0.996917	0.003597
13.725000	0.997414	0.003361
13.775000	0.997860	0.002537
13.825000	0.998216	0.002719
13.875000	0.999944	0.002745
13.925000	0.999865	0.003390
13.975000	1.002196	0.003399
14.025000	1.002104	0.002207
14.075000	1.003380	0.003088
14.125000	1.004670	0.002221
14.175000	1.004999	0.001931
14.225000	1.004933	0.002212
14.275000	1.007255	0.001951
14.325000	1.007167	0.003044
14.375000	1.007548	0.002501
14.425000	1.007072	0.002450
14.475000	1.009782	0.003396
14.525000	1.009580	0.002361
14.575000	1.009495	0.003279
14.625000	1.009855	0.004250
14.675000	1.010528	0.003470
14.725000	1.009588	0.003315
14.775000	1.009678	0.003415
14.825000	1.009563	0.002496
14.875000	1.009755	0.003076
14.925000	1.009856	0.003387
14.975000	1.008566	0.003571
15.025000	1.007961	0.004067
15.075000	1.009116	0.003549
15.125000	1.007979	0.003356
15.175000	1.007301	0.003409
15.225000	1.007604	0.003363
15.275000	1.005905	0.003556
15.325000	1.004989	0.003472
15.375000	1.004758	0.003110
15.425000	1.004608	0.002433
15.475000	1.003605	0.002210
15.525000	1.002904	0.002349
15.575000	1.001570	0.001845
15.625000	1.003012	0.002276
15.675000	1.000569	0.001648
15.725000	1.000413	0.000826
15.775000	1.000627	0.001292
15.825000	0.999496	0.001170
15.875000	0.999230	0.000931
15.925000	0.997988	0.001362
15.975000	0.998885	0.000441
16.025000	0.997777	0.000350
16.075000	0.997382	0.001169
16.125000	0.997784	0.001042
16.175000	0.997023	0.002088
16.225000	0.996446	0.001172
16.275000	0.996396	0.002223
16.325000	0.996632	0.001461
16.375000	0.996502	0.001641
16.425000	0.995909	0.001021
16.475000	0.995986	0.000815
16.525000	0.996126	0.002039
16.575000	0.996173	0.001748
16.625000	0.995743	0.001280
16.675000	0.995955	0.001458
16.725000	0.995957	0.001118
16.775000	0.996531	0.001275
16.825000	0.996539	0.001321
16.875000	0.996010	0.001469
16.925000	0.996704	0.001136
16.975000	0.997043	0.001401
17.025000	0.997087	0.000693
17.075000	0.996685	0.001985
17.125000	0.998111	0.001721
17.175000	0.997718	0.001326
17.225000	0.998512	0.000947
17.275000	0.998403	0.001361
17.325000	0.998627	0.001907
17.375000	0.998494	0.002390
17.425000	0.998337	0.000888
17.475000	1.000259	0.001350
17.525000	0.999483	0.001177
17.575000	0.999495	0.001541
17.625000	1.000361	0.001845
17.675000	1.001000	0.000820
17.725000	1.001056	0.001607
17.775000	1.000970	0.001662
17.825000	1.001756	0.001898
17.875000	1.001273	0.001910
17.925000	1.001368	0.001417
17.975000	1.001719	0.001382
18.025000	1.001188	0.001486
18.075000	1.002303	0.001745
18.125000	1.001028	0.001794
18.175000	1.000716	0.001577
18.225000	1.001623	0.001849
18.275000	1.002176	0.002128
18.325000	1.001113	0.002593
18.375000	1.000637	0.002457
18.425000	1.001343	0.002414
18.475000	0.999550	0.002527
18.525000	1.000891	0.002739
18.575000	1.000331	0.002308
18.625000	0.999572	0.002169
18.675000	0.999845	0.002052
18.725000	1.000085	0.001597
18.775000	0.999709	0.002068
18.825000	1.000074	0.002276
18.875000	0.999277	0.001582
18.925000	0.999491	0.002271
18.975000	0.999271	0.001840
19.025000	0.999769	0.001495
19.075000	0.998989	0.002000
19.125000	1.000112	0.001443
19.175000	0.998944	0.001316
19.225000	0.999446	0.001327
19.275000	0.999019	0.002243
19.325000	1.000211	0.001397
19.375000	0.999298	0.002193
19.425000	0.999555	0.001682
19.475000	0.999349	0.000941
19.525000	1.000033	0.000792
19.575000	0.999926	0.000808
19.625000	1.000137	0.001217
19.675000	0.999891	0.002117
19.725000	0.999749	0.001663
19.775000	0.999886	0.001879
19.825000	0.999401	0.001277
19.875000	0.999999	0.002222
19.925000	1.000969	0.001324
19.975000	1.000310	0.002198
