Distance_A	g(r)_avg	g(r)_std
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.000000	0.000000
0.225000	0.000000	0.000000
0.275000	0.000000	0.000000
0.325000	0.000000	0.000000
0.375000	0.000000	0.000000
0.425000	0.000000	0.000000
0.475000	0.000000	0.000000
0.525000	0.000000	0.000000
0.575000	0.000000	0.000000
0.625000	0.000000	0.000000
0.675000	0.000000	0.000000
0.725000	0.000000	0.000000
0.775000	0.000000	0.000000
0.825000	0.000000	0.000000
0.875000	0.000000	0.000000
0.925000	0.000000	0.000000
0.975000	0.000000	0.000000
1.025000	0.000000	0.000000
1.075000	0.000000	0.000000
1.125000	0.000000	0.000000
1.175000	0.000000	0.000000
1.225000	0.000000	0.000000
1.275000	0.000000	0.000000
1.325000	0.000000	0.000000
1.375000	0.000000	0.000000
1.425000	0.000000	0.000000
1.475000	0.000000	0.000000
1.525000	0.000000	0.000000
1.575000	0.000000	0.000000
1.625000	0.000085	0.000171
1.675000	0.179935	0.019001
1.725000	6.163302	0.497264
1.775000	14.650858	1.082918
1.825000	19.821071	0.892097
1.875000	32.225412	0.926351
1.925000	34.590268	1.347594
1.975000	25.783584	0.765282
2.025000	14.706655	0.264414
2.075000	6.948491	0.236915
2.125000	2.953184	0.191194
2.175000	1.241247	0.097496
2.225000	0.544816	0.043901
2.275000	0.279019	0.045656
2.325000	0.148151	0.037094
2.375000	0.081337	0.024076
2.425000	0.044077	0.015952
2.475000	0.023995	0.009764
2.525000	0.014909	0.006358
2.575000	0.009671	0.005563
2.625000	0.007504	0.005154
2.675000	0.007068	0.005060
2.725000	0.005838	0.004406
2.775000	0.006421	0.004821
2.825000	0.004725	0.003682
2.875000	0.005081	0.003569
2.925000	0.004909	0.002539
2.975000	0.004643	0.002466
3.025000	0.004836	0.002887
3.075000	0.006208	0.002877
3.125000	0.007491	0.002741
3.175000	0.011333	0.005187
3.225000	0.019429	0.006133
3.275000	0.033408	0.009865
3.325000	0.058389	0.012492
3.375000	0.104522	0.021652
3.425000	0.184238	0.029944
3.475000	0.310326	0.038207
3.525000	0.476154	0.061663
3.575000	0.650792	0.078967
3.625000	0.804856	0.101445
3.675000	0.889180	0.109958
3.725000	0.897689	0.114557
3.775000	0.871801	0.105193
3.825000	0.823185	0.086621
3.875000	0.799523	0.063518
3.925000	0.820701	0.065047
3.975000	0.880694	0.062749
4.025000	0.986737	0.078969
4.075000	1.124110	0.080598
4.125000	1.280938	0.079726
4.175000	1.442037	0.076887
4.225000	1.606453	0.066744
4.275000	1.755489	0.048165
4.325000	1.879838	0.056457
4.375000	1.965471	0.034127
4.425000	2.015481	0.034891
4.475000	2.009886	0.017840
4.525000	1.963696	0.030619
4.575000	1.871365	0.020564
4.625000	1.755228	0.036348
4.675000	1.598025	0.053913
4.725000	1.437339	0.058701
4.775000	1.251527	0.047670
4.825000	1.070410	0.030062
4.875000	0.906132	0.025358
4.925000	0.767447	0.019953
4.975000	0.653885	0.020486
5.025000	0.579873	0.017491
5.075000	0.525907	0.016232
5.125000	0.496895	0.018879
5.175000	0.475216	0.019492
5.225000	0.469704	0.027012
5.275000	0.471456	0.022606
5.325000	0.480687	0.024379
5.375000	0.499585	0.026047
5.425000	0.535867	0.032782
5.475000	0.594338	0.031398
5.525000	0.681110	0.036560
5.575000	0.787754	0.037771
5.625000	0.916490	0.039329
5.675000	1.050472	0.034595
5.725000	1.169651	0.037818
5.775000	1.209977	0.051398
5.825000	1.101901	0.051215
5.875000	0.907059	0.043741
5.925000	0.742033	0.028458
5.975000	0.641103	0.024595
6.025000	0.595364	0.023991
6.075000	0.578985	0.018081
6.125000	0.580181	0.020372
6.175000	0.590956	0.024079
6.225000	0.605123	0.022224
6.275000	0.622457	0.023293
6.325000	0.642856	0.026401
6.375000	0.672007	0.024527
6.425000	0.692437	0.028944
6.475000	0.717119	0.029423
6.525000	0.748639	0.028261
6.575000	0.777022	0.027787
6.625000	0.801971	0.030361
6.675000	0.839542	0.034579
6.725000	0.869935	0.029176
6.775000	0.901355	0.028944
6.825000	0.937595	0.030174
6.875000	0.966251	0.027810
6.925000	1.000128	0.030250
6.975000	1.026148	0.028178
7.025000	1.050130	0.031841
7.075000	1.070239	0.027387
7.125000	1.085725	0.028477
7.175000	1.098456	0.025328
7.225000	1.110525	0.024467
7.275000	1.125129	0.021333
7.325000	1.134603	0.020665
7.375000	1.145113	0.020116
7.425000	1.151371	0.019984
7.475000	1.165385	0.017582
7.525000	1.168778	0.020808
7.575000	1.179457	0.014025
7.625000	1.189725	0.013558
7.675000	1.199967	0.010297
7.725000	1.211938	0.007978
7.775000	1.216783	0.008967
7.825000	1.231797	0.004819
7.875000	1.241094	0.008017
7.925000	1.248444	0.005654
7.975000	1.258371	0.006781
8.025000	1.260645	0.005642
8.075000	1.268230	0.005263
8.125000	1.268724	0.008850
8.175000	1.265631	0.006717
8.225000	1.267038	0.004659
8.275000	1.254644	0.006467
8.325000	1.246164	0.012848
8.375000	1.236776	0.012052
8.425000	1.220991	0.012248
8.475000	1.209387	0.009053
8.525000	1.192020	0.012531
8.575000	1.174896	0.006866
8.625000	1.157817	0.012689
8.675000	1.146129	0.009910
8.725000	1.131992	0.014436
8.775000	1.115888	0.009854
8.825000	1.103778	0.008504
8.875000	1.086976	0.006456
8.925000	1.077331	0.007082
8.975000	1.060467	0.006278
9.025000	1.051599	0.008199
9.075000	1.037864	0.009086
9.125000	1.028866	0.011769
9.175000	1.021564	0.012151
9.225000	1.014609	0.010301
9.275000	1.012697	0.014111
9.325000	1.000575	0.012962
9.375000	0.999675	0.013128
9.425000	0.997914	0.013393
9.475000	0.992435	0.012036
9.525000	0.990707	0.012239
9.575000	0.988098	0.012919
9.625000	0.985619	0.012624
9.675000	0.983172	0.011472
9.725000	0.972907	0.007989
9.775000	0.965824	0.009864
9.825000	0.958250	0.008091
9.875000	0.955798	0.011884
9.925000	0.955693	0.011284
9.975000	0.953908	0.011025
10.025000	0.955791	0.010399
10.075000	0.959316	0.012612
10.125000	0.962809	0.011937
10.175000	0.963518	0.013696
10.225000	0.968436	0.017692
10.275000	0.969393	0.014447
10.325000	0.970577	0.015032
10.375000	0.973730	0.013398
10.425000	0.977714	0.014241
10.475000	0.975942	0.014335
10.525000	0.978681	0.015302
10.575000	0.981021	0.016065
10.625000	0.980984	0.012663
10.675000	0.980487	0.014201
10.725000	0.979169	0.015409
10.775000	0.975581	0.015009
10.825000	0.975819	0.015622
10.875000	0.977961	0.015004
10.925000	0.975288	0.013983
10.975000	0.972936	0.015756
11.025000	0.971697	0.012444
11.075000	0.968828	0.015171
11.125000	0.970317	0.013863
11.175000	0.968099	0.013630
11.225000	0.967728	0.013860
11.275000	0.967256	0.012471
11.325000	0.964623	0.010713
11.375000	0.963722	0.012652
11.425000	0.961510	0.011576
11.475000	0.958097	0.008991
11.525000	0.959793	0.011740
11.575000	0.954790	0.010775
11.625000	0.956120	0.011219
11.675000	0.955606	0.010720
11.725000	0.953728	0.010506
11.775000	0.954932	0.011638
11.825000	0.953559	0.009979
11.875000	0.952818	0.011778
11.925000	0.950845	0.009121
11.975000	0.949494	0.009045
12.025000	0.950577	0.010361
12.075000	0.952061	0.009613
12.125000	0.951033	0.009096
12.175000	0.952922	0.011027
12.225000	0.954770	0.010362
12.275000	0.954662	0.012616
12.325000	0.954305	0.012460
12.375000	0.955234	0.014822
12.425000	0.958445	0.014109
12.475000	0.957748	0.013578
12.525000	0.961608	0.014311
12.575000	0.963746	0.014179
12.625000	0.964405	0.016379
12.675000	0.966673	0.012983
12.725000	0.968521	0.013082
12.775000	0.969791	0.012703
12.825000	0.970677	0.013545
12.875000	0.971763	0.010960
12.925000	0.974516	0.010880
12.975000	0.975548	0.010081
13.025000	0.976579	0.010676
13.075000	0.979516	0.011137
13.125000	0.981102	0.011085
13.175000	0.984130	0.009867
13.225000	0.986129	0.009902
13.275000	0.990337	0.010787
13.325000	0.991885	0.007854
13.375000	0.995598	0.008465
13.425000	0.997066	0.009527
13.475000	0.998857	0.009612
13.525000	1.003647	0.008977
13.575000	1.007285	0.008331
13.625000	1.006488	0.007645
13.675000	1.009050	0.010255
13.725000	1.013717	0.009008
13.775000	1.014213	0.009703
13.825000	1.017851	0.010279
13.875000	1.017549	0.012275
13.925000	1.021084	0.012476
13.975000	1.023866	0.012540
14.025000	1.022880	0.014575
14.075000	1.024835	0.010965
14.125000	1.024448	0.012955
14.175000	1.027201	0.014007
14.225000	1.024416	0.015082
14.275000	1.026010	0.014505
14.325000	1.024281	0.013253
14.375000	1.025001	0.011484
14.425000	1.024851	0.015916
14.475000	1.025581	0.014324
14.525000	1.022670	0.016101
14.575000	1.021228	0.013614
14.625000	1.021339	0.016903
14.675000	1.020354	0.014177
14.725000	1.018135	0.016409
14.775000	1.017330	0.017736
14.825000	1.014139	0.014228
14.875000	1.015255	0.016041
14.925000	1.012945	0.017023
14.975000	1.009280	0.015319
15.025000	1.009139	0.015022
15.075000	1.009193	0.013167
15.125000	1.006048	0.013944
15.175000	1.003497	0.013911
15.225000	1.003275	0.012611
15.275000	1.000866	0.012185
15.325000	1.000672	0.014134
15.375000	0.998578	0.014040
15.425000	0.996657	0.012725
15.475000	0.995098	0.013799
15.525000	0.993136	0.013978
15.575000	0.993334	0.013018
15.625000	0.992096	0.012879
15.675000	0.991573	0.012597
15.725000	0.991436	0.012027
15.775000	0.989617	0.010286
15.825000	0.991927	0.010623
15.875000	0.990067	0.009241
15.925000	0.989880	0.010278
15.975000	0.987841	0.010282
16.025000	0.986762	0.010293
16.075000	0.987412	0.009594
16.125000	0.987107	0.009577
16.175000	0.986888	0.008379
16.225000	0.986010	0.006608
16.275000	0.984942	0.008661
16.325000	0.984809	0.009002
16.375000	0.982866	0.009320
16.425000	0.984208	0.009714
16.475000	0.984595	0.008400
16.525000	0.983220	0.009042
16.575000	0.982123	0.010106
16.625000	0.982190	0.008907
16.675000	0.982588	0.009880
16.725000	0.984464	0.010842
16.775000	0.980863	0.009853
16.825000	0.982296	0.009583
16.875000	0.983282	0.010954
16.925000	0.983031	0.010488
16.975000	0.982777	0.013587
17.025000	0.982065	0.013263
17.075000	0.983686	0.013685
17.125000	0.982301	0.013224
17.175000	0.981839	0.012871
17.225000	0.982121	0.013331
17.275000	0.983858	0.013030
17.325000	0.982214	0.012009
17.375000	0.982307	0.011584
17.425000	0.982023	0.012912
17.475000	0.984828	0.013044
17.525000	0.984022	0.009405
17.575000	0.983463	0.009976
17.625000	0.983345	0.011818
17.675000	0.983725	0.011475
17.725000	0.985513	0.010309
17.775000	0.985170	0.008800
17.825000	0.984949	0.010221
17.875000	0.985800	0.009307
17.925000	0.986472	0.009311
17.975000	0.985187	0.010642
18.025000	0.985493	0.008310
18.075000	0.986142	0.009381
18.125000	0.985556	0.007664
18.175000	0.986711	0.007811
18.225000	0.987356	0.006472
18.275000	0.986217	0.006864
18.325000	0.987614	0.007969
18.375000	0.988568	0.006544
18.425000	0.988285	0.006707
18.475000	0.989909	0.007079
18.525000	0.990006	0.006439
18.575000	0.991480	0.005569
18.625000	0.989444	0.005418
18.675000	0.991917	0.004744
18.725000	0.993136	0.004930
18.775000	0.992639	0.005966
18.825000	0.995471	0.005147
18.875000	0.995117	0.004260
18.925000	0.993780	0.003304
18.975000	0.996016	0.001193
19.025000	0.996345	0.003611
19.075000	0.996228	0.003939
19.125000	0.997397	0.003615
19.175000	0.998021	0.003825
19.225000	0.998695	0.004588
19.275000	1.001942	0.003604
19.325000	1.000282	0.005065
19.375000	1.000146	0.004200
19.425000	1.003136	0.006045
19.475000	1.002907	0.006839
19.525000	1.003274	0.005354
19.575000	1.004453	0.007350
19.625000	1.005170	0.004233
19.675000	1.005044	0.005826
19.725000	1.004472	0.005996
19.775000	1.004979	0.006548
19.825000	1.003783	0.006789
19.875000	1.003669	0.004923
19.925000	1.004633	0.007017
19.975000	1.003152	0.005175
