Distance_A	g(r)_avg	g(r)_std
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.000000	0.000000
0.225000	0.000000	0.000000
0.275000	0.000000	0.000000
0.325000	0.000000	0.000000
0.375000	0.000000	0.000000
0.425000	0.000000	0.000000
0.475000	0.000000	0.000000
0.525000	0.000000	0.000000
0.575000	0.000000	0.000000
0.625000	0.000000	0.000000
0.675000	0.000000	0.000000
0.725000	0.000000	0.000000
0.775000	0.000000	0.000000
0.825000	0.000000	0.000000
0.875000	0.000000	0.000000
0.925000	0.000000	0.000000
0.975000	0.000000	0.000000
1.025000	0.000000	0.000000
1.075000	0.000000	0.000000
1.125000	0.000000	0.000000
1.175000	0.000000	0.000000
1.225000	0.000000	0.000000
1.275000	0.000000	0.000000
1.325000	0.000000	0.000000
1.375000	0.000000	0.000000
1.425000	0.000000	0.000000
1.475000	0.000000	0.000000
1.525000	0.000000	0.000000
1.575000	0.000000	0.000000
1.625000	0.000000	0.000000
1.675000	0.000000	0.000000
1.725000	0.000000	0.000000
1.775000	0.000000	0.000000
1.825000	0.000000	0.000000
1.875000	0.000000	0.000000
1.925000	0.000000	0.000000
1.975000	0.000000	0.000000
2.025000	0.000000	0.000000
2.075000	0.000000	0.000000
2.125000	0.000000	0.000000
2.175000	0.000000	0.000000
2.225000	0.000000	0.000000
2.275000	0.000000	0.000000
2.325000	0.000000	0.000000
2.375000	0.000000	0.000000
2.425000	0.000000	0.000000
2.475000	0.000000	0.000000
2.525000	0.000000	0.000000
2.575000	0.000000	0.000000
2.625000	0.000000	0.000000
2.675000	0.000042	0.000084
2.725000	0.000203	0.000406
2.775000	0.002308	0.003222
2.825000	0.012910	0.016354
2.875000	0.043589	0.052667
2.925000	0.133659	0.136897
2.975000	0.371784	0.220872
3.025000	0.729628	0.244365
3.075000	0.799823	0.215565
3.125000	0.485483	0.167485
3.175000	0.247827	0.111311
3.225000	0.164576	0.051352
3.275000	0.143776	0.019904
3.325000	0.149185	0.031869
3.375000	0.221706	0.056765
3.425000	0.376734	0.101059
3.475000	0.519394	0.110792
3.525000	0.690160	0.096184
3.575000	1.044493	0.063732
3.625000	1.835289	0.209321
3.675000	3.019317	0.322241
3.725000	4.635956	0.281843
3.775000	6.980280	0.261993
3.825000	7.798338	0.323273
3.875000	4.901236	0.287973
3.925000	1.803400	0.145978
3.975000	0.522954	0.051739
4.025000	0.190729	0.013121
4.075000	0.104876	0.013324
4.125000	0.070658	0.016994
4.175000	0.055530	0.019986
4.225000	0.053363	0.027900
4.275000	0.053210	0.035127
4.325000	0.053098	0.031670
4.375000	0.051088	0.020889
4.425000	0.053033	0.009795
4.475000	0.057721	0.002103
4.525000	0.071121	0.004252
4.575000	0.086098	0.008717
4.625000	0.102161	0.013038
4.675000	0.118898	0.012931
4.725000	0.137998	0.017227
4.775000	0.159210	0.013958
4.825000	0.182105	0.016826
4.875000	0.208659	0.011852
4.925000	0.227284	0.007758
4.975000	0.246436	0.011059
5.025000	0.272647	0.012903
5.075000	0.302297	0.015447
5.125000	0.333531	0.012041
5.175000	0.370909	0.015305
5.225000	0.399431	0.026278
5.275000	0.430556	0.036721
5.325000	0.456538	0.050901
5.375000	0.475559	0.053523
5.425000	0.487490	0.051127
5.475000	0.503571	0.045224
5.525000	0.522752	0.037324
5.575000	0.540004	0.036322
5.625000	0.564218	0.031916
5.675000	0.588640	0.041915
5.725000	0.617825	0.046061
5.775000	0.639818	0.042700
5.825000	0.668310	0.043163
5.875000	0.689032	0.047987
5.925000	0.715313	0.039053
5.975000	0.745651	0.037712
6.025000	0.774264	0.030669
6.075000	0.814099	0.031039
6.125000	0.849869	0.020453
6.175000	0.884648	0.021915
6.225000	0.920194	0.020516
6.275000	0.958585	0.022398
6.325000	0.995983	0.024022
6.375000	1.037742	0.028364
6.425000	1.076707	0.027972
6.475000	1.112287	0.026832
6.525000	1.152959	0.027436
6.575000	1.186702	0.023884
6.625000	1.219711	0.029383
6.675000	1.244860	0.024742
6.725000	1.280879	0.033261
6.775000	1.319378	0.031578
6.825000	1.343785	0.033430
6.875000	1.378225	0.027057
6.925000	1.401847	0.033097
6.975000	1.424033	0.029290
7.025000	1.446967	0.024404
7.075000	1.459472	0.017049
7.125000	1.467076	0.020597
7.175000	1.490038	0.022210
7.225000	1.497095	0.028435
7.275000	1.505036	0.028941
7.325000	1.519830	0.022200
7.375000	1.540389	0.018893
7.425000	1.563111	0.011300
7.475000	1.575854	0.014033
7.525000	1.575475	0.024553
7.575000	1.570711	0.024642
7.625000	1.535593	0.036749
7.675000	1.467255	0.037494
7.725000	1.366497	0.028402
7.775000	1.276289	0.024656
7.825000	1.211914	0.025727
7.875000	1.178401	0.018999
7.925000	1.148196	0.022631
7.975000	1.123498	0.022380
8.025000	1.108854	0.020583
8.075000	1.086235	0.021994
8.125000	1.066094	0.022851
8.175000	1.049824	0.024709
8.225000	1.031751	0.027079
8.275000	1.014921	0.026754
8.325000	0.997207	0.027385
8.375000	0.983979	0.025043
8.425000	0.970085	0.022944
8.475000	0.957531	0.025076
8.525000	0.951758	0.018485
8.575000	0.948762	0.019038
8.625000	0.945407	0.016155
8.675000	0.942155	0.012523
8.725000	0.940085	0.013718
8.775000	0.938769	0.008338
8.825000	0.939642	0.010636
8.875000	0.939866	0.009149
8.925000	0.946690	0.005879
8.975000	0.946112	0.008481
9.025000	0.947275	0.008340
9.075000	0.949720	0.014620
9.125000	0.951649	0.016769
9.175000	0.952846	0.017181
9.225000	0.957537	0.014657
9.275000	0.957011	0.020276
9.325000	0.962661	0.022867
9.375000	0.960468	0.020068
9.425000	0.970608	0.022956
9.475000	0.968149	0.017044
9.525000	0.973465	0.023098
9.575000	0.973038	0.020449
9.625000	0.977117	0.016439
9.675000	0.974076	0.017007
9.725000	0.979776	0.020218
9.775000	0.980467	0.022568
9.825000	0.985867	0.022431
9.875000	0.980571	0.022975
9.925000	0.982120	0.021612
9.975000	0.987213	0.017535
10.025000	0.984027	0.020850
10.075000	0.977373	0.021077
10.125000	0.978802	0.017371
10.175000	0.973932	0.015030
10.225000	0.968804	0.016785
10.275000	0.962677	0.016648
10.325000	0.956388	0.014604
10.375000	0.956014	0.015772
10.425000	0.948728	0.016094
10.475000	0.943520	0.018082
10.525000	0.948364	0.017770
10.575000	0.942753	0.017448
10.625000	0.940460	0.018058
10.675000	0.941449	0.020750
10.725000	0.935187	0.020676
10.775000	0.934492	0.022136
10.825000	0.932831	0.021722
10.875000	0.933369	0.022787
10.925000	0.931097	0.023175
10.975000	0.930293	0.023142
11.025000	0.930338	0.022642
11.075000	0.932211	0.019552
11.125000	0.935006	0.020407
11.175000	0.937696	0.019257
11.225000	0.941177	0.017369
11.275000	0.939765	0.019848
11.325000	0.941043	0.019352
11.375000	0.941901	0.017003
11.425000	0.944098	0.019736
11.475000	0.940057	0.018710
11.525000	0.940407	0.016859
11.575000	0.939371	0.017510
11.625000	0.938232	0.017121
11.675000	0.939427	0.017488
11.725000	0.935953	0.013794
11.775000	0.938276	0.016731
11.825000	0.939194	0.014136
11.875000	0.941066	0.012612
11.925000	0.942816	0.012801
11.975000	0.942099	0.011181
12.025000	0.946438	0.010859
12.075000	0.947812	0.010607
12.125000	0.950238	0.011630
12.175000	0.951784	0.010600
12.225000	0.958427	0.010313
12.275000	0.964944	0.012075
12.325000	0.968721	0.013671
12.375000	0.974681	0.015528
12.425000	0.980703	0.016038
12.475000	0.983181	0.012181
12.525000	0.989803	0.013524
12.575000	0.993833	0.014292
12.625000	0.999963	0.016593
12.675000	1.004947	0.017667
12.725000	1.009225	0.017899
12.775000	1.012950	0.019593
12.825000	1.015913	0.020365
12.875000	1.021308	0.018410
12.925000	1.023742	0.017756
12.975000	1.028453	0.019446
13.025000	1.032086	0.018028
13.075000	1.036183	0.019795
13.125000	1.036683	0.019333
13.175000	1.041591	0.018052
13.225000	1.043238	0.018817
13.275000	1.046478	0.019035
13.325000	1.048120	0.016389
13.375000	1.048850	0.016467
13.425000	1.050000	0.013308
13.475000	1.052794	0.014584
13.525000	1.055096	0.013892
13.575000	1.055515	0.017296
13.625000	1.056081	0.017147
13.675000	1.057810	0.016388
13.725000	1.057828	0.016223
13.775000	1.057290	0.014420
13.825000	1.056808	0.013262
13.875000	1.055732	0.011170
13.925000	1.054116	0.010242
13.975000	1.050705	0.010592
14.025000	1.051138	0.009328
14.075000	1.048081	0.006537
14.125000	1.045117	0.007883
14.175000	1.043230	0.007051
14.225000	1.042546	0.006206
14.275000	1.039408	0.007609
14.325000	1.037397	0.006150
14.375000	1.036112	0.007477
14.425000	1.030753	0.008440
14.475000	1.028451	0.008877
14.525000	1.026875	0.008118
14.575000	1.022922	0.010530
14.625000	1.020138	0.011339
14.675000	1.018783	0.011313
14.725000	1.015454	0.009010
14.775000	1.013389	0.010701
14.825000	1.012844	0.007862
14.875000	1.010506	0.010948
14.925000	1.007336	0.010512
14.975000	1.002293	0.008640
15.025000	1.001640	0.010868
15.075000	1.002164	0.009863
15.125000	1.000061	0.008513
15.175000	0.996779	0.008300
15.225000	0.998904	0.008953
15.275000	0.994798	0.009264
15.325000	0.993529	0.007293
15.375000	0.992087	0.009891
15.425000	0.991901	0.010067
15.475000	0.989930	0.009736
15.525000	0.989916	0.007609
15.575000	0.989215	0.010605
15.625000	0.988688	0.008983
15.675000	0.987735	0.008605
15.725000	0.988039	0.009614
15.775000	0.989256	0.009071
15.825000	0.987281	0.009607
15.875000	0.986999	0.010953
15.925000	0.987541	0.009545
15.975000	0.988671	0.011372
16.025000	0.986820	0.010613
16.075000	0.986788	0.010328
16.125000	0.986753	0.010558
16.175000	0.985841	0.010095
16.225000	0.985208	0.012111
16.275000	0.984241	0.010020
16.325000	0.983137	0.008479
16.375000	0.981970	0.009988
16.425000	0.979912	0.008614
16.475000	0.980062	0.008387
16.525000	0.980577	0.009662
16.575000	0.980470	0.008192
16.625000	0.979668	0.009484
16.675000	0.979197	0.007570
16.725000	0.980337	0.007788
16.775000	0.978575	0.006902
16.825000	0.977254	0.007377
16.875000	0.977972	0.008371
16.925000	0.978789	0.005542
16.975000	0.978089	0.006277
17.025000	0.977099	0.006948
17.075000	0.980062	0.007609
17.125000	0.981386	0.006433
17.175000	0.978783	0.006431
17.225000	0.978218	0.006928
17.275000	0.981907	0.008089
17.325000	0.983912	0.007080
17.375000	0.982207	0.009763
17.425000	0.985566	0.009158
17.475000	0.986591	0.007398
17.525000	0.988019	0.007869
17.575000	0.986145	0.008811
17.625000	0.990014	0.010262
17.675000	0.988766	0.008932
17.725000	0.989203	0.010041
17.775000	0.990269	0.008835
17.825000	0.992172	0.008212
17.875000	0.993322	0.008488
17.925000	0.992646	0.010290
17.975000	0.995280	0.008340
18.025000	0.995355	0.008519
18.075000	0.995940	0.007364
18.125000	0.997635	0.008048
18.175000	0.995571	0.005023
18.225000	0.996343	0.007558
18.275000	0.998115	0.004641
18.325000	0.999329	0.004282
18.375000	1.000409	0.003845
18.425000	0.999996	0.004069
18.475000	1.000170	0.002836
18.525000	1.000651	0.004226
18.575000	1.000968	0.005010
18.625000	1.001165	0.006713
18.675000	1.004408	0.005632
18.725000	1.004556	0.007004
18.775000	1.004641	0.005697
18.825000	1.004774	0.006032
18.875000	1.004639	0.006437
18.925000	1.003483	0.005812
18.975000	1.005008	0.007569
19.025000	1.005930	0.006818
19.075000	1.005753	0.007903
19.125000	1.007848	0.007717
19.175000	1.007112	0.006404
19.225000	1.008105	0.007788
19.275000	1.005780	0.006701
19.325000	1.006834	0.006781
19.375000	1.005803	0.005928
19.425000	1.006998	0.005708
19.475000	1.005666	0.005003
19.525000	1.006694	0.004044
19.575000	1.007039	0.003759
19.625000	1.007626	0.004130
19.675000	1.006108	0.005258
19.725000	1.005016	0.004816
19.775000	1.005205	0.005723
19.825000	1.006646	0.007778
19.875000	1.006609	0.007856
19.925000	1.008379	0.007338
19.975000	1.007300	0.009624
