# Ensemble Average Results:
#      Step      Time(ps)      <Temp>      Temp_std         <P>         P_std        <PE>        PE_std        <KE>        KE_std       <Etot>      Etot_std       <Vol>       Vol_std     <Density>   Density_std
    450000.0        900.0    1200.334000       8.067291    6489.938260     672.804783  -20889.279297      22.369630     621.240705       4.174471  -20268.038592      20.146015  116071.444000       0.001953       2.960142       0.000000
    451000.0        902.0    1153.010000      12.286458    6310.190420     410.669061  -20914.107812      12.391537     596.748754       6.358445  -20317.359058      17.247983  116071.444000       0.001953       2.960142       0.000000
    452000.0        904.0    1145.070000      18.721906    6239.683300     567.409902  -20918.345703       6.113696     592.637897       9.688232  -20325.707806      14.880585  116071.444000       0.001953       2.960142       0.000000
    453000.0        906.0    1158.212000      12.060399    5726.005660     519.237511  -20918.810937      16.856303     599.439816       6.241899  -20319.371122      13.242895  116071.444000       0.001953       2.960142       0.000000
    454000.0        908.0    1154.762000      16.646940    6328.766700    1072.285164  -20915.118359      17.817777     597.654144       8.616048  -20317.464216      16.662694  116071.444000       0.001953       2.960142       0.000000
    455000.0        910.0    1143.524000      13.929403    5661.088180     662.372660  -20921.339453      18.410596     591.838040       7.210200  -20329.501413      12.021462  116071.444000       0.001953       2.960142       0.000000
    456000.0        912.0    1103.188000       9.662247    6260.363960     929.201312  -20944.172656      13.471929     570.962309       5.001881  -20373.210347      13.886020  116071.444000       0.001953       2.960142       0.000000
    457000.0        914.0    1090.196000      15.389174    6471.349780     447.721052  -20950.846875      18.354624     564.239031       7.964121  -20386.607844      13.361335  116071.444000       0.001953       2.960142       0.000000
    458000.0        916.0    1095.766000      13.117975    6279.707920     893.587194  -20951.083594      14.624870     567.121080       6.788176  -20383.962514      10.903405  116071.444000       0.001953       2.960142       0.000000
    459000.0        918.0    1097.554000       9.002841    5853.187120     680.893443  -20953.680469      14.818588     568.045689       4.660153  -20385.634780      12.922836  116071.444000       0.001953       2.960142       0.000000
    460000.0        920.0    1109.238000      19.298765    5417.818720     543.972263  -20948.662109      17.114552     574.093878       9.988837  -20374.568231      15.403970  116071.444000       0.001953       2.960142       0.000000
    461000.0        922.0    1040.918000      12.607457    5476.147080     742.851513  -20978.665625      14.816190     538.734148       6.525145  -20439.931477      15.655950  116071.444000       0.001953       2.960142       0.000000
    462000.0        924.0    1042.428000       8.526001    6346.743360     635.569003  -20976.437890      19.750274     539.514695       4.412295  -20436.923195      17.639315  116071.444000       0.001953       2.960142       0.000000
    463000.0        926.0    1052.788000      12.340605    5676.864760     662.372972  -20979.793750      15.103700     544.878148       6.386960  -20434.915602      16.427743  116071.444000       0.001953       2.960142       0.000000
    464000.0        928.0    1051.014000      12.535691    5764.177860     694.630024  -20983.571875      13.366262     543.959391       6.487685  -20439.612484      12.361473  116071.444000       0.001953       2.960142       0.000000
    465000.0        930.0    1059.752000       9.696184    5489.924520    1022.908249  -20986.326172      15.859653     548.482282       5.018351  -20437.843890      13.537363  116071.444000       0.001953       2.960142       0.000000
    466000.0        932.0     999.094000       4.906786    5749.147460     544.182764  -21012.283984      14.005159     517.088153       2.540326  -20495.195831      13.690677  116071.444000       0.001953       2.960142       0.000000
