# Ensemble Average Results:
#      Step      Time(ps)      <Temp>      Temp_std         <P>         P_std        <PE>        PE_std        <KE>        KE_std       <Etot>      Etot_std       <Vol>       Vol_std     <Density>   Density_std
    790000.0       1580.0     301.204000       1.107007    2276.796520     458.858767  -21459.876562      12.494810     155.890347       0.572512  -21303.986215      12.669685  116071.444000       0.001953       2.960142       0.000000
    791000.0       1582.0     298.212000       0.915760    1771.783800     344.184472  -21458.319922      12.315201     154.340535       0.473677  -21303.979386      12.663761  116071.444000       0.001953       2.960142       0.000000
    792000.0       1584.0     298.704000       4.156458    2308.218560     276.801583  -21458.582031      11.886167     154.595222       2.150619  -21303.986809      12.673424  116071.444000       0.001953       2.960142       0.000000
    793000.0       1586.0     299.078000       3.687185    2186.427020     126.718785  -21458.772656      12.031404     154.789725       1.908134  -21303.982931      12.667217  116071.444000       0.001953       2.960142       0.000000
    794000.0       1588.0     298.866000       4.006907    2072.586080     411.024949  -21458.657813      11.551704     154.679946       2.073467  -21303.977867      12.680917  116071.444000       0.001953       2.960142       0.000000
    795000.0       1590.0     301.146000       2.058258    2143.351480     328.570257  -21459.841406      12.062596     155.860359       1.065770  -21303.981047      12.681382  116071.444000       0.001953       2.960142       0.000000
    796000.0       1592.0     298.716000       2.924911    1931.436040     343.601633  -21458.577344      12.071810     154.602141       1.514839  -21303.975202      12.666455  116071.444000       0.001953       2.960142       0.000000
    797000.0       1594.0     300.818000       3.430769    2459.850160     380.770102  -21459.685156      11.104714     155.688873       1.775216  -21303.996283      12.686043  116071.444000       0.001953       2.960142       0.000000
    798000.0       1596.0     300.954000       1.867700    2168.136680     674.435091  -21459.758984      12.318773     155.759759       0.967361  -21303.999226      12.668843  116071.444000       0.001953       2.960142       0.000000
    799000.0       1598.0     297.488000       2.465144    2302.530580     590.419825  -21457.966406      12.478277     153.967927       1.276707  -21303.998479      12.666971  116071.444000       0.001953       2.960142       0.000000
    800000.0       1600.0     300.052000       3.020963    2404.301640     457.986961  -21459.289063      11.694301     155.294306       1.564030  -21303.994756      12.655568  116071.444000       0.001953       2.960142       0.000000
    801000.0       1602.0     299.892000       6.438467    2296.824880     676.874652  -21459.221875      11.527714     155.211023       3.332735  -21304.010852      12.674441  116071.444000       0.001953       2.960142       0.000000
    802000.0       1604.0     300.210000       4.109360    2248.913340     446.846513  -21459.362500      10.641135     155.374840       2.126777  -21303.987660      12.656896  116071.444000       0.001953       2.960142       0.000000
    803000.0       1606.0     299.476000       3.916890    2155.144440     236.498442  -21458.982422      11.451417     154.995711       2.026237  -21303.986711      12.669209  116071.444000       0.001953       2.960142       0.000000
    804000.0       1608.0     301.722000       3.501214    2105.884880     511.353712  -21460.162109      12.003266     156.158996       1.812173  -21304.003113      12.678369  116071.444000       0.001953       2.960142       0.000000
    805000.0       1610.0     299.620000       3.646478    2056.964020     453.762246  -21459.062109      10.964448     155.070865       1.887621  -21303.991245      12.671090  116071.444000       0.001953       2.960142       0.000000
    806000.0       1612.0     300.090000       4.049760    2186.189460     269.348250  -21459.307031      12.125704     155.314664       2.096125  -21303.992367      12.677825  116071.444000       0.001953       2.960142       0.000000
    807000.0       1614.0     300.476000       2.050196    2101.249320     261.613593  -21459.482812      11.715422     155.512753       1.060974  -21303.970059      12.672429  116071.444000       0.001953       2.960142       0.000000
    808000.0       1616.0     297.818000       4.004305    2391.319020     241.512955  -21458.115234      12.105328     154.138028       2.073131  -21303.977207      12.675381  116071.444000       0.001953       2.960142       0.000000
    809000.0       1618.0     300.178000       3.225247    2037.155100      94.011691  -21459.346875      12.384638     155.359723       1.669970  -21303.987152      12.655487  116071.444000       0.001953       2.960142       0.000000
    810000.0       1620.0     300.980000       4.407961    2010.479400     584.480694  -21459.768360      11.512874     155.775137       2.280331  -21303.993222      12.664460  116071.444000       0.001953       2.960142       0.000000
    811000.0       1622.0     300.168000       3.261812    2066.496820     177.865316  -21459.341797      11.880576     155.355092       1.688537  -21303.986705      12.653487  116071.444000       0.001953       2.960142       0.000000
