# Ensemble Average Results:
#      Step      Time(ps)      <Temp>      Temp_std         <P>         P_std        <PE>        PE_std        <KE>        KE_std       <Etot>      Etot_std       <Vol>       Vol_std     <Density>   Density_std
   1290000.0       2580.0     303.092000       3.836839    1758.859480     415.139680  -21460.865234      12.349754     156.867020       1.987368  -21303.998214      12.666619  116071.444000       0.001953       2.960142       0.000000
   1290000.0       2580.0     303.092000       3.836839    1758.860840     415.139655  -21460.859375      12.346377     156.867020       1.987368  -21303.992354      12.663983  116071.444000       0.001953       2.960142       0.000000
   1291000.0       2582.0     303.156000       3.843699    1974.113500     337.655485  -21460.887891      11.361729     156.899902       1.989816  -21303.987988      12.680725  116071.444000       0.001953       2.960142       0.000000
   1292000.0       2584.0     302.354000       5.357599    2546.480560     309.265523  -21460.469141      10.572890     156.486497       2.772984  -21303.982644      12.678797  116071.444000       0.001953       2.960142       0.000000
   1293000.0       2586.0     302.522000       3.818735    1954.861480     164.275943  -21460.546094      11.797377     156.572430       1.976664  -21303.973664      12.669236  116071.444000       0.001953       2.960142       0.000000
   1294000.0       2588.0     303.420000       3.050010    2402.057520     347.056213  -21461.027734      11.599821     157.036938       1.577977  -21303.990796      12.679119  116071.444000       0.001953       2.960142       0.000000
   1295000.0       2590.0     302.304000       4.012264    2201.012100     314.825827  -21460.460156      11.290161     156.459864       2.075970  -21304.000292      12.661727  116071.444000       0.001953       2.960142       0.000000
   1296000.0       2592.0     302.792000       4.494162    1910.071620     191.510391  -21460.710937      10.833927     156.711974       2.325572  -21303.998964      12.691384  116071.444000       0.001953       2.960142       0.000000
   1297000.0       2594.0     304.264000       3.164772    1942.026760     341.722614  -21461.460156      12.482823     157.473146       1.639110  -21303.987010      12.698485  116071.444000       0.001953       2.960142       0.000000
   1298000.0       2596.0     302.728000       5.768062    2123.880360     120.239449  -21460.669141      10.412995     156.679521       2.985971  -21303.989620      12.680515  116071.444000       0.001953       2.960142       0.000000
   1299000.0       2598.0     302.322000       2.414890    2100.182680     272.761360  -21460.444141      12.070880     156.467770       1.248660  -21303.976371      12.684574  116071.444000       0.001953       2.960142       0.000000
   1300000.0       2600.0     301.962000       2.276431    1890.106860     420.307252  -21460.278516      12.876171     156.282029       1.178244  -21303.996486      12.679768  116071.444000       0.001953       2.960142       0.000000
   1301000.0       2602.0     304.642000       1.726122    2224.756320     176.354545  -21461.659766      12.051440     157.668319       0.893268  -21303.991447      12.667201  116071.444000       0.001953       2.960142       0.000000
   1302000.0       2604.0     301.280000       4.066325    2078.334400     309.160812  -21459.920313      10.908434     155.929401       2.104534  -21303.990912      12.666067  116071.444000       0.001953       2.960142       0.000000
   1303000.0       2606.0     303.050000       4.313129    2244.145560     360.795612  -21460.838281      11.234206     156.844475       2.231874  -21303.993807      12.681104  116071.444000       0.001953       2.960142       0.000000
   1304000.0       2608.0     302.878000       5.508856    2231.090820     552.667113  -21460.740625      11.334225     156.756398       2.849709  -21303.984227      12.676439  116071.444000       0.001953       2.960142       0.000000
   1305000.0       2610.0     303.182000       2.759488    1949.116020     373.986809  -21460.903906      11.502686     156.914174       1.428038  -21303.989732      12.672653  116071.444000       0.001953       2.960142       0.000000
   1306000.0       2612.0     303.504000       4.116783    2304.263600     326.315729  -21461.065625      11.676166     157.080075       2.129294  -21303.985550      12.680315  116071.444000       0.001953       2.960142       0.000000
   1307000.0       2614.0     305.508000       0.548285    1836.806920     512.559503  -21462.097656      12.444971     158.118062       0.284045  -21303.979594      12.681473  116071.444000       0.001953       2.960142       0.000000
   1308000.0       2616.0     302.548000       3.963500    2387.015540     401.868130  -21460.588672      11.347392     156.585578       2.052584  -21304.003094      12.667959  116071.444000       0.001953       2.960142       0.000000
   1309000.0       2618.0     305.102000       4.506526    1991.629160     464.293226  -21461.911328      11.332055     157.908534       2.332891  -21304.002794      12.676936  116071.444000       0.001953       2.960142       0.000000
   1310000.0       2620.0     303.474000       2.194052    2104.954460     493.924056  -21461.059766      12.680101     157.065481       1.135323  -21303.994285      12.683451  116071.444000       0.001953       2.960142       0.000000
   1311000.0       2622.0     304.310000       2.673103    1997.853860     356.903793  -21461.491797      12.735043     157.497362       1.383192  -21303.994435      12.664170  116071.444000       0.001953       2.960142       0.000000
   1312000.0       2624.0     302.884000       3.437095    2071.521820     524.617824  -21460.739844      11.951500     156.759190       1.779463  -21303.980654      12.679201  116071.444000       0.001953       2.960142       0.000000
   1313000.0       2626.0     303.684000       3.595055    1931.256080     417.891079  -21461.160547      11.553195     157.175074       1.860086  -21303.985472      12.681999  116071.444000       0.001953       2.960142       0.000000
   1314000.0       2628.0     304.246000       5.250995    2328.442400     485.230362  -21461.451562      11.800351     157.464700       2.718438  -21303.986863      12.687237  116071.444000       0.001953       2.960142       0.000000
   1315000.0       2630.0     304.784000       4.884025    1929.795120     230.467839  -21461.741406      10.959932     157.742781       2.528818  -21303.998626      12.671707  116071.444000       0.001953       2.960142       0.000000
   1316000.0       2632.0     304.018000       5.153137    1905.287060     371.564645  -21461.334375      10.992828     157.346749       2.668116  -21303.987626      12.676068  116071.444000       0.001953       2.960142       0.000000
   1317000.0       2634.0     302.700000       3.113731    2007.942460     357.405110  -21460.657812      12.715065     156.663648       1.612167  -21303.994164      12.672350  116071.444000       0.001953       2.960142       0.000000
   1318000.0       2636.0     303.888000       4.094315    2080.223120     127.378565  -21461.262109      11.522945     157.279262       2.119688  -21303.982847      12.663944  116071.444000       0.001953       2.960142       0.000000
   1319000.0       2638.0     304.658000       4.435518    1956.652940     273.551465  -21461.662500      11.797532     157.678266       2.295445  -21303.984234      12.662392  116071.444000       0.001953       2.960142       0.000000
   1320000.0       2640.0     306.008000       4.966272    1945.385440     346.034905  -21462.345313      11.327560     158.375638       2.570800  -21303.969675      12.664986  116071.444000       0.001953       2.960142       0.000000
   1321000.0       2642.0     305.200000       4.538564    2245.231240     290.795711  -21461.959375      10.574161     157.958205       2.348350  -21304.001169      12.673946  116071.444000       0.001953       2.960142       0.000000
   1322000.0       2644.0     300.836000       3.472933    2075.255460     394.671774  -21459.681250      11.656160     155.698973       1.796677  -21303.982277      12.670495  116071.444000       0.001953       2.960142       0.000000
   1323000.0       2646.0     303.330000       3.434769    2279.221180     223.062101  -21460.999609      11.741802     156.991865       1.778635  -21304.007745      12.663399  116071.444000       0.001953       2.960142       0.000000
   1324000.0       2648.0     304.022000       4.027274    2111.950700     259.602676  -21461.348047      11.630373     157.348124       2.083304  -21303.999923      12.660649  116071.444000       0.001953       2.960142       0.000000
   1325000.0       2650.0     303.992000       4.550611    1963.735800     311.538716  -21461.312500      10.677174     157.333521       2.354694  -21303.978979      12.675987  116071.444000       0.001953       2.960142       0.000000
   1326000.0       2652.0     301.864000       6.067186    1686.814280     257.778779  -21460.220703      11.919220     156.231367       3.139205  -21303.989336      12.666809  116071.444000       0.001953       2.960142       0.000000
   1327000.0       2654.0     303.358000       3.258198    2262.490160     504.355519  -21461.004687      11.799180     157.004880       1.685826  -21303.999807      12.668058  116071.444000       0.001953       2.960142       0.000000
   1328000.0       2656.0     303.772000       6.084447    2366.185480     362.630470  -21461.205469      11.352897     157.219075       3.147864  -21303.986394      12.675992  116071.444000       0.001953       2.960142       0.000000
   1329000.0       2658.0     304.378000       4.807937    2193.340260     368.768692  -21461.532031      10.711874     157.533909       2.489285  -21303.998122      12.674377  116071.444000       0.001953       2.960142       0.000000
   1330000.0       2660.0     303.742000       3.989954    1944.915340     366.341129  -21461.202344      11.747397     157.203251       2.064789  -21303.999092      12.676754  116071.444000       0.001953       2.960142       0.000000
   1331000.0       2662.0     303.016000       4.874852    2178.477920     488.887386  -21460.817969      10.819857     156.827490       2.522365  -21303.990479      12.678275  116071.444000       0.001953       2.960142       0.000000
