# Ensemble Average Results:
#      Step      Time(ps)      <Temp>      Temp_std         <P>         P_std        <PE>        PE_std        <KE>        KE_std       <Etot>      Etot_std       <Vol>       Vol_std     <Density>   Density_std
    790000.0       1580.0     301.204000       1.107007    2276.802200     458.861098  -21459.875390      12.494940     155.890347       0.572512  -21303.985044      12.669510  116071.444000       0.001953       2.960142       0.000000
    791000.0       1582.0     298.212000       0.915760    1771.797320     344.316975  -21458.322656      12.311405     154.340537       0.473440  -21303.982119      12.659961  116071.444000       0.001953       2.960142       0.000000
    792000.0       1584.0     298.992000       4.387548    2275.480140     273.310184  -21458.726953      12.112850     154.745080       2.271451  -21303.981873      12.659973  116071.444000       0.001953       2.960142       0.000000
    793000.0       1586.0     299.666000       3.872945    2061.091880     361.193514  -21459.080469      11.985932     155.093773       2.003951  -21303.986696      12.660533  116071.444000       0.001953       2.960142       0.000000
    794000.0       1588.0     300.294000       3.189436    2506.114540     488.523814  -21459.406640      13.229985     155.419465       1.650242  -21303.987176      12.658054  116071.444000       0.001953       2.960142       0.000000
    795000.0       1590.0     301.894000       5.173168    1788.389880     868.776570  -21460.241016      13.570843     156.247543       2.678534  -21303.993473      12.680150  116071.444000       0.001953       2.960142       0.000000
    796000.0       1592.0     300.592000       3.308918    2183.048880     450.110269  -21459.550000      12.639859     155.572866       1.713395  -21303.977134      12.657747  116071.444000       0.001953       2.960142       0.000000
    797000.0       1594.0     302.112000       2.564195    2010.051060     323.909483  -21460.357422      11.660955     156.360508       1.327159  -21303.996913      12.687382  116071.444000       0.001953       2.960142       0.000000
    798000.0       1596.0     300.148000       2.658980    2092.716400     256.091451  -21459.337890      12.657128     155.343571       1.376950  -21303.994320      12.673763  116071.444000       0.001953       2.960142       0.000000
    799000.0       1598.0     300.138000       2.441888    2001.071960     302.488631  -21459.320703      12.088285     155.338756       1.264487  -21303.981947      12.685651  116071.444000       0.001953       2.960142       0.000000
    800000.0       1600.0     299.240000       2.795561    1789.222940     428.930791  -21458.868750      11.463896     154.873813       1.445502  -21303.994937      12.679987  116071.444000       0.001953       2.960142       0.000000
    801000.0       1602.0     297.732000       4.466468    1962.506560     322.864529  -21458.079688      12.274944     154.092493       2.311679  -21303.987195      12.676126  116071.444000       0.001953       2.960142       0.000000
