# Ensemble Average Results:
#      Step      Time(ps)      <Temp>      Temp_std         <P>         P_std        <PE>        PE_std        <KE>        KE_std       <Etot>      Etot_std       <Vol>       Vol_std     <Density>   Density_std
   1015000.0       2030.0     303.206000       4.535930    2074.284880     246.426458  -21461.391797      10.515683     156.926138       2.347899  -21304.465659       8.584793  116071.444000       0.001953       2.960142       0.000000
   1016000.0       2032.0     302.382000       2.839996    1893.282120     171.721110  -21460.971484       8.939963     156.499335       1.469261  -21304.472149       8.557723  116071.444000       0.001953       2.960142       0.000000
   1017000.0       2034.0     301.936000       4.956542    2130.010260     201.699834  -21460.723437      10.530604     156.268866       2.564973  -21304.454571       8.561383  116071.444000       0.001953       2.960142       0.000000
   1018000.0       2036.0     303.280000       3.932917    2118.032720     406.768007  -21461.432813      10.203574     156.965635       2.035201  -21304.467177       8.566591  116071.444000       0.001953       2.960142       0.000000
   1019000.0       2038.0     300.502000       3.045530    2104.441640     483.130434  -21459.986719       9.370228     155.526645       1.575796  -21304.460074       8.557943  116071.444000       0.001953       2.960142       0.000000
   1020000.0       2040.0     302.100000       2.954238    2275.422980     370.229420  -21460.818360       9.709289     156.353707       1.529404  -21304.464652       8.563729  116071.444000       0.001953       2.960142       0.000000
   1021000.0       2042.0     301.046000       4.172935    2101.899220     213.956528  -21460.281250      10.232743     155.808283       2.159418  -21304.472967       8.557304  116071.444000       0.001953       2.960142       0.000000
   1022000.0       2044.0     302.426000       3.366782    2124.246220     303.016221  -21461.002344       9.297601     156.522676       1.742735  -21304.479668       8.569028  116071.444000       0.001953       2.960142       0.000000
   1023000.0       2046.0     302.798000       3.878564    1831.012980     363.272066  -21461.194531      10.246250     156.715101       2.006561  -21304.479430       8.561706  116071.444000       0.001953       2.960142       0.000000
   1024000.0       2048.0     302.588000       2.702283    2127.451440     434.876775  -21461.078906       8.629513     156.606412       1.397876  -21304.472494       8.550178  116071.444000       0.001953       2.960142       0.000000
   1025000.0       2050.0     299.486000       3.282247    2136.077300     457.061144  -21459.444141       9.494391     154.999513       1.698467  -21304.444627       8.561233  116071.444000       0.001953       2.960142       0.000000
   1026000.0       2052.0     299.962000       4.986058    2476.568340     396.847159  -21459.714453      10.694886     155.247971       2.580270  -21304.466482       8.579593  116071.444000       0.001953       2.960142       0.000000
   1027000.0       2054.0     303.182000       3.523750    2554.008160     307.172948  -21461.380469       9.924248     156.912412       1.823901  -21304.468056       8.565681  116071.444000       0.001953       2.960142       0.000000
   1028000.0       2056.0     301.792000       2.950426    2188.495620     497.117565  -21460.630078       9.823100     156.194354       1.526711  -21304.435724       8.571891  116071.444000       0.001953       2.960142       0.000000
   1029000.0       2058.0     301.306000       3.450041    2383.723480     294.734323  -21460.391797       9.741453     155.943235       1.784715  -21304.448562       8.571221  116071.444000       0.001953       2.960142       0.000000
   1030000.0       2060.0     301.288000       2.794598    1836.444380     301.675684  -21460.392578       9.887960     155.933545       1.445376  -21304.459033       8.568012  116071.444000       0.001953       2.960142       0.000000
   1031000.0       2062.0     298.258000       2.272025    1822.415700     349.647350  -21458.823828       9.309523     154.365463       1.175382  -21304.458365       8.564117  116071.444000       0.001953       2.960142       0.000000
   1032000.0       2064.0     301.986000       3.893865    2052.238620     347.004100  -21460.753125       9.831594     156.294690       2.016113  -21304.458435       8.562576  116071.444000       0.001953       2.960142       0.000000
   1033000.0       2066.0     301.548000       3.354909    1968.761300     395.904317  -21460.531641       9.819243     156.067884       1.736441  -21304.463757       8.561393  116071.444000       0.001953       2.960142       0.000000
   1034000.0       2068.0     301.596000       5.485365    1578.971760     404.506258  -21460.559765      11.166130     156.094125       2.838216  -21304.465641       8.588434  116071.444000       0.001953       2.960142       0.000000
   1035000.0       2070.0     301.114000       2.103308    2523.846460     460.640027  -21460.317188       9.214598     155.842845       1.089122  -21304.474343       8.580318  116071.444000       0.001953       2.960142       0.000000
   1036000.0       2072.0     300.642000       5.107811    2228.103660     522.630711  -21460.061328       9.246760     155.598438       2.644024  -21304.462890       8.567549  116071.444000       0.001953       2.960142       0.000000
   1037000.0       2074.0     300.204000       4.315783    2352.851980     383.112231  -21459.827344      10.472003     155.372952       2.233528  -21304.454392       8.582074  116071.444000       0.001953       2.960142       0.000000
   1038000.0       2076.0     301.578000       4.400952    1709.816600     313.489125  -21460.539844       9.846829     156.084267       2.277924  -21304.455577       8.565944  116071.444000       0.001953       2.960142       0.000000
   1039000.0       2078.0     301.626000       2.892768    2366.715040     409.395515  -21460.556641       9.834166     156.109248       1.497750  -21304.447393       8.559790  116071.444000       0.001953       2.960142       0.000000
   1040000.0       2080.0     303.786000       5.402057    1680.237380     288.907996  -21461.688281      11.129016     157.226147       2.795215  -21304.462134       8.562633  116071.444000       0.001953       2.960142       0.000000
   1041000.0       2082.0     301.914000       2.909203    2286.359080     474.507686  -21460.728125       9.411276     156.258216       1.505003  -21304.469910       8.565395  116071.444000       0.001953       2.960142       0.000000
   1042000.0       2084.0     299.736000       3.980963    2027.382540     228.277523  -21459.596875       9.268773     155.130541       2.059147  -21304.466334       8.565865  116071.444000       0.001953       2.960142       0.000000
   1043000.0       2086.0     301.220000       3.493262    2097.295300     377.817819  -21460.348047      10.065095     155.898212       1.808728  -21304.449835       8.579872  116071.444000       0.001953       2.960142       0.000000
   1044000.0       2088.0     300.446000       4.559796    1858.765520     435.080564  -21459.958594       9.431740     155.498156       2.360926  -21304.460438       8.574924  116071.444000       0.001953       2.960142       0.000000
   1045000.0       2090.0     299.864000       2.810990    1958.197720     414.976058  -21459.651563       9.174165     155.195788       1.454541  -21304.455774       8.570258  116071.444000       0.001953       2.960142       0.000000
   1046000.0       2092.0     301.734000       3.239096    1996.637820     375.318461  -21460.614844      10.132414     156.164234       1.675978  -21304.450610       8.557364  116071.444000       0.001953       2.960142       0.000000
   1047000.0       2094.0     301.986000       3.930677    2585.071480     502.832565  -21460.766797      10.123835     156.295033       2.035068  -21304.471764       8.558233  116071.444000       0.001953       2.960142       0.000000
   1048000.0       2096.0     305.180000       1.625866    2010.445840     225.629722  -21462.410156       9.101766     157.947640       0.841393  -21304.462517       8.557804  116071.444000       0.001953       2.960142       0.000000
   1049000.0       2098.0     300.234000       2.282521    1800.977160     198.050020  -21459.846485       9.110892     155.387739       1.180835  -21304.458745       8.562453  116071.444000       0.001953       2.960142       0.000000
   1050000.0       2100.0     300.548000       2.208514    2264.573500     494.013952  -21459.995313       9.258734     155.549804       1.142545  -21304.445509       8.566922  116071.444000       0.001953       2.960142       0.000000
   1051000.0       2102.0     301.078000       4.620404    2308.629580     317.749261  -21460.263281      10.006402     155.825921       2.390731  -21304.437361       8.563169  116071.444000       0.001953       2.960142       0.000000
   1052000.0       2104.0     300.820000       1.957774    2148.774300     286.634951  -21460.143359       9.394712     155.691275       1.012089  -21304.452084       8.565740  116071.444000       0.001953       2.960142       0.000000
   1053000.0       2106.0     302.068000       3.013711    2212.737920     499.935657  -21460.802344      10.123455     156.336160       1.560098  -21304.466184       8.573421  116071.444000       0.001953       2.960142       0.000000
   1054000.0       2108.0     300.610000       1.643302    2030.248820     289.424795  -21460.039844       8.685807     155.582326       0.850751  -21304.457518       8.565148  116071.444000       0.001953       2.960142       0.000000
   1055000.0       2110.0     301.134000       3.630100    1874.632800     384.838495  -21460.305859      10.319642     155.853637       1.879124  -21304.452222       8.569734  116071.444000       0.001953       2.960142       0.000000
   1056000.0       2112.0     302.720000       2.117650    2175.527440     338.996719  -21461.133203       8.710005     156.674419       1.095939  -21304.458784       8.567056  116071.444000       0.001953       2.960142       0.000000
   1057000.0       2114.0     302.052000       4.009526    1968.539900     225.493767  -21460.794531      10.015899     156.328202       2.075730  -21304.466330       8.573522  116071.444000       0.001953       2.960142       0.000000
   1058000.0       2116.0     300.578000       2.103762    2212.831640     387.013456  -21460.016406       8.605534     155.566646       1.088483  -21304.449761       8.571366  116071.444000       0.001953       2.960142       0.000000
   1059000.0       2118.0     303.038000       4.832061    1935.165960     295.645560  -21461.314062       9.124908     156.840156       2.501394  -21304.473906       8.545557  116071.444000       0.001953       2.960142       0.000000
   1060000.0       2120.0     301.772000       6.846849    1891.340400     449.088382  -21460.658984      11.734548     156.184075       3.543227  -21304.474910       8.573497  116071.444000       0.001953       2.960142       0.000000
   1061000.0       2122.0     300.596000       3.152076    1943.602800     469.453102  -21460.051172      10.102486     155.575629       1.631774  -21304.475543       8.571384  116071.444000       0.001953       2.960142       0.000000
   1062000.0       2124.0     302.066000       5.643972    1825.089620     193.766797  -21460.790625      10.337968     156.335873       2.921309  -21304.454752       8.566478  116071.444000       0.001953       2.960142       0.000000
   1063000.0       2126.0     305.418000       3.566362    1734.230540     270.832469  -21462.544922      10.204845     158.071076       1.846413  -21304.473846       8.571729  116071.444000       0.001953       2.960142       0.000000
   1064000.0       2128.0     303.234000       4.521896    1952.174440     284.193950  -21461.404688       9.769179     156.941355       2.341584  -21304.463333       8.571618  116071.444000       0.001953       2.960142       0.000000
   1065000.0       2130.0     302.614000       3.694897    2144.810920     324.515633  -21461.079297       9.615273     156.620470       1.912747  -21304.458827       8.548056  116071.444000       0.001953       2.960142       0.000000
   1066000.0       2132.0     299.372000       3.884252    2166.614720     275.018503  -21459.409375      10.133572     154.942058       2.010833  -21304.467317       8.573554  116071.444000       0.001953       2.960142       0.000000
   1067000.0       2134.0     302.752000       2.872291    2038.393000     402.567012  -21461.142969       9.617833     156.690794       1.485570  -21304.452175       8.575571  116071.444000       0.001953       2.960142       0.000000
   1068000.0       2136.0     301.980000       3.714695    2388.901240     531.300812  -21460.748437      10.235046     156.291679       1.923302  -21304.456758       8.580292  116071.444000       0.001953       2.960142       0.000000
   1069000.0       2138.0     301.574000       3.091981    1888.194000     469.601708  -21460.542578       9.177131     156.081496       1.600075  -21304.461082       8.581172  116071.444000       0.001953       2.960142       0.000000
   1070000.0       2140.0     302.838000       3.176630    2284.711000     450.359949  -21461.188672       9.911263     156.735082       1.643630  -21304.453590       8.557063  116071.444000       0.001953       2.960142       0.000000
   1071000.0       2142.0     301.910000       5.106686    2223.685900     281.897445  -21460.703906      10.436327     156.255083       2.643221  -21304.448823       8.560836  116071.444000       0.001953       2.960142       0.000000
   1072000.0       2144.0     302.612000       4.150693    2012.018240     283.372114  -21461.095703      10.061993     156.619059       2.148360  -21304.476643       8.563588  116071.444000       0.001953       2.960142       0.000000
   1073000.0       2146.0     301.758000       3.140225    2158.381720     345.532809  -21460.636719       8.584578     156.177126       1.623584  -21304.459593       8.571129  116071.444000       0.001953       2.960142       0.000000
   1074000.0       2148.0     300.556000       3.308532    2327.080340     433.660950  -21460.011719       9.653419     155.556222       1.712183  -21304.455496       8.560993  116071.444000       0.001953       2.960142       0.000000
   1075000.0       2150.0     303.940000       2.385330    1786.350180     266.480952  -21461.758984       9.445591     157.306210       1.234244  -21304.452774       8.561857  116071.444000       0.001953       2.960142       0.000000
   1076000.0       2152.0     302.962000       4.649354    2049.619960     269.660887  -21461.260937       9.941404     156.799881       2.406242  -21304.461056       8.568916  116071.444000       0.001953       2.960142       0.000000
   1077000.0       2154.0     304.190000       2.994455    1961.936620     556.720977  -21461.900391       9.859797     157.435381       1.549676  -21304.465009       8.578368  116071.444000       0.001953       2.960142       0.000000
   1078000.0       2156.0     302.620000       3.039947    2070.096460     348.203417  -21461.085547      10.015976     156.623169       1.574555  -21304.462378       8.576275  116071.444000       0.001953       2.960142       0.000000
   1079000.0       2158.0     300.694000       2.738968    2292.108480     299.664293  -21460.089453       9.195634     155.625902       1.418252  -21304.463551       8.563330  116071.444000       0.001953       2.960142       0.000000
