# Ensemble Average Results:
#      Step      Time(ps)      <Temp>      Temp_std         <P>         P_std        <PE>        PE_std        <KE>        KE_std       <Etot>      Etot_std       <Vol>       Vol_std     <Density>   Density_std
    790000.0       1580.0     301.204000       1.107007    2276.799920     458.856914  -21459.879297      12.495218     155.890347       0.572512  -21303.988950      12.669862  116071.444000       0.001953       2.960142       0.000000
    791000.0       1582.0     298.210000       0.914483    1771.813380     344.208013  -21458.327344      12.321812     154.340281       0.473335  -21303.987062      12.670168  116071.444000       0.001953       2.960142       0.000000
    792000.0       1584.0     299.024000       4.443911    2284.722140     262.748741  -21458.760156      12.102688     154.762050       2.298916  -21303.998107      12.680909  116071.444000       0.001953       2.960142       0.000000
    793000.0       1586.0     300.324000       2.590974    2052.737780     231.888054  -21459.423437      12.122697     155.434843       1.341118  -21303.988594      12.658899  116071.444000       0.001953       2.960142       0.000000
    794000.0       1588.0     298.312000       1.455863    2061.544560     153.329716  -21458.376563      12.101259     154.394778       0.752688  -21303.981785      12.672494  116071.444000       0.001953       2.960142       0.000000
    795000.0       1590.0     299.086000       4.305543    2124.254800     574.494977  -21458.777344      12.369272     154.793385       2.228193  -21303.983958      12.668110  116071.444000       0.001953       2.960142       0.000000
    796000.0       1592.0     299.290000       3.688360    2163.300340     199.609628  -21458.894922      11.870171     154.899622       1.909144  -21303.995300      12.658290  116071.444000       0.001953       2.960142       0.000000
    797000.0       1594.0     301.588000       2.726297    2119.217500     335.110998  -21460.104688      11.645272     156.087936       1.410771  -21304.016751      12.664137  116071.444000       0.001953       2.960142       0.000000
    798000.0       1596.0     301.244000       2.191343    2118.329260     223.035721  -21459.894922      12.550849     155.910441       1.135289  -21303.984481      12.670223  116071.444000       0.001953       2.960142       0.000000
    799000.0       1598.0     300.376000       3.542025    2388.611400     184.218320  -21459.456250      12.065998     155.461963       1.832152  -21303.994287      12.671427  116071.444000       0.001953       2.960142       0.000000
    800000.0       1600.0     302.362000       3.399402    1884.003480     264.117520  -21460.469531      12.654796     156.489429       1.759030  -21303.980102      12.676726  116071.444000       0.001953       2.960142       0.000000
    801000.0       1602.0     298.138000       1.424997    1939.918740     688.020564  -21458.290234      12.391380     154.303774       0.737498  -21303.986460      12.675848  116071.444000       0.001953       2.960142       0.000000
    802000.0       1604.0     298.370000       2.217792    2205.290840     297.079540  -21458.415625      13.139740     154.423976       1.148380  -21303.991649      12.658895  116071.444000       0.001953       2.960142       0.000000
    803000.0       1606.0     300.088000       3.229225    2085.928140     335.370341  -21459.296094      12.664418     155.312622       1.670683  -21303.983472      12.665889  116071.444000       0.001953       2.960142       0.000000
    804000.0       1608.0     299.686000       3.230682    2050.742020     150.559904  -21459.114062      12.058529     155.104900       1.671854  -21304.009162      12.677943  116071.444000       0.001953       2.960142       0.000000
    805000.0       1610.0     299.484000       3.285036    2120.293700     374.289457  -21458.975000      11.580205     155.000172       1.701242  -21303.974829      12.666829  116071.444000       0.001953       2.960142       0.000000
    806000.0       1612.0     299.946000       2.347549    2037.521900     289.630776  -21459.232031      12.020878     155.238784       1.214244  -21303.993247      12.670732  116071.444000       0.001953       2.960142       0.000000
    807000.0       1614.0     300.412000       4.686476    2137.134640     411.931415  -21459.471094      12.198575     155.479899       2.425621  -21303.991194      12.671418  116071.444000       0.001953       2.960142       0.000000
    808000.0       1616.0     301.758000       4.151276    2261.790320     362.072837  -21460.161719      12.427917     156.177222       2.149516  -21303.984496      12.672094  116071.444000       0.001953       2.960142       0.000000
    809000.0       1618.0     297.998000       1.502523    2050.823100     445.496875  -21458.224609      12.256896     154.231999       0.777307  -21303.992610      12.669979  116071.444000       0.001953       2.960142       0.000000
    810000.0       1620.0     299.926000       3.427749    2176.605300     691.407148  -21459.203125      11.062675     155.229289       1.774153  -21303.973836      12.678605  116071.444000       0.001953       2.960142       0.000000
    811000.0       1622.0     300.870000       3.599150    1971.093600     207.463079  -21459.706641      12.442826     155.717986       1.861951  -21303.988654      12.671934  116071.444000       0.001953       2.960142       0.000000
    812000.0       1624.0     298.950000       3.398847    1854.509380     368.776160  -21458.691797      11.202033     154.722717       1.758740  -21303.969080      12.690828  116071.444000       0.001953       2.960142       0.000000
    813000.0       1626.0     299.170000       2.241196    1938.668320     319.882768  -21458.827734      11.658707     154.836829       1.160170  -21303.990906      12.664807  116071.444000       0.001953       2.960142       0.000000
    814000.0       1628.0     300.106000       3.321064    2605.932340     415.723521  -21459.319922      12.078229     155.321260       1.718657  -21303.998662      12.676107  116071.444000       0.001953       2.960142       0.000000
    815000.0       1630.0     302.106000       4.782608    1831.370640     458.829245  -21460.340625      11.643698     156.355382       2.475448  -21303.985243      12.666117  116071.444000       0.001953       2.960142       0.000000
    816000.0       1632.0     301.784000       5.248011    2297.327760     312.006506  -21460.178125      10.957467     156.190896       2.716619  -21303.987229      12.659584  116071.444000       0.001953       2.960142       0.000000
    817000.0       1634.0     299.834000       3.722476    2212.920880     534.313056  -21459.171484      12.080712     155.182335       1.926215  -21303.989149      12.686578  116071.444000       0.001953       2.960142       0.000000
    818000.0       1636.0     301.674000       2.394816    2122.632160     239.155964  -21460.123438      11.752886     156.132370       1.239756  -21303.991068      12.677681  116071.444000       0.001953       2.960142       0.000000
    819000.0       1638.0     297.982000       2.892254    1993.880400     434.608566  -21458.222656      12.498306     154.223197       1.497112  -21303.999459      12.699992  116071.444000       0.001953       2.960142       0.000000
    820000.0       1640.0     300.394000       4.129792    2169.841080     155.406602  -21459.464844      12.329716     155.471319       2.137567  -21303.993525      12.664130  116071.444000       0.001953       2.960142       0.000000
    821000.0       1642.0     301.724000       1.885721    2250.207540     406.425225  -21460.171094      12.900367     156.160277       0.975582  -21304.010817      12.681003  116071.444000       0.001953       2.960142       0.000000
    822000.0       1644.0     297.864000       1.653537    2086.249460     133.082881  -21458.141406      11.976935     154.159606       0.855855  -21303.981801      12.672685  116071.444000       0.001953       2.960142       0.000000
    823000.0       1646.0     301.064000       3.577992    2026.462720     268.732271  -21459.810156      10.927404     155.818520       1.851660  -21303.991636      12.666885  116071.444000       0.001953       2.960142       0.000000
    824000.0       1648.0     300.884000       3.357503    2196.683580     408.461863  -21459.713281      13.224536     155.724490       1.737487  -21303.988791      12.666978  116071.444000       0.001953       2.960142       0.000000
    825000.0       1650.0     300.622000       4.025724    2083.320300     449.850333  -21459.592578      12.762334     155.588637       2.082794  -21304.003941      12.688821  116071.444000       0.001953       2.960142       0.000000
    826000.0       1652.0     298.600000       4.137758    2079.231720     243.849987  -21458.524219      11.099654     154.541565       2.141717  -21303.982653      12.666728  116071.444000       0.001953       2.960142       0.000000
    827000.0       1654.0     299.942000       2.814998    2013.028080     170.228671  -21459.232813      11.563028     155.235690       1.456694  -21303.997122      12.658511  116071.444000       0.001953       2.960142       0.000000
    828000.0       1656.0     302.698000       1.268312    1883.898180     307.097823  -21460.656250      12.238599     156.662492       0.656452  -21303.993758      12.694868  116071.444000       0.001953       2.960142       0.000000
    829000.0       1658.0     301.184000       3.948724    2413.421980     286.529898  -21459.855859      11.589335     155.880220       2.043336  -21303.975639      12.664751  116071.444000       0.001953       2.960142       0.000000
    830000.0       1660.0     298.458000       3.854739    1971.120400     494.932048  -21458.458984      11.181430     154.469364       1.994960  -21303.989621      12.666817  116071.444000       0.001953       2.960142       0.000000
    831000.0       1662.0     300.208000       2.420697    2158.199720     377.805244  -21459.359766      12.543635     155.374653       1.253273  -21303.985112      12.669868  116071.444000       0.001953       2.960142       0.000000
    832000.0       1664.0     300.204000       2.417276    2039.559900     459.645581  -21459.338672      12.040237     155.372371       1.251855  -21303.966301      12.667514  116071.444000       0.001953       2.960142       0.000000
    833000.0       1666.0     302.318000       3.376047    2332.540260     637.308421  -21460.448828      11.559222     156.466699       1.748265  -21303.982129      12.670405  116071.444000       0.001953       2.960142       0.000000
    834000.0       1668.0     300.042000       1.441158    2230.763100     318.779544  -21459.284375      12.026449     155.288748       0.746821  -21303.995627      12.661316  116071.444000       0.001953       2.960142       0.000000
    835000.0       1670.0     301.582000       3.460702    2404.921880     214.629201  -21460.073437      10.962273     156.086735       1.790999  -21303.986703      12.682660  116071.444000       0.001953       2.960142       0.000000
    836000.0       1672.0     299.952000       3.303346    2364.907440     712.291015  -21459.216797      11.366234     155.241516       1.709002  -21303.975281      12.655961  116071.444000       0.001953       2.960142       0.000000
    837000.0       1674.0     298.480000       3.439640    2171.313700     310.377020  -21458.475781      11.902748     154.480901       1.780754  -21303.994880      12.675483  116071.444000       0.001953       2.960142       0.000000
    838000.0       1676.0     301.388000       3.756500    1950.346860     557.478999  -21459.984766      13.021916     155.985203       1.944409  -21303.999563      12.678461  116071.444000       0.001953       2.960142       0.000000
    839000.0       1678.0     300.254000       5.253222    2287.415760     182.995416  -21459.393359      11.834350     155.396538       2.718907  -21303.996821      12.677618  116071.444000       0.001953       2.960142       0.000000
    840000.0       1680.0     301.232000       5.189287    1977.285520     268.112299  -21459.881250      11.020262     155.904951       2.685923  -21303.976300      12.675548  116071.444000       0.001953       2.960142       0.000000
    841000.0       1682.0     299.590000       2.179587    1914.058200     317.092204  -21459.041406      13.096849     155.054542       1.127977  -21303.986864      12.681629  116071.444000       0.001953       2.960142       0.000000
    842000.0       1684.0     303.574000       2.549310    2154.784440     419.623779  -21461.122656      11.423012     157.117795       1.318821  -21304.004861      12.674011  116071.444000       0.001953       2.960142       0.000000
    843000.0       1686.0     301.242000       4.024537    2325.516260     714.374900  -21459.896094      12.417889     155.909482       2.083177  -21303.986612      12.658943  116071.444000       0.001953       2.960142       0.000000
