# Ensemble Average Results:
#      Step      Time(ps)      <Temp>      Temp_std         <P>         P_std        <PE>        PE_std        <KE>        KE_std       <Etot>      Etot_std       <Vol>       Vol_std     <Density>   Density_std
   1240000.0       2480.0     300.562000       2.975254    2047.618620     407.263077  -21463.169531      10.704416     155.558580       1.539921  -21307.610951      10.835125  116071.444000       0.001953       2.960142       0.000000
   1241000.0       2482.0     301.742000       2.007699    2049.926440     449.787788  -21463.785937      10.978408     156.168158       1.037676  -21307.617780      10.832694  116071.444000       0.001953       2.960142       0.000000
   1242000.0       2484.0     299.608000       2.072828    2269.615440     462.370097  -21462.688672      10.611396     155.064041       1.072905  -21307.624631      10.840871  116071.444000       0.001953       2.960142       0.000000
   1243000.0       2486.0     300.038000       2.335495    2365.823600     387.411004  -21462.902344      10.222610     155.287102       1.208513  -21307.615242      10.839504  116071.444000       0.001953       2.960142       0.000000
   1244000.0       2488.0     298.916000       2.134756    2239.986740     208.999631  -21462.307422      10.978405     154.703815       1.105107  -21307.603607      10.852132  116071.444000       0.001953       2.960142       0.000000
   1245000.0       2490.0     299.454000       2.803217    2131.245180     285.790166  -21462.586328      10.327756     154.984114       1.450915  -21307.602214      10.845929  116071.444000       0.001953       2.960142       0.000000
   1246000.0       2492.0     302.098000       4.165882    2004.309920     522.168746  -21463.964063      11.559012     156.354511       2.155852  -21307.609551      10.855726  116071.444000       0.001953       2.960142       0.000000
   1247000.0       2494.0     299.982000       3.174766    1712.270800     543.405588  -21462.860937      11.518322     155.257028       1.643205  -21307.603909      10.861125  116071.444000       0.001953       2.960142       0.000000
   1248000.0       2496.0     297.606000       1.361111    2340.672000     398.045812  -21461.646094      11.285510     154.027264       0.704073  -21307.618830      10.863257  116071.444000       0.001953       2.960142       0.000000
   1249000.0       2498.0     298.860000       2.247692    2230.043820     191.906206  -21462.296484      11.398198     154.678336       1.162937  -21307.618149      10.842462  116071.444000       0.001953       2.960142       0.000000
   1250000.0       2500.0     299.424000       2.681019    2015.943900     351.251110  -21462.586328      11.140507     154.968669       1.387376  -21307.617659      10.833257  116071.444000       0.001953       2.960142       0.000000
   1251000.0       2502.0     300.006000       2.787218    2476.805200     517.507993  -21462.898047       9.595462     155.270124       1.443596  -21307.627923      10.850899  116071.444000       0.001953       2.960142       0.000000
   1252000.0       2504.0     299.400000       2.480508    2291.191620     497.405873  -21462.557422      10.563714     154.956746       1.283347  -21307.600676      10.855936  116071.444000       0.001953       2.960142       0.000000
   1253000.0       2506.0     298.960000       2.174249    2344.627780     186.159052  -21462.337109      10.861562     154.729061       1.126108  -21307.608048      10.857538  116071.444000       0.001953       2.960142       0.000000
   1254000.0       2508.0     297.828000       3.513547    2042.513940     264.621046  -21461.740234       9.962664     154.143713       1.817835  -21307.596521      10.844080  116071.444000       0.001953       2.960142       0.000000
   1255000.0       2510.0     300.716000       1.895443    1760.437540     425.040495  -21463.258984      10.067196     155.638485       0.980391  -21307.620499      10.853733  116071.444000       0.001953       2.960142       0.000000
   1256000.0       2512.0     300.122000       2.599003    2350.944220     390.561889  -21462.944141      11.769161     155.328798       1.344450  -21307.615343      10.847095  116071.444000       0.001953       2.960142       0.000000
   1257000.0       2514.0     301.388000       2.021874    2158.656240     354.998118  -21463.600781      10.751813     155.986474       1.046760  -21307.614308      10.835495  116071.444000       0.001953       2.960142       0.000000
   1258000.0       2516.0     298.112000       1.556758    2023.876540     223.525138  -21461.895313      11.039882     154.289561       0.806937  -21307.605751      10.869940  116071.444000       0.001953       2.960142       0.000000
   1259000.0       2518.0     299.958000       2.184705    2228.714180     596.240378  -21462.853125      10.085419     155.245358       1.130207  -21307.607767      10.848167  116071.444000       0.001953       2.960142       0.000000
   1260000.0       2520.0     301.176000       3.014894    2402.918360     477.396360  -21463.479688      10.613503     155.874467       1.559323  -21307.605221      10.850309  116071.444000       0.001953       2.960142       0.000000
   1261000.0       2522.0     300.474000       1.501634    2194.042280     458.049792  -21463.118359      10.687643     155.511461       0.777396  -21307.606898      10.838125  116071.444000       0.001953       2.960142       0.000000
   1262000.0       2524.0     300.826000       1.233493    2102.986860     125.211940  -21463.314843      11.078211     155.694573       0.638165  -21307.620270      10.850104  116071.444000       0.001953       2.960142       0.000000
   1263000.0       2526.0     299.268000       2.684901    2231.113460     271.872893  -21462.488672       9.855539     154.888375       1.390089  -21307.600296      10.860333  116071.444000       0.001953       2.960142       0.000000
   1264000.0       2528.0     300.578000       2.210533    1758.101280     358.457439  -21463.164063      10.926386     155.564519       1.144571  -21307.599544      10.844453  116071.444000       0.001953       2.960142       0.000000
   1265000.0       2530.0     301.114000       1.079344    1918.142080     395.517816  -21463.440625      10.494669     155.843798       0.559774  -21307.596828      10.855031  116071.444000       0.001953       2.960142       0.000000
   1266000.0       2532.0     300.008000       3.154663    2170.478600     344.672673  -21462.885547      12.009906     155.270951       1.633689  -21307.614596      10.841564  116071.444000       0.001953       2.960142       0.000000
   1267000.0       2534.0     301.532000       1.937219    2093.522220     182.423039  -21463.671094      10.712600     156.058942       1.003921  -21307.612151      10.847968  116071.444000       0.001953       2.960142       0.000000
   1268000.0       2536.0     299.470000       2.992110    2158.136120     530.395644  -21462.607422      11.193941     154.992616       1.548828  -21307.614806      10.853509  116071.444000       0.001953       2.960142       0.000000
   1269000.0       2538.0     301.796000       2.403253    1821.810840     185.073863  -21463.813281      11.059819     156.197103       1.243176  -21307.616178      10.851785  116071.444000       0.001953       2.960142       0.000000
   1270000.0       2540.0     300.574000       2.412506    2184.156660     286.289398  -21463.187891      11.422937     155.565220       1.248324  -21307.622671      10.852589  116071.444000       0.001953       2.960142       0.000000
   1271000.0       2542.0     300.544000       1.020365    2249.687560     488.711605  -21463.161328      10.941356     155.548219       0.528135  -21307.613108      10.844186  116071.444000       0.001953       2.960142       0.000000
   1272000.0       2544.0     301.294000       4.005944    2255.097460     461.840970  -21463.561328      10.812597     155.936163       2.073864  -21307.625165      10.857669  116071.444000       0.001953       2.960142       0.000000
   1273000.0       2546.0     301.592000       1.023394    2149.825960     424.142957  -21463.703125      10.920268     156.090518       0.529256  -21307.612607      10.852300  116071.444000       0.001953       2.960142       0.000000
   1274000.0       2548.0     300.560000       1.908266    2178.807940     406.531288  -21463.160937      10.518076     155.556753       0.989016  -21307.604185      10.846045  116071.444000       0.001953       2.960142       0.000000
   1275000.0       2550.0     299.924000       3.066279    1964.206260     241.527190  -21462.841406      10.526334     155.227700       1.586560  -21307.613706      10.844687  116071.444000       0.001953       2.960142       0.000000
   1276000.0       2552.0     300.766000       2.618859    2370.331260     385.907423  -21463.287500      10.091141     155.663138       1.355141  -21307.624362      10.827381  116071.444000       0.001953       2.960142       0.000000
   1277000.0       2554.0     301.120000       2.166703    2282.336580     161.770149  -21463.457422      10.968512     155.846550       1.120526  -21307.610872      10.861749  116071.444000       0.001953       2.960142       0.000000
   1278000.0       2556.0     300.152000       2.503193    1773.011900     360.555841  -21462.948438      11.350089     155.345434       1.294438  -21307.603004      10.840682  116071.444000       0.001953       2.960142       0.000000
   1279000.0       2558.0     298.284000       4.022062    2161.421440     222.363076  -21461.986328       9.797275     154.379735       2.081814  -21307.606593      10.859418  116071.444000       0.001953       2.960142       0.000000
