# Hop_Value_(h)	PDF
0.00725700	0.08620448
0.01988415	0.18301477
0.03251131	0.33942504
0.04513846	0.55875859
0.05776561	0.82996519
0.07039277	1.13036858
0.08301992	1.43274413
0.09564707	1.71254370
0.10827423	1.95231867
0.12090138	2.14275400
0.13352853	2.28137150
0.14615568	2.37035817
0.15878284	2.41458708
0.17140999	2.42041012
0.18403714	2.39515671
0.19666430	2.34656964
0.20929145	2.28164267
0.22191860	2.20550111
0.23454576	2.12140350
0.24717291	2.03181699
0.25980006	1.93928916
0.27242722	1.84626986
0.28505437	1.75453894
0.29768152	1.66520910
0.31030868	1.57910297
0.32293583	1.49677669
0.33556298	1.41830281
0.34819014	1.34343189
0.36081729	1.27209465
0.37344444	1.20459597
0.38607159	1.14124437
0.39869875	1.08195462
0.41132590	1.02638716
0.42395305	0.97434937
0.43658021	0.92576807
0.44920736	0.88026347
0.46183451	0.83706300
0.47446167	0.79553489
0.48708882	0.75571473
0.49971597	0.71820628
0.51234313	0.68363292
0.52497028	0.65219485
0.53759743	0.62355978
0.55022459	0.59702270
0.56285174	0.57184272
0.57547889	0.54757162
0.58810605	0.52415321
0.60073320	0.50180379
0.61336035	0.48085199
0.62598750	0.46157475
0.63861466	0.44396089
0.65124181	0.42756843
0.66386896	0.41178270
0.67649612	0.39632191
0.68912327	0.38137369
0.70175042	0.36720394
0.71437758	0.35382602
0.72700473	0.34110010
0.73963188	0.32893292
0.75225904	0.31728035
0.76488619	0.30608901
0.77751334	0.29531466
0.79014050	0.28495964
0.80276765	0.27508075
0.81539480	0.26576251
0.82802195	0.25705356
0.84064911	0.24891631
0.85327626	0.24123771
0.86590341	0.23388230
0.87853057	0.22676294
0.89115772	0.21989593
0.90378487	0.21336221
0.91641203	0.20718017
0.92903918	0.20124180
0.94166633	0.19541218
0.95429349	0.18967397
0.96692064	0.18411307
0.97954779	0.17874730
0.99217495	0.17344974
1.00480210	0.16810709
1.01742925	0.16279134
1.03005641	0.15769033
1.04268356	0.15291388
1.05531071	0.14846295
1.06793786	0.14435960
1.08056502	0.14068791
1.09319217	0.13747174
1.10581932	0.13457159
1.11844648	0.13173344
1.13107363	0.12873092
1.14370078	0.12548740
1.15632794	0.12209957
1.16895509	0.11872404
1.18158224	0.11540952
1.19420940	0.11207534
1.20683655	0.10869572
1.21946370	0.10544641
1.23209086	0.10258018
1.24471801	0.10016796
1.25734516	0.09802761
1.26997232	0.09591749
1.28259947	0.09376170
1.29522662	0.09166958
1.30785377	0.08976706
1.32048093	0.08804498
1.33310808	0.08636134
1.34573523	0.08455534
1.35836239	0.08255553
1.37098954	0.08040835
1.38361669	0.07823210
1.39624385	0.07615032
1.40887100	0.07424270
1.42149815	0.07251305
1.43412531	0.07088505
1.44675246	0.06926063
1.45937961	0.06761761
1.47200677	0.06603549
1.48463392	0.06459427
1.49726107	0.06326205
1.50988823	0.06191634
1.52251538	0.06047415
1.53514253	0.05897657
1.54776968	0.05754327
1.56039684	0.05626082
1.57302399	0.05511935
1.58565114	0.05404485
1.59827830	0.05298823
1.61090545	0.05198171
1.62353260	0.05109694
1.63615976	0.05034558
1.64878691	0.04963812
1.66141406	0.04884984
1.67404122	0.04792262
1.68666837	0.04690192
1.69929552	0.04588095
1.71192268	0.04491161
1.72454983	0.04396779
1.73717698	0.04299389
1.74980414	0.04198390
1.76243129	0.04100236
1.77505844	0.04012424
1.78768559	0.03936286
1.80031275	0.03866287
1.81293990	0.03795620
1.82556705	0.03721068
1.83819421	0.03642631
1.85082136	0.03560560
1.86344851	0.03474045
1.87607567	0.03382661
1.88870282	0.03289287
1.90132997	0.03201037
1.91395713	0.03124937
1.92658428	0.03061426
1.93921143	0.03003600
1.95183859	0.02944103
1.96446574	0.02881881
1.97709289	0.02821754
1.98972005	0.02769269
2.00234720	0.02727083
2.01497435	0.02694456
2.02760150	0.02668218
2.04022866	0.02644320
2.05285581	0.02618889
2.06548296	0.02587734
2.07811012	0.02546082
2.09073727	0.02491560
2.10336442	0.02428074
2.11599158	0.02363857
2.12861873	0.02304924
2.14124588	0.02253456
2.15387304	0.02211596
2.16650019	0.02180479
2.17912734	0.02154357
2.19175450	0.02122225
2.20438165	0.02078638
2.21700880	0.02028915
2.22963595	0.01981484
2.24226311	0.01938932
2.25489026	0.01898809
2.26751741	0.01859712
2.28014457	0.01823000
2.29277172	0.01789542
2.30539887	0.01757659
2.31802603	0.01724639
2.33065318	0.01689167
2.34328033	0.01652966
2.35590749	0.01620537
2.36853464	0.01595260
2.38116179	0.01575107
2.39378895	0.01554212
2.40641610	0.01528586
2.41904325	0.01498259
2.43167041	0.01464794
2.44429756	0.01429337
2.45692471	0.01393045
2.46955186	0.01358025
2.48217902	0.01327066
2.49480617	0.01301479
2.50743332	0.01279177
2.52006048	0.01256537
2.53268763	0.01232408
2.54531478	0.01208934
2.55794194	0.01188773
2.57056909	0.01172663
2.58319624	0.01158963
2.59582340	0.01144697
2.60845055	0.01127864
2.62107770	0.01109148
2.63370486	0.01090677
2.64633201	0.01073502
2.65895916	0.01057394
2.67158632	0.01042241
2.68421347	0.01027823
2.69684062	0.01012529
2.70946777	0.00994048
2.72209493	0.00971802
2.73472208	0.00948096
2.74734923	0.00926764
2.75997639	0.00910506
