# Δt(fs)   hop_mean   hop_std
        10          0.86029918          0.03286164
        20          0.86029918          0.03286164
        30          0.86029918          0.03286164
        40          0.86029918          0.03286164
        50          0.86029918          0.03286164
        60          0.86029918          0.03286164
        70          0.86029918          0.03286164
        80          0.86029918          0.03286164
        90          0.86029918          0.03286164
       100          0.86029918          0.03286164
       110          0.86029918          0.03286164
       120          0.86029918          0.03286164
       130          0.86029918          0.03286164
       140          0.86029918          0.03286164
       150          0.86029918          0.03286164
       160          0.86029918          0.03286164
       170          0.86029918          0.03286164
       180          0.86029918          0.03286164
       190          0.86029918          0.03286164
       200          0.86029918          0.03286164
       210          0.86029918          0.03286164
       220          0.86029918          0.03286164
       230          0.86029918          0.03286164
       240          0.86029918          0.03286164
       250          0.86029918          0.03286164
       260          0.86029918          0.03286164
       270          0.86029918          0.03286164
       280          0.86029918          0.03286164
       290          0.86029918          0.03286164
       300          0.86029918          0.03286164
       310          0.86029918          0.03286164
       320          0.86029918          0.03286164
       330          0.86029918          0.03286164
       340          0.86029918          0.03286164
       350          0.86029918          0.03286164
       360          0.86029918          0.03286164
       370          0.86029918          0.03286164
       380          0.86029918          0.03286164
       390          0.86029918          0.03286164
       400          0.86029918          0.03286164
       410          0.86029918          0.03286164
       420          0.86029918          0.03286164
       430          0.86029918          0.03286164
       440          0.86029918          0.03286164
       450          0.86029918          0.03286164
       460          0.86029918          0.03286164
       470          0.86029918          0.03286164
       480          0.86029918          0.03286164
       490          0.86029918          0.03286164
       500          0.86029918          0.03286164
       510          0.86029918          0.03286164
       520          0.86029918          0.03286164
       530          0.86029918          0.03286164
       540          0.86029918          0.03286164
       550          0.86029918          0.03286164
       560          0.86029918          0.03286164
       570          0.86029918          0.03286164
       580          0.86029918          0.03286164
       590          0.86029918          0.03286164
       600          0.86029918          0.03286164
       610          0.86029918          0.03286164
       620          0.86029918          0.03286164
       630          0.86029918          0.03286164
       640          0.86029918          0.03286164
       650          0.86029918          0.03286164
       660          0.86029918          0.03286164
       670          0.86029918          0.03286164
       680          0.86029918          0.03286164
       690          0.86029918          0.03286164
       700          0.86029918          0.03286164
       710          0.86029918          0.03286164
       720          0.86029918          0.03286164
       730          0.86029918          0.03286164
       740          0.86029918          0.03286164
       750          0.86029918          0.03286164
       760          0.86029918          0.03286164
       770          0.86029918          0.03286164
       780          0.86029918          0.03286164
       790          0.86029918          0.03286164
       800          0.86029918          0.03286164
       810          0.86029918          0.03286164
       820          0.86029918          0.03286164
       830          0.86029918          0.03286164
       840          0.86029918          0.03286164
       850          0.86029918          0.03286164
       860          0.86029918          0.03286164
       870          0.86029918          0.03286164
       880          0.86029918          0.03286164
       890          0.86029918          0.03286164
       900          0.86029918          0.03286164
       910          0.86029918          0.03286164
       920          0.86029918          0.03286164
       930          0.86029918          0.03286164
       940          0.86029918          0.03286164
       950          0.86029918          0.03286164
       960          0.86029918          0.03286164
       970          0.86029918          0.03286164
       980          0.86029918          0.03286164
       990          0.86029918          0.03286164
      1000          0.86029918          0.03286164
      1010          0.86029918          0.03286164
      1020          0.86029918          0.03286164
      1030          0.86029918          0.03286164
      1040          0.86029918          0.03286164
      1050          0.86029918          0.03286164
      1060          0.86029918          0.03286164
      1070          0.86029918          0.03286164
      1080          0.86029918          0.03286164
      1090          0.86029918          0.03286164
      1100          0.86029918          0.03286164
      1110          0.86029918          0.03286164
      1120          0.86029918          0.03286164
      1130          0.86029918          0.03286164
      1140          0.86029918          0.03286164
      1150          0.86029918          0.03286164
      1160          0.86029918          0.03286164
      1170          0.86029918          0.03286164
      1180          0.86029918          0.03286164
      1190          0.86029918          0.03286164
      1200          0.86029918          0.03286164
      1210          0.86029918          0.03286164
      1220          0.86029918          0.03286164
      1230          0.86029918          0.03286164
      1240          0.86029918          0.03286164
      1250          0.86029918          0.03286164
      1260          0.86029918          0.03286164
      1270          0.86029918          0.03286164
      1280          0.86029918          0.03286164
      1290          0.86029918          0.03286164
      1300          0.86029918          0.03286164
      1310          0.86029918          0.03286164
      1320          0.86029918          0.03286164
      1330          0.86029918          0.03286164
      1340          0.86029918          0.03286164
      1350          0.86029918          0.03286164
      1360          0.86029918          0.03286164
      1370          0.86029918          0.03286164
      1380          0.86029918          0.03286164
      1390          0.86029918          0.03286164
      1400          0.86029918          0.03286164
      1410          0.86029918          0.03286164
      1420          0.86029918          0.03286164
      1430          0.86029918          0.03286164
      1440          0.86029918          0.03286164
      1450          0.86029918          0.03286164
      1460          0.86029918          0.03286164
      1470          0.86029918          0.03286164
      1480          0.86029918          0.03286164
      1490          0.86029918          0.03286164
      1500          0.86029918          0.03286164
      1510          0.86029918          0.03286164
      1520          0.86029918          0.03286164
      1530          0.86029918          0.03286164
      1540          0.86029918          0.03286164
      1550          0.86029918          0.03286164
      1560          0.86029918          0.03286164
      1570          0.86029918          0.03286164
      1580          0.86029918          0.03286164
      1590          0.86029918          0.03286164
      1600          0.86029918          0.03286164
      1610          0.86029918          0.03286164
