Distance_A	g(r)_avg	g(r)_std
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.000000	0.000000
0.225000	0.000000	0.000000
0.275000	0.000000	0.000000
0.325000	0.000000	0.000000
0.375000	0.000000	0.000000
0.425000	0.000000	0.000000
0.475000	0.000000	0.000000
0.525000	0.000000	0.000000
0.575000	0.000000	0.000000
0.625000	0.000000	0.000000
0.675000	0.000000	0.000000
0.725000	0.000000	0.000000
0.775000	0.000000	0.000000
0.825000	0.000000	0.000000
0.875000	0.000000	0.000000
0.925000	0.000000	0.000000
0.975000	0.000000	0.000000
1.025000	0.000000	0.000000
1.075000	0.000000	0.000000
1.125000	0.000000	0.000000
1.175000	0.000000	0.000000
1.225000	0.000000	0.000000
1.275000	0.000000	0.000000
1.325000	0.000000	0.000000
1.375000	0.000000	0.000000
1.425000	0.000000	0.000000
1.475000	0.000000	0.000000
1.525000	0.000000	0.000000
1.575000	0.000000	0.000000
1.625000	0.000000	0.000000
1.675000	0.000000	0.000000
1.725000	0.000000	0.000000
1.775000	0.000000	0.000000
1.825000	0.000000	0.000000
1.875000	0.000000	0.000000
1.925000	0.000000	0.000000
1.975000	0.000000	0.000000
2.025000	0.000000	0.000000
2.075000	0.000000	0.000000
2.125000	0.000000	0.000000
2.175000	0.000000	0.000000
2.225000	0.000000	0.000000
2.275000	0.000000	0.000000
2.325000	0.000000	0.000000
2.375000	0.000000	0.000000
2.425000	0.000000	0.000000
2.475000	0.000000	0.000000
2.525000	0.000000	0.000000
2.575000	0.000000	0.000000
2.625000	0.000000	0.000000
2.675000	0.000000	0.000000
2.725000	0.000000	0.000000
2.775000	0.000017	0.000012
2.825000	0.000167	0.000038
2.875000	0.001533	0.000236
2.925000	0.008180	0.000570
2.975000	0.035411	0.001949
3.025000	0.121763	0.004359
3.075000	0.334470	0.007455
3.125000	0.738016	0.010404
3.175000	1.349470	0.013474
3.225000	2.075193	0.022966
3.275000	2.726902	0.034298
3.325000	3.132879	0.037104
3.375000	3.186656	0.043461
3.425000	2.931949	0.033251
3.475000	2.514366	0.021882
3.525000	2.079453	0.013943
3.575000	1.720206	0.005325
3.625000	1.479105	0.006861
3.675000	1.335029	0.006425
3.725000	1.266768	0.006799
3.775000	1.240662	0.008696
3.825000	1.233572	0.005210
3.875000	1.233436	0.006054
3.925000	1.227258	0.006841
3.975000	1.214428	0.007226
4.025000	1.194830	0.007460
4.075000	1.168561	0.008431
4.125000	1.135592	0.009141
4.175000	1.103858	0.008229
4.225000	1.067321	0.011105
4.275000	1.028496	0.009557
4.325000	0.994356	0.010060
4.375000	0.958538	0.010023
4.425000	0.926368	0.009548
4.475000	0.896096	0.011648
4.525000	0.877012	0.008999
4.575000	0.896049	0.007116
4.625000	0.987009	0.005491
4.675000	1.153665	0.002373
4.725000	1.281641	0.004685
4.775000	1.255144	0.005693
4.825000	1.092785	0.005043
4.875000	0.910892	0.004350
4.925000	0.788351	0.003653
4.975000	0.728227	0.001311
5.025000	0.703718	0.002029
5.075000	0.696113	0.002381
5.125000	0.696931	0.002620
5.175000	0.699069	0.002456
5.225000	0.706241	0.002454
5.275000	0.716115	0.001837
5.325000	0.728270	0.004119
5.375000	0.740394	0.002864
5.425000	0.755516	0.002300
5.475000	0.769900	0.002605
5.525000	0.785296	0.003318
5.575000	0.801723	0.002146
5.625000	0.817012	0.003441
5.675000	0.835393	0.003273
5.725000	0.850319	0.001953
5.775000	0.866515	0.002831
5.825000	0.886127	0.003371
5.875000	0.903414	0.003347
5.925000	0.920922	0.004124
5.975000	0.935905	0.004690
6.025000	0.950069	0.002455
6.075000	0.959338	0.004181
6.125000	0.970115	0.002822
6.175000	0.980211	0.003820
6.225000	0.992209	0.004273
6.275000	1.005395	0.002865
6.325000	1.023535	0.004700
6.375000	1.043891	0.003738
6.425000	1.066124	0.004756
6.475000	1.093466	0.007002
6.525000	1.121403	0.006266
6.575000	1.145601	0.007041
6.625000	1.167367	0.007295
6.675000	1.186351	0.008257
6.725000	1.199666	0.007203
6.775000	1.208694	0.006495
6.825000	1.211836	0.005420
6.875000	1.210200	0.006136
6.925000	1.205192	0.004774
6.975000	1.194831	0.004149
7.025000	1.182238	0.004321
7.075000	1.165849	0.003482
7.125000	1.149167	0.003812
7.175000	1.130320	0.003669
7.225000	1.110157	0.003557
7.275000	1.090820	0.003200
7.325000	1.072703	0.002404
7.375000	1.052654	0.002840
7.425000	1.036225	0.002509
7.475000	1.019696	0.002118
7.525000	1.005797	0.001979
7.575000	0.991429	0.002221
7.625000	0.978778	0.002491
7.675000	0.969386	0.002371
7.725000	0.962946	0.002082
7.775000	0.956368	0.003438
7.825000	0.951991	0.002832
7.875000	0.948627	0.002730
7.925000	0.947194	0.003451
7.975000	0.945918	0.002267
8.025000	0.944819	0.002322
8.075000	0.943560	0.003413
8.125000	0.944038	0.003191
8.175000	0.943517	0.003444
8.225000	0.944364	0.002476
8.275000	0.944440	0.002705
8.325000	0.946786	0.002990
8.375000	0.946289	0.002852
8.425000	0.947211	0.002494
8.475000	0.948936	0.002465
8.525000	0.952127	0.002148
8.575000	0.955540	0.002091
8.625000	0.958216	0.002271
8.675000	0.959914	0.002126
8.725000	0.961963	0.001346
8.775000	0.962571	0.001018
8.825000	0.963832	0.003074
8.875000	0.963761	0.002150
8.925000	0.965960	0.001786
8.975000	0.968652	0.001115
9.025000	0.971883	0.002170
9.075000	0.976165	0.002177
9.125000	0.980466	0.002269
9.175000	0.984769	0.002012
9.225000	0.989187	0.002789
9.275000	0.994260	0.003717
9.325000	0.999518	0.003175
9.375000	1.003097	0.002629
9.425000	1.008180	0.003154
9.475000	1.012573	0.002883
9.525000	1.017805	0.002990
9.575000	1.020708	0.003630
9.625000	1.024126	0.003806
9.675000	1.026848	0.004111
9.725000	1.030071	0.002900
9.775000	1.032637	0.003997
9.825000	1.033717	0.003057
9.875000	1.035085	0.002435
9.925000	1.035557	0.002791
9.975000	1.036240	0.002097
10.025000	1.036211	0.003121
10.075000	1.035416	0.001837
10.125000	1.033163	0.002289
10.175000	1.031755	0.002013
10.225000	1.030897	0.001961
10.275000	1.028542	0.001613
10.325000	1.025890	0.002327
10.375000	1.022737	0.002244
10.425000	1.020864	0.001669
10.475000	1.017724	0.001902
10.525000	1.015159	0.001982
10.575000	1.012046	0.001480
10.625000	1.008894	0.001915
10.675000	1.006855	0.001325
10.725000	1.003809	0.001599
10.775000	1.001470	0.000636
10.825000	0.998226	0.001796
10.875000	0.996589	0.001352
10.925000	0.994254	0.001435
10.975000	0.991834	0.001933
11.025000	0.989712	0.001378
11.075000	0.987980	0.001488
11.125000	0.986602	0.002090
11.175000	0.985026	0.001763
11.225000	0.983049	0.000339
11.275000	0.982442	0.002053
11.325000	0.981498	0.001321
11.375000	0.980413	0.001189
11.425000	0.980183	0.001669
11.475000	0.979294	0.001229
11.525000	0.978995	0.001905
11.575000	0.979219	0.001510
11.625000	0.979466	0.001202
11.675000	0.980710	0.001179
11.725000	0.981099	0.001635
11.775000	0.982278	0.000780
11.825000	0.984196	0.000921
11.875000	0.985206	0.001456
11.925000	0.986501	0.000980
11.975000	0.988021	0.001994
12.025000	0.989526	0.001384
12.075000	0.991031	0.001208
12.125000	0.992715	0.001946
12.175000	0.994692	0.001643
12.225000	0.996138	0.001780
12.275000	0.998419	0.001665
12.325000	0.998958	0.001004
12.375000	1.001046	0.000949
12.425000	1.002106	0.001283
12.475000	1.003269	0.001318
12.525000	1.004519	0.000849
12.575000	1.005669	0.001361
12.625000	1.006767	0.001210
12.675000	1.007189	0.001519
12.725000	1.008848	0.000996
12.775000	1.008708	0.001590
12.825000	1.009843	0.001761
12.875000	1.010031	0.001599
12.925000	1.010946	0.001467
12.975000	1.011366	0.002262
13.025000	1.011304	0.002738
13.075000	1.011316	0.002268
13.125000	1.011948	0.002892
13.175000	1.010890	0.001975
13.225000	1.011266	0.001497
13.275000	1.011359	0.002110
13.325000	1.010746	0.001971
13.375000	1.010426	0.002027
13.425000	1.010033	0.001744
13.475000	1.009762	0.001646
13.525000	1.008755	0.001635
13.575000	1.008067	0.001919
13.625000	1.007188	0.001234
13.675000	1.006502	0.001463
13.725000	1.005351	0.001514
13.775000	1.005024	0.002015
13.825000	1.004637	0.001882
13.875000	1.002735	0.001670
13.925000	1.002272	0.001862
13.975000	1.001007	0.001981
14.025000	1.000649	0.001994
14.075000	1.000399	0.002049
14.125000	0.999066	0.001952
14.175000	0.999003	0.001830
14.225000	0.998313	0.001216
14.275000	0.997071	0.001409
14.325000	0.997101	0.001301
14.375000	0.996900	0.001478
14.425000	0.996492	0.001718
14.475000	0.996256	0.001187
14.525000	0.995744	0.000937
14.575000	0.995864	0.001187
14.625000	0.995592	0.001008
14.675000	0.995530	0.000672
14.725000	0.995562	0.000920
14.775000	0.995535	0.000527
14.825000	0.995551	0.001126
14.875000	0.996221	0.000273
14.925000	0.995784	0.000880
14.975000	0.995734	0.000808
15.025000	0.995623	0.001004
15.075000	0.995793	0.000653
15.125000	0.996523	0.001139
15.175000	0.996077	0.000703
15.225000	0.996235	0.001200
15.275000	0.996624	0.001076
15.325000	0.996893	0.000892
15.375000	0.997329	0.000676
15.425000	0.997473	0.001391
15.475000	0.998319	0.001580
15.525000	0.998832	0.000709
15.575000	0.998911	0.001139
15.625000	0.999620	0.000879
15.675000	1.000383	0.001363
15.725000	1.000197	0.001363
15.775000	1.001040	0.001082
15.825000	1.000963	0.000806
15.875000	1.001381	0.000652
15.925000	1.001414	0.001291
15.975000	1.002413	0.001321
16.025000	1.001937	0.001314
16.075000	1.002645	0.000939
16.125000	1.002398	0.000631
16.175000	1.002646	0.001002
16.225000	1.002271	0.000892
16.275000	1.002726	0.000718
16.325000	1.002712	0.000641
16.375000	1.003206	0.000731
16.425000	1.002745	0.001108
16.475000	1.002701	0.000928
16.525000	1.002476	0.000899
16.575000	1.002302	0.001136
16.625000	1.002541	0.000675
16.675000	1.001731	0.000859
16.725000	1.001991	0.001039
16.775000	1.001238	0.001146
16.825000	1.001224	0.001107
16.875000	1.001084	0.001440
16.925000	1.001594	0.000914
16.975000	1.001306	0.000838
17.025000	1.001082	0.000318
17.075000	1.001078	0.000776
17.125000	1.000248	0.000731
17.175000	1.000394	0.000944
17.225000	1.000229	0.000775
17.275000	1.000171	0.000715
17.325000	0.999673	0.001417
17.375000	0.999730	0.000781
17.425000	0.999335	0.000854
17.475000	1.000276	0.000749
17.525000	0.999276	0.000409
17.575000	0.999183	0.001098
17.625000	0.999300	0.001389
17.675000	0.999247	0.001090
17.725000	0.998722	0.001033
17.775000	0.998983	0.000878
17.825000	0.998848	0.001068
17.875000	0.998974	0.001000
17.925000	0.998610	0.000570
17.975000	0.998519	0.000740
18.025000	0.999028	0.000572
18.075000	0.998670	0.000508
18.125000	0.998771	0.000735
18.175000	0.998614	0.000544
18.225000	0.998744	0.001176
18.275000	0.998813	0.000573
18.325000	0.999094	0.000736
18.375000	0.998922	0.001150
18.425000	0.998954	0.001192
18.475000	0.999153	0.001449
18.525000	0.999029	0.001259
18.575000	0.999452	0.001521
18.625000	0.999472	0.001220
18.675000	0.999084	0.001179
18.725000	0.999769	0.001416
18.775000	0.999657	0.002057
18.825000	0.999668	0.001290
18.875000	1.000145	0.001748
18.925000	0.999507	0.001688
18.975000	1.000041	0.001357
19.025000	1.000231	0.001456
19.075000	1.000628	0.001460
19.125000	1.000337	0.001423
19.175000	1.000974	0.001236
19.225000	1.000846	0.001189
19.275000	1.001116	0.000534
19.325000	1.001220	0.001174
19.375000	1.001366	0.001100
19.425000	1.001068	0.001169
19.475000	1.001808	0.001353
19.525000	1.002008	0.000823
19.575000	1.001874	0.001317
19.625000	1.001558	0.001078
19.675000	1.001599	0.000535
19.725000	1.001683	0.000807
19.775000	1.001979	0.001271
19.825000	1.001631	0.000620
19.875000	1.001843	0.000679
19.925000	1.001516	0.001130
19.975000	1.001625	0.000897
