Distance_A	g(r)_avg	g(r)_std
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.000000	0.000000
0.225000	0.000000	0.000000
0.275000	0.000000	0.000000
0.325000	0.000000	0.000000
0.375000	0.000000	0.000000
0.425000	0.000000	0.000000
0.475000	0.000000	0.000000
0.525000	0.000000	0.000000
0.575000	0.000000	0.000000
0.625000	0.000000	0.000000
0.675000	0.000000	0.000000
0.725000	0.000000	0.000000
0.775000	0.000000	0.000000
0.825000	0.000000	0.000000
0.875000	0.000000	0.000000
0.925000	0.000000	0.000000
0.975000	0.000000	0.000000
1.025000	0.000000	0.000000
1.075000	0.000000	0.000000
1.125000	0.000000	0.000000
1.175000	0.000000	0.000000
1.225000	0.000000	0.000000
1.275000	0.000000	0.000000
1.325000	0.000000	0.000000
1.375000	0.000000	0.000000
1.425000	0.000000	0.000000
1.475000	0.000000	0.000000
1.525000	0.000000	0.000000
1.575000	0.000000	0.000000
1.625000	0.000000	0.000000
1.675000	0.000000	0.000000
1.725000	0.000000	0.000000
1.775000	0.000000	0.000000
1.825000	0.000000	0.000000
1.875000	0.000000	0.000000
1.925000	0.000000	0.000000
1.975000	0.000000	0.000000
2.025000	0.000000	0.000000
2.075000	0.000000	0.000000
2.125000	0.000000	0.000000
2.175000	0.000000	0.000000
2.225000	0.000000	0.000000
2.275000	0.000058	0.000037
2.325000	0.001524	0.000104
2.375000	0.014821	0.000670
2.425000	0.082066	0.003598
2.475000	0.303391	0.007575
2.525000	0.791699	0.017136
2.575000	1.579698	0.017653
2.625000	2.546614	0.023383
2.675000	3.443076	0.026545
2.725000	4.081645	0.036731
2.775000	4.349719	0.041092
2.825000	4.299185	0.036194
2.875000	4.041098	0.031338
2.925000	3.644613	0.033779
2.975000	3.212500	0.022375
3.025000	2.784959	0.012188
3.075000	2.396576	0.008778
3.125000	2.061210	0.013545
3.175000	1.773535	0.012720
3.225000	1.535442	0.012946
3.275000	1.342776	0.010762
3.325000	1.178637	0.010177
3.375000	1.043032	0.016376
3.425000	0.923480	0.012998
3.475000	0.827421	0.009575
3.525000	0.745488	0.009988
3.575000	0.679364	0.009263
3.625000	0.624060	0.007672
3.675000	0.581727	0.007472
3.725000	0.554233	0.007888
3.775000	0.533281	0.005632
3.825000	0.523335	0.006104
3.875000	0.523745	0.005785
3.925000	0.524625	0.006022
3.975000	0.526819	0.005167
4.025000	0.535558	0.005302
4.075000	0.545211	0.005704
4.125000	0.555561	0.004255
4.175000	0.565212	0.003171
4.225000	0.577014	0.005968
4.275000	0.591843	0.006134
4.325000	0.603270	0.004519
4.375000	0.617542	0.003678
4.425000	0.635623	0.004068
4.475000	0.655752	0.004520
4.525000	0.675313	0.006927
4.575000	0.698555	0.006226
4.625000	0.722400	0.007640
4.675000	0.747565	0.008000
4.725000	0.770041	0.005536
4.775000	0.792573	0.005426
4.825000	0.808491	0.006341
4.875000	0.815885	0.005956
4.925000	0.830762	0.005170
4.975000	0.854791	0.002245
5.025000	0.879380	0.005822
5.075000	0.907349	0.003546
5.125000	0.930657	0.002722
5.175000	0.955885	0.003637
5.225000	0.978767	0.004005
5.275000	1.003146	0.007167
5.325000	1.026281	0.005664
5.375000	1.048549	0.007342
5.425000	1.067809	0.007189
5.475000	1.089554	0.004155
5.525000	1.112270	0.004550
5.575000	1.138189	0.006180
5.625000	1.170753	0.007931
5.675000	1.205525	0.007359
5.725000	1.239084	0.007890
5.775000	1.272952	0.004990
5.825000	1.297279	0.006852
5.875000	1.312807	0.008034
5.925000	1.317086	0.005965
5.975000	1.311683	0.004248
6.025000	1.293301	0.007902
6.075000	1.269988	0.006440
6.125000	1.240550	0.006216
6.175000	1.211431	0.004079
6.225000	1.177071	0.007331
6.275000	1.148998	0.006967
6.325000	1.117874	0.004928
6.375000	1.089661	0.006800
6.425000	1.068661	0.005565
6.475000	1.044697	0.005932
6.525000	1.026978	0.005764
6.575000	1.012609	0.007428
6.625000	0.998419	0.006334
6.675000	0.984382	0.005023
6.725000	0.972709	0.006624
6.775000	0.961382	0.006822
6.825000	0.950125	0.006358
6.875000	0.939541	0.006020
6.925000	0.928418	0.005278
6.975000	0.919828	0.004047
7.025000	0.910921	0.003149
7.075000	0.904287	0.003789
7.125000	0.897825	0.003446
7.175000	0.889769	0.004404
7.225000	0.885862	0.004476
7.275000	0.881314	0.002787
7.325000	0.879081	0.003888
7.375000	0.877428	0.002543
7.425000	0.876962	0.002771
7.475000	0.876900	0.001301
7.525000	0.876977	0.002384
7.575000	0.880577	0.001798
7.625000	0.882968	0.002476
7.675000	0.888161	0.001688
7.725000	0.892424	0.003339
7.775000	0.902079	0.003155
7.825000	0.907059	0.003112
7.875000	0.915678	0.002825
7.925000	0.923098	0.002905
7.975000	0.932082	0.004537
8.025000	0.940878	0.003696
8.075000	0.949546	0.003319
8.125000	0.958128	0.004514
8.175000	0.969314	0.002255
8.225000	0.976401	0.003385
8.275000	0.986356	0.002505
8.325000	0.995493	0.003373
8.375000	1.003215	0.002543
8.425000	1.009619	0.003171
8.475000	1.015357	0.002738
8.525000	1.021067	0.001502
8.575000	1.029358	0.003414
8.625000	1.034388	0.002429
8.675000	1.037085	0.002696
8.725000	1.041538	0.002314
8.775000	1.046032	0.003602
8.825000	1.049184	0.004117
8.875000	1.051860	0.003624
8.925000	1.055364	0.002909
8.975000	1.057563	0.002916
9.025000	1.060014	0.003525
9.075000	1.063018	0.004964
9.125000	1.062909	0.003566
9.175000	1.063850	0.004686
9.225000	1.063938	0.004605
9.275000	1.063359	0.005318
9.325000	1.060394	0.004037
9.375000	1.057901	0.004448
9.425000	1.055146	0.003420
9.475000	1.052100	0.003573
9.525000	1.046699	0.004490
9.575000	1.043277	0.003401
9.625000	1.036322	0.004233
9.675000	1.031044	0.002750
9.725000	1.025006	0.003862
9.775000	1.017594	0.003493
9.825000	1.012445	0.003510
9.875000	1.007308	0.004214
9.925000	0.999711	0.003956
9.975000	0.995929	0.002649
10.025000	0.990070	0.004735
10.075000	0.984878	0.005048
10.125000	0.979117	0.002843
10.175000	0.976235	0.003478
10.225000	0.973055	0.003511
10.275000	0.968235	0.002822
10.325000	0.967414	0.003149
10.375000	0.965586	0.003004
10.425000	0.962930	0.002302
10.475000	0.962564	0.002044
10.525000	0.962549	0.002237
10.575000	0.962930	0.002809
10.625000	0.962291	0.002426
10.675000	0.962713	0.001897
10.725000	0.964104	0.001356
10.775000	0.965764	0.002175
10.825000	0.967482	0.002392
10.875000	0.969146	0.003221
10.925000	0.971216	0.002379
10.975000	0.973119	0.002139
11.025000	0.974345	0.002085
11.075000	0.977313	0.001970
11.125000	0.980885	0.002430
11.175000	0.983217	0.002608
11.225000	0.985495	0.001798
11.275000	0.988389	0.002301
11.325000	0.991998	0.002658
11.375000	0.993770	0.002048
11.425000	0.996673	0.002975
11.475000	0.999383	0.002419
11.525000	1.002714	0.002751
11.575000	1.005217	0.002491
11.625000	1.007453	0.002807
11.675000	1.010393	0.002437
11.725000	1.012005	0.001508
11.775000	1.014395	0.002138
11.825000	1.015564	0.001971
11.875000	1.016880	0.002269
11.925000	1.018701	0.002045
11.975000	1.019079	0.001125
12.025000	1.020166	0.001741
12.075000	1.020481	0.002233
12.125000	1.021250	0.002319
12.175000	1.019949	0.001559
12.225000	1.019881	0.001667
12.275000	1.020455	0.001758
12.325000	1.020110	0.001086
12.375000	1.018702	0.001596
12.425000	1.018003	0.002622
12.475000	1.016475	0.001511
12.525000	1.015371	0.001425
12.575000	1.014671	0.001719
12.625000	1.012759	0.000949
12.675000	1.010813	0.001764
12.725000	1.009585	0.001347
12.775000	1.009035	0.001899
12.825000	1.006398	0.000904
12.875000	1.004589	0.001585
12.925000	1.003747	0.001540
12.975000	1.002036	0.002002
13.025000	1.000188	0.001598
13.075000	0.998736	0.002152
13.125000	0.997157	0.001847
13.175000	0.996363	0.002428
13.225000	0.995215	0.001842
13.275000	0.993412	0.002570
13.325000	0.992795	0.002209
13.375000	0.991809	0.002899
13.425000	0.990570	0.002834
13.475000	0.990221	0.002713
13.525000	0.989484	0.001732
13.575000	0.989462	0.002274
13.625000	0.989285	0.002139
13.675000	0.988702	0.002287
13.725000	0.988711	0.001617
13.775000	0.988838	0.002712
13.825000	0.988027	0.001699
13.875000	0.988485	0.002376
13.925000	0.988778	0.001603
13.975000	0.989075	0.002318
14.025000	0.989220	0.002264
14.075000	0.990186	0.002368
14.125000	0.990456	0.001797
14.175000	0.991693	0.002494
14.225000	0.991488	0.002566
14.275000	0.992786	0.001547
14.325000	0.993659	0.002484
14.375000	0.995005	0.002179
14.425000	0.995405	0.002141
14.475000	0.996173	0.002758
14.525000	0.996956	0.002653
14.575000	0.998073	0.002544
14.625000	0.998778	0.002712
14.675000	0.998803	0.002972
14.725000	0.999322	0.002430
14.775000	1.000260	0.001419
14.825000	1.000792	0.002145
14.875000	1.001755	0.001710
14.925000	1.002719	0.001786
14.975000	1.003643	0.001516
15.025000	1.003506	0.001231
15.075000	1.004408	0.001473
15.125000	1.003310	0.001305
15.175000	1.005202	0.000523
15.225000	1.005574	0.001667
15.275000	1.005117	0.001670
15.325000	1.005556	0.001152
15.375000	1.005611	0.002411
15.425000	1.005791	0.001011
15.475000	1.005376	0.001501
15.525000	1.005081	0.001367
15.575000	1.005211	0.001627
15.625000	1.005471	0.001551
15.675000	1.005007	0.000593
15.725000	1.004052	0.001364
15.775000	1.003459	0.001670
15.825000	1.004378	0.001826
15.875000	1.003145	0.000742
15.925000	1.002927	0.001608
15.975000	1.002130	0.001299
16.025000	1.002390	0.000969
16.075000	1.001390	0.001398
16.125000	1.001142	0.002000
16.175000	1.000963	0.000868
16.225000	1.000586	0.001046
16.275000	0.999848	0.000837
16.325000	0.998726	0.001667
16.375000	0.998997	0.001415
16.425000	0.998829	0.001876
16.475000	0.998535	0.001474
16.525000	0.998149	0.000712
16.575000	0.997878	0.001398
16.625000	0.997284	0.000869
16.675000	0.997416	0.001341
16.725000	0.996800	0.002158
16.775000	0.998101	0.001286
16.825000	0.997013	0.001755
16.875000	0.996761	0.001218
16.925000	0.997498	0.001273
16.975000	0.997427	0.001212
17.025000	0.996642	0.001464
17.075000	0.997058	0.002153
17.125000	0.997291	0.001103
17.175000	0.996633	0.001682
17.225000	0.996310	0.001547
17.275000	0.996782	0.002022
17.325000	0.997021	0.001456
17.375000	0.997453	0.001537
17.425000	0.997946	0.001022
17.475000	0.997675	0.001749
17.525000	0.997669	0.001278
17.575000	0.997627	0.001409
17.625000	0.998030	0.001291
17.675000	0.998057	0.001420
17.725000	0.999096	0.001189
17.775000	0.998249	0.001212
17.825000	0.998803	0.001004
17.875000	0.998386	0.001004
17.925000	0.999098	0.001546
17.975000	0.999414	0.000729
18.025000	1.000230	0.000526
18.075000	1.000483	0.000603
18.125000	1.000091	0.001121
18.175000	1.000944	0.000414
18.225000	1.000560	0.001634
18.275000	1.000481	0.001192
18.325000	1.000915	0.001313
18.375000	1.000524	0.000563
18.425000	1.001786	0.001233
18.475000	1.001237	0.001288
18.525000	1.001590	0.001103
18.575000	1.001492	0.001767
18.625000	1.001359	0.001421
18.675000	1.002330	0.001589
18.725000	1.001698	0.001267
18.775000	1.001463	0.001618
18.825000	1.001492	0.002262
18.875000	1.001067	0.001583
18.925000	1.001793	0.002307
18.975000	1.000562	0.001413
19.025000	1.000746	0.001483
19.075000	1.000745	0.001930
19.125000	1.000298	0.001364
19.175000	1.000352	0.001385
19.225000	0.999960	0.001814
19.275000	1.000332	0.001408
19.325000	0.999640	0.001897
19.375000	0.999379	0.001489
19.425000	0.999177	0.001496
19.475000	0.998911	0.001708
19.525000	0.999464	0.001405
19.575000	0.998909	0.002301
19.625000	0.999272	0.001363
19.675000	0.998341	0.001447
19.725000	0.998833	0.001407
19.775000	0.998307	0.001546
19.825000	0.998585	0.001499
19.875000	0.998574	0.001676
19.925000	0.998587	0.000965
19.975000	0.997989	0.000980
