Distance_A	g(r)_avg	g(r)_std
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.000000	0.000000
0.225000	0.000000	0.000000
0.275000	0.000000	0.000000
0.325000	0.000000	0.000000
0.375000	0.000000	0.000000
0.425000	0.000000	0.000000
0.475000	0.000000	0.000000
0.525000	0.000000	0.000000
0.575000	0.000000	0.000000
0.625000	0.000000	0.000000
0.675000	0.000000	0.000000
0.725000	0.000000	0.000000
0.775000	0.000000	0.000000
0.825000	0.000000	0.000000
0.875000	0.000000	0.000000
0.925000	0.000000	0.000000
0.975000	0.000000	0.000000
1.025000	0.000000	0.000000
1.075000	0.000000	0.000000
1.125000	0.000000	0.000000
1.175000	0.000000	0.000000
1.225000	0.000000	0.000000
1.275000	0.000000	0.000000
1.325000	0.000000	0.000000
1.375000	0.000000	0.000000
1.425000	0.000000	0.000000
1.475000	0.000000	0.000000
1.525000	0.000000	0.000000
1.575000	0.000000	0.000000
1.625000	0.000000	0.000000
1.675000	0.000000	0.000000
1.725000	0.000000	0.000000
1.775000	0.000000	0.000000
1.825000	0.000000	0.000000
1.875000	0.000000	0.000000
1.925000	0.000000	0.000000
1.975000	0.000000	0.000000
2.025000	0.000000	0.000000
2.075000	0.000000	0.000000
2.125000	0.000000	0.000000
2.175000	0.000000	0.000000
2.225000	0.000000	0.000000
2.275000	0.000000	0.000000
2.325000	0.000000	0.000000
2.375000	0.000000	0.000000
2.425000	0.000000	0.000000
2.475000	0.000000	0.000000
2.525000	0.000000	0.000000
2.575000	0.000000	0.000000
2.625000	0.000000	0.000000
2.675000	0.000000	0.000000
2.725000	0.000041	0.000081
2.775000	0.000039	0.000078
2.825000	0.000264	0.000092
2.875000	0.000510	0.000268
2.925000	0.000775	0.000411
2.975000	0.001736	0.000312
3.025000	0.003885	0.001463
3.075000	0.007742	0.002206
3.125000	0.015146	0.002919
3.175000	0.026567	0.004084
3.225000	0.045011	0.007129
3.275000	0.071200	0.009273
3.325000	0.108776	0.015507
3.375000	0.158339	0.021916
3.425000	0.224987	0.025356
3.475000	0.309316	0.030271
3.525000	0.404369	0.036726
3.575000	0.518015	0.047938
3.625000	0.642383	0.055094
3.675000	0.776945	0.061797
3.725000	0.920231	0.075810
3.775000	1.043907	0.069663
3.825000	1.170934	0.074622
3.875000	1.294991	0.074756
3.925000	1.410314	0.068976
3.975000	1.524972	0.067951
4.025000	1.625258	0.065497
4.075000	1.707367	0.073312
4.125000	1.778898	0.069648
4.175000	1.839465	0.061826
4.225000	1.897578	0.058438
4.275000	1.930792	0.054949
4.325000	1.959862	0.063516
4.375000	1.961468	0.054939
4.425000	1.967671	0.048361
4.475000	1.951340	0.044288
4.525000	1.935512	0.045331
4.575000	1.911097	0.032536
4.625000	1.875915	0.028057
4.675000	1.827127	0.021805
4.725000	1.776734	0.017451
4.775000	1.746617	0.020807
4.825000	1.721812	0.016123
4.875000	1.681261	0.018497
4.925000	1.628370	0.010525
4.975000	1.550319	0.023542
5.025000	1.482361	0.024912
5.075000	1.416944	0.024865
5.125000	1.360516	0.019479
5.175000	1.292699	0.023577
5.225000	1.245930	0.023534
5.275000	1.198237	0.041020
5.325000	1.157068	0.032657
5.375000	1.112096	0.033367
5.425000	1.073819	0.030583
5.475000	1.031573	0.032478
5.525000	0.994779	0.032016
5.575000	0.949246	0.029770
5.625000	0.922334	0.028423
5.675000	0.884134	0.029808
5.725000	0.849870	0.023151
5.775000	0.820900	0.023102
5.825000	0.791712	0.026122
5.875000	0.770500	0.022159
5.925000	0.745863	0.020253
5.975000	0.728175	0.022049
6.025000	0.707492	0.016762
6.075000	0.696947	0.020902
6.125000	0.689397	0.022694
6.175000	0.677733	0.018329
6.225000	0.671771	0.015842
6.275000	0.667818	0.014285
6.325000	0.666157	0.015185
6.375000	0.671456	0.015572
6.425000	0.670008	0.017447
6.475000	0.680933	0.020550
6.525000	0.688191	0.020231
6.575000	0.700760	0.016310
6.625000	0.710320	0.020030
6.675000	0.728886	0.017997
6.725000	0.745965	0.020081
6.775000	0.759311	0.018430
6.825000	0.781482	0.019476
6.875000	0.804083	0.018757
6.925000	0.828201	0.020289
6.975000	0.851622	0.020575
7.025000	0.871889	0.022280
7.075000	0.898518	0.024120
7.125000	0.917367	0.026400
7.175000	0.945056	0.027792
7.225000	0.963635	0.032621
7.275000	0.982970	0.032866
7.325000	1.003767	0.030184
7.375000	1.019984	0.026445
7.425000	1.039582	0.027530
7.475000	1.058346	0.028269
7.525000	1.068540	0.028825
7.575000	1.085303	0.029089
7.625000	1.094931	0.028864
7.675000	1.102231	0.032827
7.725000	1.110176	0.025736
7.775000	1.115349	0.028925
7.825000	1.125755	0.021451
7.875000	1.123742	0.024006
7.925000	1.125004	0.025514
7.975000	1.121016	0.025456
8.025000	1.124689	0.022260
8.075000	1.119328	0.020734
8.125000	1.115921	0.016633
8.175000	1.109466	0.016930
8.225000	1.100262	0.011416
8.275000	1.096896	0.016407
8.325000	1.093844	0.008075
8.375000	1.080212	0.009948
8.425000	1.073014	0.013743
8.475000	1.061414	0.008418
8.525000	1.052420	0.011087
8.575000	1.045238	0.009296
8.625000	1.033122	0.010545
8.675000	1.025034	0.010021
8.725000	1.012429	0.012329
8.775000	1.001273	0.013034
8.825000	0.989185	0.007965
8.875000	0.976748	0.012891
8.925000	0.968281	0.012337
8.975000	0.957811	0.008312
9.025000	0.952302	0.007052
9.075000	0.946750	0.010169
9.125000	0.939254	0.010542
9.175000	0.926035	0.008068
9.225000	0.925837	0.013026
9.275000	0.921352	0.008178
9.325000	0.911532	0.011303
9.375000	0.915844	0.007321
9.425000	0.912196	0.008530
9.475000	0.908688	0.006259
9.525000	0.906929	0.011121
9.575000	0.908681	0.008327
9.625000	0.911433	0.015017
9.675000	0.910942	0.009054
9.725000	0.914165	0.014035
9.775000	0.913012	0.010342
9.825000	0.918167	0.013556
9.875000	0.923416	0.011988
9.925000	0.925185	0.011043
9.975000	0.933772	0.010818
10.025000	0.935877	0.011682
10.075000	0.943320	0.011078
10.125000	0.942008	0.012165
10.175000	0.953185	0.012955
10.225000	0.959024	0.012046
10.275000	0.964494	0.013810
10.325000	0.969732	0.014728
10.375000	0.978507	0.011784
10.425000	0.981212	0.010779
10.475000	0.988074	0.012674
10.525000	0.994544	0.010930
10.575000	0.998033	0.010337
10.625000	1.005385	0.009556
10.675000	1.009472	0.010194
10.725000	1.015759	0.009960
10.775000	1.019662	0.009840
10.825000	1.022605	0.010926
10.875000	1.026853	0.009994
10.925000	1.030437	0.006754
10.975000	1.033872	0.010870
11.025000	1.035141	0.005595
11.075000	1.037415	0.009878
11.125000	1.036645	0.009108
11.175000	1.040221	0.008033
11.225000	1.039438	0.010203
11.275000	1.039169	0.006123
11.325000	1.042866	0.006407
11.375000	1.038312	0.010561
11.425000	1.035433	0.006900
11.475000	1.038322	0.010617
11.525000	1.035599	0.009626
11.575000	1.037019	0.007220
11.625000	1.032061	0.005206
11.675000	1.030277	0.008711
11.725000	1.025709	0.005935
11.775000	1.025969	0.007860
11.825000	1.018731	0.010037
11.875000	1.021217	0.011056
11.925000	1.015650	0.008676
11.975000	1.015446	0.010818
12.025000	1.009328	0.008923
12.075000	1.009974	0.007907
12.125000	1.004047	0.009460
12.175000	1.001895	0.009124
12.225000	0.997436	0.006257
12.275000	0.994187	0.006230
12.325000	0.992949	0.004944
12.375000	0.988052	0.007123
12.425000	0.988828	0.009221
12.475000	0.986423	0.008003
12.525000	0.981375	0.006153
12.575000	0.980429	0.006546
12.625000	0.983289	0.006767
12.675000	0.980467	0.007428
12.725000	0.976971	0.004257
12.775000	0.975430	0.007974
12.825000	0.978167	0.006874
12.875000	0.976887	0.005829
12.925000	0.976326	0.006149
12.975000	0.978640	0.005894
13.025000	0.976766	0.006316
13.075000	0.980539	0.006999
13.125000	0.979750	0.004524
13.175000	0.981436	0.009174
13.225000	0.982972	0.007961
13.275000	0.987482	0.006605
13.325000	0.986187	0.005753
13.375000	0.988364	0.007351
13.425000	0.990045	0.007457
13.475000	0.993464	0.007126
13.525000	0.995875	0.006783
13.575000	0.997313	0.005522
13.625000	1.000391	0.006645
13.675000	1.001361	0.005407
13.725000	1.004552	0.007865
13.775000	1.007700	0.004240
13.825000	1.008855	0.006756
13.875000	1.009440	0.006772
13.925000	1.012812	0.005864
13.975000	1.014888	0.004949
14.025000	1.016091	0.004770
14.075000	1.018297	0.005314
14.125000	1.018955	0.005788
14.175000	1.021456	0.005796
14.225000	1.020484	0.006664
14.275000	1.022394	0.007133
14.325000	1.022156	0.005936
14.375000	1.022571	0.004164
14.425000	1.021487	0.008002
14.475000	1.023602	0.006534
14.525000	1.020150	0.005002
14.575000	1.023128	0.007070
14.625000	1.018826	0.006000
14.675000	1.021651	0.005185
14.725000	1.021354	0.006747
14.775000	1.019740	0.004554
14.825000	1.019713	0.006702
14.875000	1.014153	0.008138
14.925000	1.014041	0.006452
14.975000	1.014292	0.007373
15.025000	1.011261	0.005648
15.075000	1.012751	0.006267
15.125000	1.011074	0.007677
15.175000	1.007764	0.006431
15.225000	1.005868	0.005616
15.275000	1.004936	0.006710
15.325000	1.003787	0.005912
15.375000	1.005033	0.006526
15.425000	1.001842	0.007568
15.475000	1.002385	0.005309
15.525000	0.998440	0.007058
15.575000	0.999060	0.004181
15.625000	0.999419	0.005402
15.675000	0.997947	0.006527
15.725000	0.996584	0.004076
15.775000	0.995307	0.006604
15.825000	0.994078	0.005353
15.875000	0.996407	0.004850
15.925000	0.995883	0.005535
15.975000	0.993363	0.006207
16.025000	0.993537	0.003731
16.075000	0.993903	0.004204
16.125000	0.995659	0.006720
16.175000	0.993067	0.006357
16.225000	0.994593	0.004947
16.275000	0.994941	0.007208
16.325000	0.994970	0.006265
16.375000	0.997283	0.004392
16.425000	0.995091	0.005411
16.475000	0.993948	0.006582
16.525000	0.997536	0.004387
16.575000	0.994737	0.006057
16.625000	0.997192	0.006401
16.675000	0.998505	0.006271
16.725000	0.996297	0.005596
16.775000	0.997096	0.006110
16.825000	0.996441	0.005843
16.875000	1.001092	0.005228
16.925000	0.998911	0.004444
16.975000	0.999273	0.005978
17.025000	0.999835	0.006420
17.075000	1.000448	0.003435
17.125000	1.001697	0.005593
17.175000	1.002062	0.005030
17.225000	1.002881	0.006223
17.275000	1.003154	0.005997
17.325000	1.001776	0.004964
17.375000	1.002933	0.007065
17.425000	1.001652	0.006564
17.475000	1.004255	0.006913
17.525000	1.003958	0.004126
17.575000	1.004479	0.005331
17.625000	1.003565	0.005046
17.675000	1.005085	0.005228
17.725000	1.004473	0.005432
17.775000	1.005737	0.004137
17.825000	1.005396	0.006094
17.875000	1.005376	0.006610
17.925000	1.004736	0.003762
17.975000	1.005757	0.002831
18.025000	1.004259	0.005560
18.075000	1.004376	0.004147
18.125000	1.003462	0.003303
18.175000	1.003244	0.003383
18.225000	1.003103	0.003561
18.275000	1.002660	0.005205
18.325000	1.003479	0.005062
18.375000	1.004292	0.004431
18.425000	1.001627	0.004466
18.475000	1.003109	0.003063
18.525000	1.001933	0.003849
18.575000	1.003671	0.003790
18.625000	1.001439	0.002506
18.675000	1.001663	0.003596
18.725000	1.002229	0.004718
18.775000	1.002169	0.006496
18.825000	1.000648	0.003944
18.875000	1.000852	0.004451
18.925000	0.999753	0.004912
18.975000	1.001571	0.004284
19.025000	1.002028	0.003410
19.075000	0.998872	0.004881
19.125000	0.999707	0.003075
19.175000	1.000117	0.004232
19.225000	0.999134	0.004183
19.275000	0.999005	0.004625
19.325000	0.999031	0.003276
19.375000	0.999604	0.004072
19.425000	0.997405	0.004407
19.475000	0.999041	0.004744
19.525000	0.997523	0.002303
19.575000	0.997577	0.004251
19.625000	0.996711	0.003672
19.675000	0.998173	0.003321
19.725000	0.997831	0.004536
19.775000	0.996948	0.002852
19.825000	0.997599	0.003324
19.875000	0.997554	0.003741
19.925000	0.998314	0.004067
19.975000	0.996293	0.003132
