Distance_A	g(r)_avg	g(r)_std
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.000000	0.000000
0.225000	0.000000	0.000000
0.275000	0.000000	0.000000
0.325000	0.000000	0.000000
0.375000	0.000000	0.000000
0.425000	0.000000	0.000000
0.475000	0.000000	0.000000
0.525000	0.000000	0.000000
0.575000	0.000000	0.000000
0.625000	0.000000	0.000000
0.675000	0.000000	0.000000
0.725000	0.000000	0.000000
0.775000	0.000000	0.000000
0.825000	0.000000	0.000000
0.875000	0.000000	0.000000
0.925000	0.000000	0.000000
0.975000	0.000000	0.000000
1.025000	0.000000	0.000000
1.075000	0.000000	0.000000
1.125000	0.000000	0.000000
1.175000	0.000000	0.000000
1.225000	0.000000	0.000000
1.275000	0.000000	0.000000
1.325000	0.000000	0.000000
1.375000	0.000000	0.000000
1.425000	0.000000	0.000000
1.475000	0.000000	0.000000
1.525000	0.000000	0.000000
1.575000	0.000000	0.000000
1.625000	0.000000	0.000000
1.675000	0.000000	0.000000
1.725000	0.000000	0.000000
1.775000	0.000000	0.000000
1.825000	0.000000	0.000000
1.875000	0.000000	0.000000
1.925000	0.000000	0.000000
1.975000	0.000000	0.000000
2.025000	0.000000	0.000000
2.075000	0.000000	0.000000
2.125000	0.000000	0.000000
2.175000	0.000000	0.000000
2.225000	0.000000	0.000000
2.275000	0.000873	0.000319
2.325000	0.020842	0.006751
2.375000	0.165986	0.048866
2.425000	0.620455	0.152300
2.475000	1.216214	0.231304
2.525000	1.666109	0.193089
2.575000	2.506276	0.170041
2.625000	4.708181	0.383875
2.675000	7.879569	0.545772
2.725000	11.169787	0.609295
2.775000	13.513045	0.587045
2.825000	14.163631	0.441858
2.875000	13.070025	0.455043
2.925000	10.633826	0.403023
2.975000	7.839842	0.309048
3.025000	5.353314	0.228987
3.075000	3.489592	0.142859
3.125000	2.270182	0.107712
3.175000	1.524616	0.096152
3.225000	1.073046	0.102106
3.275000	0.806035	0.092982
3.325000	0.657860	0.085978
3.375000	0.569300	0.075324
3.425000	0.526734	0.064073
3.475000	0.502455	0.053666
3.525000	0.496861	0.051825
3.575000	0.521268	0.053979
3.625000	0.558821	0.061152
3.675000	0.611684	0.064204
3.725000	0.706467	0.056863
3.775000	0.873270	0.078585
3.825000	1.288216	0.086169
3.875000	2.142028	0.100685
3.925000	3.097483	0.137495
3.975000	3.255588	0.128585
4.025000	2.496378	0.132847
4.075000	1.615717	0.098742
4.125000	1.054755	0.065116
4.175000	0.819432	0.064094
4.225000	0.755767	0.063196
4.275000	0.740846	0.054562
4.325000	0.752031	0.065087
4.375000	0.767662	0.062742
4.425000	0.789459	0.072240
4.475000	0.818581	0.080561
4.525000	0.842639	0.093504
4.575000	0.877691	0.105434
4.625000	0.904939	0.107898
4.675000	0.927850	0.112190
4.725000	0.949796	0.113170
4.775000	0.967837	0.112833
4.825000	0.979559	0.108154
4.875000	1.002160	0.106162
4.925000	1.014592	0.109189
4.975000	1.029635	0.098861
5.025000	1.068541	0.100436
5.075000	1.116249	0.109282
5.125000	1.185011	0.105266
5.175000	1.282901	0.117614
5.225000	1.381546	0.122523
5.275000	1.492553	0.136366
5.325000	1.588192	0.119302
5.375000	1.642399	0.109837
5.425000	1.673639	0.106012
5.475000	1.643663	0.096056
5.525000	1.586395	0.087736
5.575000	1.511805	0.079062
5.625000	1.425437	0.081624
5.675000	1.328890	0.067846
5.725000	1.247975	0.066935
5.775000	1.158649	0.059183
5.825000	1.097736	0.048990
5.875000	1.035953	0.041890
5.925000	0.998274	0.051126
5.975000	0.975054	0.052350
6.025000	0.963536	0.041448
6.075000	0.974637	0.042729
6.125000	0.986469	0.041626
6.175000	1.008276	0.043127
6.225000	1.033549	0.045746
6.275000	1.057073	0.039811
6.325000	1.077754	0.043584
6.375000	1.098681	0.046108
6.425000	1.111101	0.043638
6.475000	1.109406	0.040775
6.525000	1.104448	0.041012
6.575000	1.078551	0.038722
6.625000	1.052606	0.035946
6.675000	1.021007	0.038838
6.725000	0.990441	0.031963
6.775000	0.961411	0.045625
6.825000	0.935004	0.048206
6.875000	0.907183	0.051595
6.925000	0.891749	0.057048
6.975000	0.874576	0.057194
7.025000	0.868172	0.058079
7.075000	0.867710	0.060977
7.125000	0.874712	0.060535
7.175000	0.877012	0.062126
7.225000	0.888831	0.057954
7.275000	0.904466	0.060404
7.325000	0.915691	0.053875
7.375000	0.933481	0.048705
7.425000	0.950104	0.050503
7.475000	0.965526	0.042231
7.525000	0.981077	0.044010
7.575000	1.001643	0.040005
7.625000	1.020898	0.039399
7.675000	1.037680	0.041184
7.725000	1.055130	0.034585
7.775000	1.070941	0.041248
7.825000	1.081564	0.038453
7.875000	1.078657	0.038956
7.925000	1.070658	0.040516
7.975000	1.072267	0.039517
8.025000	1.070141	0.041605
8.075000	1.068748	0.036259
8.125000	1.080477	0.041988
8.175000	1.082569	0.038176
8.225000	1.099340	0.040597
8.275000	1.108238	0.035824
8.325000	1.118555	0.040186
8.375000	1.128011	0.036897
8.425000	1.140271	0.037871
8.475000	1.143634	0.034035
8.525000	1.151925	0.036186
8.575000	1.158184	0.034818
8.625000	1.162196	0.027726
8.675000	1.167964	0.030626
8.725000	1.172444	0.030118
8.775000	1.177078	0.034153
8.825000	1.182210	0.036965
8.875000	1.182263	0.037714
8.925000	1.181674	0.035016
8.975000	1.186840	0.038436
9.025000	1.191025	0.039057
9.075000	1.186086	0.040758
9.125000	1.183142	0.038042
9.175000	1.175045	0.035060
9.225000	1.166257	0.027206
9.275000	1.159471	0.028704
9.325000	1.148799	0.027530
9.375000	1.136814	0.026873
9.425000	1.126016	0.026442
9.475000	1.115938	0.027576
9.525000	1.100640	0.028846
9.575000	1.088222	0.031503
9.625000	1.076380	0.031498
9.675000	1.060600	0.028230
9.725000	1.051608	0.032981
9.775000	1.040799	0.028937
9.825000	1.027427	0.026198
9.875000	1.018699	0.024004
9.925000	1.010406	0.020393
9.975000	1.004625	0.022986
10.025000	0.998052	0.023087
10.075000	0.993352	0.019410
10.125000	0.992370	0.016846
10.175000	0.995496	0.017508
10.225000	0.988787	0.017018
10.275000	0.986457	0.018494
10.325000	0.985266	0.019811
10.375000	0.987370	0.022686
10.425000	0.983912	0.025643
10.475000	0.980046	0.028005
10.525000	0.980120	0.032430
10.575000	0.972660	0.032598
10.625000	0.977523	0.033985
10.675000	0.977326	0.037199
10.725000	0.977231	0.039846
10.775000	0.982648	0.042620
10.825000	0.978193	0.042313
10.875000	0.982228	0.039883
10.925000	0.985439	0.043016
10.975000	0.983746	0.041272
11.025000	0.984440	0.040998
11.075000	0.987095	0.043508
11.125000	0.985111	0.041409
11.175000	0.986971	0.037638
11.225000	0.983991	0.037450
11.275000	0.983191	0.036904
11.325000	0.983238	0.033654
11.375000	0.982278	0.031641
11.425000	0.982928	0.030345
11.475000	0.979529	0.029587
11.525000	0.979109	0.029466
11.575000	0.974594	0.031604
11.625000	0.975707	0.030214
11.675000	0.973983	0.030198
11.725000	0.972964	0.030855
11.775000	0.972569	0.030925
11.825000	0.967975	0.031664
11.875000	0.967892	0.030695
11.925000	0.967964	0.035563
11.975000	0.963355	0.034152
12.025000	0.963363	0.031724
12.075000	0.963288	0.036091
12.125000	0.964359	0.032565
12.175000	0.960873	0.033481
12.225000	0.962253	0.032507
12.275000	0.961692	0.031024
12.325000	0.963208	0.031842
12.375000	0.962313	0.030714
12.425000	0.961821	0.030101
12.475000	0.959181	0.026120
12.525000	0.959802	0.027481
12.575000	0.959768	0.023792
12.625000	0.960237	0.023786
12.675000	0.961590	0.022499
12.725000	0.960007	0.023060
12.775000	0.956160	0.023777
12.825000	0.957223	0.024081
12.875000	0.957089	0.026272
12.925000	0.958057	0.026378
12.975000	0.957995	0.026468
13.025000	0.956193	0.025894
13.075000	0.955295	0.028311
13.125000	0.955154	0.029600
13.175000	0.956887	0.026050
13.225000	0.957361	0.029043
13.275000	0.954790	0.027056
13.325000	0.954605	0.030344
13.375000	0.955105	0.029178
13.425000	0.954912	0.029095
13.475000	0.956652	0.030242
13.525000	0.959897	0.032319
13.575000	0.960266	0.031959
13.625000	0.962872	0.031027
13.675000	0.960598	0.030390
13.725000	0.962698	0.031730
13.775000	0.965999	0.032290
13.825000	0.969079	0.029929
13.875000	0.970853	0.032982
13.925000	0.971161	0.032479
13.975000	0.971530	0.031465
14.025000	0.972196	0.031716
14.075000	0.971767	0.028482
14.125000	0.974706	0.029739
14.175000	0.973016	0.030215
14.225000	0.976342	0.027723
14.275000	0.976121	0.025800
14.325000	0.976390	0.023728
14.375000	0.977784	0.024312
14.425000	0.977741	0.024824
14.475000	0.979958	0.023261
14.525000	0.982743	0.021983
14.575000	0.984437	0.021837
14.625000	0.985402	0.021598
14.675000	0.986345	0.021517
14.725000	0.989111	0.019537
14.775000	0.991249	0.017856
14.825000	0.993300	0.018525
14.875000	0.994461	0.020513
14.925000	0.993873	0.022487
14.975000	0.996796	0.022592
15.025000	0.996918	0.022697
15.075000	0.998933	0.024491
15.125000	0.997061	0.025553
15.175000	0.997511	0.025080
15.225000	1.000635	0.024778
15.275000	0.999354	0.023588
15.325000	0.999114	0.024826
15.375000	1.000163	0.024340
15.425000	0.999226	0.025083
15.475000	0.999104	0.023581
15.525000	1.000127	0.025381
15.575000	0.997756	0.023802
15.625000	0.997508	0.023134
15.675000	0.997939	0.021543
15.725000	0.996509	0.023081
15.775000	0.993108	0.021794
15.825000	0.992237	0.018957
15.875000	0.991087	0.023065
15.925000	0.990836	0.021450
15.975000	0.988596	0.023638
16.025000	0.986748	0.021668
16.075000	0.985740	0.021167
16.125000	0.985618	0.023583
16.175000	0.983997	0.022121
16.225000	0.983996	0.020269
16.275000	0.983423	0.019269
16.325000	0.981333	0.020430
16.375000	0.981561	0.018429
16.425000	0.980291	0.017695
16.475000	0.981636	0.015600
16.525000	0.980940	0.016720
16.575000	0.980778	0.018624
16.625000	0.979527	0.016352
16.675000	0.979430	0.017332
16.725000	0.981196	0.016899
16.775000	0.980294	0.017148
16.825000	0.981426	0.019188
16.875000	0.980904	0.017824
16.925000	0.981134	0.018218
16.975000	0.980716	0.019750
17.025000	0.981844	0.020493
17.075000	0.982736	0.020033
17.125000	0.982324	0.021034
17.175000	0.982731	0.021318
17.225000	0.984493	0.022444
17.275000	0.983365	0.020276
17.325000	0.983188	0.022268
17.375000	0.985612	0.022858
17.425000	0.982977	0.019388
17.475000	0.984501	0.021759
17.525000	0.985153	0.021358
17.575000	0.986244	0.021771
17.625000	0.986859	0.021867
17.675000	0.986140	0.019619
17.725000	0.985573	0.019786
17.775000	0.985337	0.018833
17.825000	0.987895	0.019109
17.875000	0.987719	0.016393
17.925000	0.988496	0.016993
17.975000	0.987072	0.014855
18.025000	0.987103	0.017735
18.075000	0.987586	0.014827
18.125000	0.988667	0.016352
18.175000	0.987626	0.013884
18.225000	0.989796	0.014301
18.275000	0.988251	0.014235
18.325000	0.989426	0.013658
18.375000	0.989224	0.013971
18.425000	0.987861	0.013830
18.475000	0.987113	0.013219
18.525000	0.988711	0.012282
18.575000	0.989439	0.011642
18.625000	0.988823	0.012602
18.675000	0.987162	0.010005
18.725000	0.988254	0.012153
18.775000	0.987453	0.011877
18.825000	0.987796	0.010676
18.875000	0.988854	0.010167
18.925000	0.989156	0.014040
18.975000	0.989631	0.012959
19.025000	0.989557	0.013017
19.075000	0.987771	0.013369
19.125000	0.989137	0.013803
19.175000	0.990331	0.014113
19.225000	0.990258	0.013991
19.275000	0.990629	0.017469
19.325000	0.991434	0.016348
19.375000	0.991628	0.016461
19.425000	0.991322	0.015785
19.475000	0.991604	0.019300
19.525000	0.993426	0.017429
19.575000	0.994063	0.017910
19.625000	0.995164	0.016568
19.675000	0.996103	0.016848
19.725000	0.994800	0.015119
19.775000	0.995576	0.015966
19.825000	0.995827	0.014111
19.875000	0.999266	0.013639
19.925000	0.996621	0.012908
19.975000	0.997686	0.010596
