Distance_A	g(r)_avg	g(r)_std
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.000000	0.000000
0.225000	0.000000	0.000000
0.275000	0.000000	0.000000
0.325000	0.000000	0.000000
0.375000	0.000000	0.000000
0.425000	0.000000	0.000000
0.475000	0.000000	0.000000
0.525000	0.000000	0.000000
0.575000	0.000000	0.000000
0.625000	0.000000	0.000000
0.675000	0.000000	0.000000
0.725000	0.000000	0.000000
0.775000	0.000000	0.000000
0.825000	0.000000	0.000000
0.875000	0.000000	0.000000
0.925000	0.000000	0.000000
0.975000	0.000000	0.000000
1.025000	0.000000	0.000000
1.075000	0.000000	0.000000
1.125000	0.000000	0.000000
1.175000	0.000000	0.000000
1.225000	0.000000	0.000000
1.275000	0.000000	0.000000
1.325000	0.000000	0.000000
1.375000	0.000000	0.000000
1.425000	0.000000	0.000000
1.475000	0.000000	0.000000
1.525000	0.000000	0.000000
1.575000	0.000000	0.000000
1.625000	0.000000	0.000000
1.675000	0.000000	0.000000
1.725000	0.000000	0.000000
1.775000	0.000000	0.000000
1.825000	0.000000	0.000000
1.875000	0.000000	0.000000
1.925000	0.000000	0.000000
1.975000	0.000000	0.000000
2.025000	0.000000	0.000000
2.075000	0.000000	0.000000
2.125000	0.000641	0.000125
2.175000	0.061521	0.005772
2.225000	1.073636	0.055374
2.275000	5.242732	0.141837
2.325000	10.577127	0.092493
2.375000	12.294524	0.070396
2.425000	10.110181	0.136989
2.475000	6.613245	0.112000
2.525000	3.798364	0.055502
2.575000	2.045705	0.025751
2.625000	1.095111	0.021670
2.675000	0.632850	0.024118
2.725000	0.405532	0.025695
2.775000	0.283099	0.022480
2.825000	0.207191	0.017532
2.875000	0.157594	0.017024
2.925000	0.117101	0.012438
2.975000	0.089225	0.010986
3.025000	0.067034	0.009164
3.075000	0.051986	0.007445
3.125000	0.041417	0.005752
3.175000	0.033590	0.004430
3.225000	0.027860	0.003765
3.275000	0.024084	0.003003
3.325000	0.020930	0.002331
3.375000	0.019017	0.001514
3.425000	0.018055	0.000764
3.475000	0.017527	0.001518
3.525000	0.018041	0.001011
3.575000	0.020047	0.000676
3.625000	0.022766	0.000829
3.675000	0.028288	0.000932
3.725000	0.036489	0.001873
3.775000	0.050177	0.001798
3.825000	0.071183	0.004049
3.875000	0.103619	0.006628
3.925000	0.147304	0.013181
3.975000	0.199635	0.019885
4.025000	0.262969	0.022043
4.075000	0.336377	0.023588
4.125000	0.421569	0.021477
4.175000	0.520998	0.020634
4.225000	0.632597	0.022376
4.275000	0.751645	0.023396
4.325000	0.872387	0.024761
4.375000	0.987309	0.024390
4.425000	1.087528	0.023578
4.475000	1.165257	0.019604
4.525000	1.230137	0.018381
4.575000	1.264574	0.018984
4.625000	1.278412	0.022502
4.675000	1.272630	0.018235
4.725000	1.251775	0.017737
4.775000	1.222211	0.018404
4.825000	1.184756	0.016452
4.875000	1.148597	0.013426
4.925000	1.114964	0.007499
4.975000	1.091295	0.008084
5.025000	1.073898	0.013967
5.075000	1.063695	0.022572
5.125000	1.060942	0.030412
5.175000	1.061987	0.032354
5.225000	1.059068	0.025354
5.275000	1.062478	0.018336
5.325000	1.070063	0.013320
5.375000	1.082026	0.008318
5.425000	1.093824	0.006724
5.475000	1.110452	0.003141
5.525000	1.124727	0.004549
5.575000	1.136131	0.003590
5.625000	1.149326	0.006055
5.675000	1.156782	0.005580
5.725000	1.164609	0.008051
5.775000	1.163689	0.007683
5.825000	1.165425	0.008691
5.875000	1.168129	0.006834
5.925000	1.167854	0.006820
5.975000	1.171299	0.006631
6.025000	1.174673	0.008564
6.075000	1.184420	0.008861
6.125000	1.195949	0.011987
6.175000	1.202345	0.014683
6.225000	1.188406	0.014362
6.275000	1.149244	0.011001
6.325000	1.091999	0.006431
6.375000	1.030846	0.004362
6.425000	0.978949	0.006487
6.475000	0.938603	0.008802
6.525000	0.905298	0.012101
6.575000	0.882634	0.011258
6.625000	0.863572	0.011510
6.675000	0.852283	0.010633
6.725000	0.843059	0.008893
6.775000	0.836437	0.008853
6.825000	0.834978	0.007777
6.875000	0.835880	0.006646
6.925000	0.836409	0.005660
6.975000	0.839789	0.005279
7.025000	0.845355	0.004372
7.075000	0.854858	0.005392
7.125000	0.860164	0.004135
7.175000	0.871670	0.003879
7.225000	0.882707	0.004268
7.275000	0.892036	0.004154
7.325000	0.904396	0.001976
7.375000	0.916287	0.002969
7.425000	0.927473	0.003343
7.475000	0.939626	0.003943
7.525000	0.953107	0.005240
7.575000	0.965073	0.004999
7.625000	0.980284	0.007701
7.675000	0.992629	0.009541
7.725000	1.006633	0.007334
7.775000	1.021333	0.008198
7.825000	1.036524	0.008626
7.875000	1.049380	0.008770
7.925000	1.062441	0.007820
7.975000	1.078234	0.007391
8.025000	1.089586	0.006034
8.075000	1.100078	0.005776
8.125000	1.108952	0.004140
8.175000	1.115241	0.004316
8.225000	1.121402	0.003630
8.275000	1.123531	0.003778
8.325000	1.125092	0.004210
8.375000	1.126625	0.004242
8.425000	1.123689	0.004505
8.475000	1.121340	0.004050
8.525000	1.116315	0.005353
8.575000	1.109466	0.006132
8.625000	1.103738	0.004317
8.675000	1.096478	0.005603
8.725000	1.087954	0.006444
8.775000	1.077733	0.004230
8.825000	1.067714	0.003333
8.875000	1.057771	0.003861
8.925000	1.047755	0.001734
8.975000	1.039959	0.001925
9.025000	1.030153	0.002605
9.075000	1.019350	0.002693
9.125000	1.010679	0.001387
9.175000	1.002149	0.001850
9.225000	0.996194	0.003876
9.275000	0.988478	0.002066
9.325000	0.984036	0.002729
9.375000	0.976950	0.003031
9.425000	0.974110	0.003953
9.475000	0.968546	0.003542
9.525000	0.965291	0.004342
9.575000	0.962920	0.003819
9.625000	0.959711	0.004325
9.675000	0.958896	0.004562
9.725000	0.954561	0.004931
9.775000	0.954560	0.003936
9.825000	0.952952	0.005771
9.875000	0.952338	0.003804
9.925000	0.951723	0.004494
9.975000	0.951362	0.005155
10.025000	0.950384	0.003393
10.075000	0.949317	0.002732
10.125000	0.947793	0.003017
10.175000	0.946098	0.002686
10.225000	0.945211	0.002603
10.275000	0.943612	0.003686
10.325000	0.944038	0.002599
10.375000	0.945419	0.001848
10.425000	0.947538	0.002431
10.475000	0.948291	0.002241
10.525000	0.951401	0.001615
10.575000	0.954708	0.001071
10.625000	0.958364	0.002028
10.675000	0.962171	0.001259
10.725000	0.965278	0.001831
10.775000	0.970192	0.001928
10.825000	0.974007	0.002154
10.875000	0.978140	0.002382
10.925000	0.982340	0.003079
10.975000	0.984237	0.002039
11.025000	0.990040	0.001500
11.075000	0.992656	0.002031
11.125000	0.995294	0.002615
11.175000	0.999179	0.002613
11.225000	1.002350	0.003620
11.275000	1.004529	0.004529
11.325000	1.007430	0.003272
11.375000	1.010024	0.003110
11.425000	1.011065	0.002488
11.475000	1.013375	0.003344
11.525000	1.014486	0.002757
11.575000	1.015246	0.002257
11.625000	1.016899	0.002604
11.675000	1.017706	0.002153
11.725000	1.018121	0.002260
11.775000	1.019112	0.002344
11.825000	1.019132	0.001568
11.875000	1.018538	0.001276
11.925000	1.018604	0.001952
11.975000	1.018478	0.002625
12.025000	1.018463	0.001701
12.075000	1.018171	0.001483
12.125000	1.017672	0.000219
12.175000	1.016127	0.001482
12.225000	1.015458	0.001415
12.275000	1.014262	0.001833
12.325000	1.013111	0.000933
12.375000	1.011934	0.001285
12.425000	1.011220	0.002332
12.475000	1.009708	0.001410
12.525000	1.009091	0.001939
12.575000	1.006985	0.002527
12.625000	1.005853	0.001833
12.675000	1.004270	0.001963
12.725000	1.001497	0.002600
12.775000	1.001999	0.003507
12.825000	1.001234	0.002744
12.875000	0.998711	0.003165
12.925000	0.998704	0.003039
12.975000	0.997380	0.003146
13.025000	0.997515	0.002892
13.075000	0.996249	0.004022
13.125000	0.996368	0.002942
13.175000	0.995802	0.003737
13.225000	0.995482	0.003643
13.275000	0.994709	0.003094
13.325000	0.996206	0.003547
13.375000	0.995786	0.003470
13.425000	0.996028	0.003233
13.475000	0.996004	0.003278
13.525000	0.995920	0.003834
13.575000	0.997012	0.002735
13.625000	0.996859	0.002734
13.675000	0.997530	0.003295
13.725000	0.997996	0.002615
13.775000	0.998644	0.001962
13.825000	0.999462	0.001831
13.875000	0.998795	0.001152
13.925000	1.000442	0.001526
13.975000	1.001050	0.002106
14.025000	1.002076	0.002111
14.075000	1.001817	0.002365
14.125000	1.003808	0.002171
14.175000	1.004933	0.001470
14.225000	1.004587	0.003081
14.275000	1.006419	0.002006
14.325000	1.006249	0.002114
14.375000	1.007205	0.001833
14.425000	1.008235	0.002085
14.475000	1.008641	0.001159
14.525000	1.010579	0.001612
14.575000	1.010769	0.001778
14.625000	1.010232	0.001450
14.675000	1.010807	0.001880
14.725000	1.011107	0.003071
14.775000	1.011612	0.002892
14.825000	1.010832	0.002392
14.875000	1.010182	0.001965
14.925000	1.010406	0.002511
14.975000	1.009695	0.003000
15.025000	1.009493	0.002394
15.075000	1.009284	0.002399
15.125000	1.008487	0.001806
15.175000	1.007936	0.001857
15.225000	1.007492	0.001582
15.275000	1.006748	0.002043
15.325000	1.005869	0.002666
15.375000	1.004678	0.001187
15.425000	1.004072	0.002306
15.475000	1.002613	0.001966
15.525000	1.002125	0.001127
15.575000	1.001504	0.001289
15.625000	1.001084	0.001859
15.675000	1.000536	0.001162
15.725000	0.999439	0.001285
15.775000	0.999113	0.001775
15.825000	0.998640	0.001546
15.875000	0.997497	0.002371
15.925000	0.997191	0.003055
15.975000	0.997048	0.003050
16.025000	0.996543	0.004199
16.075000	0.996530	0.003637
16.125000	0.995675	0.002778
16.175000	0.995691	0.003244
16.225000	0.995521	0.003253
16.275000	0.995501	0.002776
16.325000	0.995062	0.002320
16.375000	0.994811	0.002110
16.425000	0.995026	0.002767
16.475000	0.994611	0.001888
16.525000	0.994214	0.001991
16.575000	0.994516	0.001108
16.625000	0.994565	0.001564
16.675000	0.994555	0.001867
16.725000	0.994991	0.001446
16.775000	0.994576	0.002068
16.825000	0.995258	0.001696
16.875000	0.995577	0.002473
16.925000	0.995491	0.001735
16.975000	0.996017	0.002375
17.025000	0.995957	0.002345
17.075000	0.996381	0.002146
17.125000	0.996531	0.002427
17.175000	0.997490	0.002695
17.225000	0.997708	0.002363
17.275000	0.998609	0.003374
17.325000	0.998868	0.003001
17.375000	0.998631	0.003598
17.425000	0.998963	0.003121
17.475000	0.999900	0.003087
17.525000	0.999659	0.002557
17.575000	0.999910	0.002466
17.625000	1.000015	0.002290
17.675000	1.000357	0.002300
17.725000	1.000841	0.002211
17.775000	1.001304	0.002582
17.825000	1.001763	0.001322
17.875000	1.001471	0.002076
17.925000	1.002412	0.002068
17.975000	1.001597	0.001930
18.025000	1.001729	0.001850
18.075000	1.001886	0.001576
18.125000	1.002544	0.002044
18.175000	1.001988	0.001381
18.225000	1.002311	0.001635
18.275000	1.001613	0.001535
18.325000	1.001758	0.002185
18.375000	1.001625	0.002072
18.425000	1.001165	0.002096
18.475000	1.001460	0.002336
18.525000	1.000970	0.001904
18.575000	1.001007	0.001620
18.625000	1.000815	0.001679
18.675000	1.000974	0.001324
18.725000	1.000509	0.001915
18.775000	1.000846	0.001893
18.825000	1.000305	0.002040
18.875000	0.999911	0.001890
18.925000	0.999761	0.001228
18.975000	0.999532	0.001370
19.025000	0.999774	0.001577
19.075000	0.999587	0.001289
19.125000	0.999487	0.001779
19.175000	1.000334	0.001158
19.225000	0.999974	0.001114
19.275000	0.999679	0.001702
19.325000	0.999752	0.001838
19.375000	0.999785	0.001778
19.425000	1.000366	0.002202
19.475000	1.000082	0.002056
19.525000	1.000486	0.002339
19.575000	1.000450	0.002345
19.625000	1.000191	0.002252
19.675000	1.000952	0.002241
19.725000	1.001505	0.001400
19.775000	1.001562	0.002321
19.825000	1.001510	0.002274
19.875000	1.001110	0.001852
19.925000	1.001375	0.002651
19.975000	1.001485	0.001580
