# Timestep	Num_Clusters	Max_Cluster_Size
0	13	3420
1	10	3423
2	11	3421
3	9	3424
4	14	3418
5	9	3423
6	11	3421
7	14	3419
8	10	3423
9	6	3427
10	9	3424
11	8	3425
12	11	3422
13	9	3424
14	7	3426
15	9	3424
16	8	3425
17	10	3423
18	7	3426
19	6	3427
20	9	3424
21	9	3424
22	13	3418
23	14	3419
24	12	3421
25	8	3425
26	10	3423
27	9	3424
28	13	3420
29	7	3426
30	11	3422
31	12	3421
32	9	3424
33	13	3420
34	7	3425
35	7	3426
36	6	3427
37	10	3423
38	9	3424
39	10	3423
40	11	3422
41	9	3423
42	12	3420
43	10	3423
44	14	3418
45	10	3423
46	7	3426
47	14	3419
48	9	3424
49	9	3424
50	11	3422
51	10	3423
52	8	3425
53	17	3415
54	10	3422
55	12	3421
56	9	3424
57	17	3416
58	10	3423
59	8	3425
60	12	3421
61	8	3425
62	8	3425
63	8	3425
64	8	3420
65	9	3424
66	13	3420
67	10	3423
68	9	3424
69	9	3424
70	5	3428
71	15	3418
72	16	3416
73	14	3418
74	16	3417
75	11	3422
76	9	3424
77	7	3426
78	11	3421
79	12	3421
80	11	3422
81	15	3418
82	8	3425
83	5	3428
84	5	3428
85	11	3422
86	8	3424
87	6	3427
88	13	3419
89	8	3425
90	9	3424
91	8	3424
92	8	3425
93	7	3425
94	11	3422
95	8	3425
96	14	3419
97	10	3423
98	9	3423
99	7	3426
100	4	3429
101	11	3422
102	11	3421
103	8	3425
104	11	3422
105	11	3422
106	13	3420
107	14	3419
108	6	3426
109	9	3424
110	10	3423
111	6	3427
112	6	3427
113	10	3423
114	8	3425
115	12	3421
116	12	3421
117	7	3426
118	11	3422
119	13	3414
120	9	3424
121	10	3422
122	7	3425
123	12	3416
124	12	3420
125	12	3421
126	7	3425
127	13	3420
128	11	3421
129	8	3425
130	15	3418
131	12	3421
132	15	3418
133	7	3426
134	8	3425
135	10	3423
136	12	3421
137	7	3425
138	10	3423
139	10	3418
140	7	3425
141	11	3422
142	4	3429
143	6	3427
144	11	3416
145	12	3421
146	7	3426
147	9	3424
148	11	3422
149	6	3427
150	11	3421
151	10	3423
152	7	3426
153	10	3423
154	7	3424
155	7	3426
156	7	3426
157	9	3424
158	9	3424
159	9	3424
160	4	3424
161	12	3421
162	9	3424
163	7	3426
164	9	3423
165	9	3422
166	9	3423
167	10	3418
168	6	3427
169	6	3427
170	6	3427
171	5	3423
172	8	3425
173	6	3427
174	9	3424
175	10	3423
176	12	3420
177	9	3423
178	9	3424
179	10	3421
180	5	3428
181	9	3424
182	5	3428
183	2	3431
184	9	3419
185	8	3425
186	10	3423
187	6	3427
188	11	3422
189	7	3426
190	12	3421
191	9	3424
192	8	3425
193	10	3422
194	10	3422
195	10	3423
196	13	3420
197	10	3423
198	7	3426
199	9	3423
200	9	3424
201	12	3421
202	7	3426
203	8	3424
204	6	3427
205	4	3429
206	12	3421
207	12	3421
208	4	3429
209	12	3421
210	10	3423
211	11	3422
212	10	3423
213	5	3428
214	5	3427
215	8	3425
216	10	3423
217	9	3423
218	11	3422
219	8	3425
220	11	3422
221	9	3424
222	7	3426
223	5	3427
224	9	3424
225	10	3423
226	7	3426
227	5	3428
228	6	3427
229	8	3425
230	7	3426
231	10	3423
232	9	3424
233	7	3426
234	16	3415
235	14	3419
236	6	3427
237	9	3424
238	11	3422
239	11	3422
240	9	3418
241	10	3423
242	9	3424
243	6	3426
244	10	3423
245	7	3426
246	9	3424
247	11	3422
248	9	3424
249	8	3418
250	6	3427
251	7	3426
252	7	3426
253	6	3427
254	5	3427
255	8	3423
256	10	3423
