      Step     Time          Energy          fmax
FIRE:    0 18:58:05    83367.531250     4609.823242
FIRE:    1 18:58:06    77186.148438     4060.428223
FIRE:    2 18:58:06    71342.632812     3855.969238
FIRE:    3 18:58:07    65858.687500     3787.097900
FIRE:    4 18:58:08    60766.429688     3588.165527
FIRE:    5 18:58:08    56042.468750     3262.809570
FIRE:    6 18:58:09    51677.015625     2921.909912
FIRE:    7 18:58:09    47687.910156     2959.034668
FIRE:    8 18:58:10    44035.687500     3112.856689
FIRE:    9 18:58:10    40699.144531     3049.451660
FIRE:   10 18:58:10    37644.175781     2949.323975
FIRE:   11 18:58:11    34856.289062     2564.683105
FIRE:   12 18:58:11    32331.730469     2220.264404
FIRE:   13 18:58:11    30029.658203     1995.890503
FIRE:   14 18:58:12    27927.136719     1703.149414
FIRE:   15 18:58:12    26008.390625     1400.327271
FIRE:   16 18:58:12    24256.744141     1121.156860
FIRE:   17 18:58:13    22652.511719      893.073486
FIRE:   18 18:58:13    21173.314453      730.410339
FIRE:   19 18:58:14    19800.279297      589.351501
FIRE:   20 18:58:14    18521.585938      452.962738
FIRE:   21 18:58:14    17325.857422      414.359772
FIRE:   22 18:58:15    16202.952148      391.072754
FIRE:   23 18:58:15    15144.999023      366.865173
FIRE:   24 18:58:15    14145.696289      346.950684
FIRE:   25 18:58:16    13199.422852      330.943665
FIRE:   26 18:58:16    12301.443359      316.119659
FIRE:   27 18:58:17    11447.784180      302.387146
FIRE:   28 18:58:17    10635.072266      288.991913
FIRE:   29 18:58:17     9860.500977      275.134521
FIRE:   30 18:58:18     9121.612305      260.682922
FIRE:   31 18:58:18     8416.382812      246.003113
FIRE:   32 18:58:19     7742.924316      231.511444
FIRE:   33 18:58:19     7099.492188      218.359695
FIRE:   34 18:58:19     6484.375488      209.115845
FIRE:   35 18:58:20     5895.923340      199.705399
FIRE:   36 18:58:20     5332.575195      190.186569
FIRE:   37 18:58:20     4792.867188      180.626526
FIRE:   38 18:58:21     4275.359863      171.098694
FIRE:   39 18:58:21     3778.751709      161.656570
FIRE:   40 18:58:22     3301.847412      152.373642
FIRE:   41 18:58:22     2843.521729      145.491913
FIRE:   42 18:58:22     2402.722900      138.881516
FIRE:   43 18:58:23     1978.464844      132.321228
FIRE:   44 18:58:23     1569.824829      125.963173
FIRE:   45 18:58:23     1175.953125      120.180840
FIRE:   46 18:58:24      796.071960      114.498138
FIRE:   47 18:58:24      429.446472      108.946442
FIRE:   48 18:58:24       75.412140      103.539787
FIRE:   49 18:58:25     -266.659393       98.284447
FIRE:   50 18:58:25     -597.343628       93.187790
FIRE:   51 18:58:26     -917.173401       89.237381
FIRE:   52 18:58:26    -1226.648071       87.593857
FIRE:   53 18:58:26    -1526.223267       85.853439
FIRE:   54 18:58:27    -1816.317993       84.004845
FIRE:   55 18:58:27    -2097.326660       82.035744
FIRE:   56 18:58:27    -2369.611328       79.948792
FIRE:   57 18:58:28    -2633.503906       78.084663
FIRE:   58 18:58:28    -2889.336426       76.186752
FIRE:   59 18:58:29    -3137.401855       74.245285
FIRE:   60 18:58:29    -3378.013428       72.256920
FIRE:   61 18:58:29    -3611.442871       70.225700
FIRE:   62 18:58:30    -3837.952393       68.165970
FIRE:   63 18:58:30    -4057.809814       66.097443
FIRE:   64 18:58:30    -4271.254883       64.044922
FIRE:   65 18:58:31    -4478.539551       62.032139
FIRE:   66 18:58:31    -4679.890137       60.413048
FIRE:   67 18:58:31    -4875.521973       58.910107
FIRE:   68 18:58:32    -5065.632324       57.307262
FIRE:   69 18:58:32    -5250.440918       55.604431
FIRE:   70 18:58:33    -5430.120117       53.805801
